Species,WavelengthAir,OscillatorStrength,Gamma,GammaRef,v_comp,v_rad_init,v_rad_min,v_rad_max,b_comp,n_comp,b_init,b_min,b_max,n_init,w_min,w_max,weight,v_rad_fit,b_fit,n_fit,v_rad_err,b_err,n_err
TiII,3066.347,0.0489,250000000.0,10.0,0,-14.35753713978264,-15.456418302972908,-13.456418302972908,0,0,4.752213937935923,0.1,6,1057495292389.4182,3065.77423200404,3066.5996695348917,1.0,-14.35753713978264,4.752213937935923,1057495292389.4182,0.03697297415033519,0.08157045011272863,21846474775.700317
TiII,3072.97,0.121,256000000.0,10.0,0,-14.35753713978264,-15.456418302972908,-13.456418302972908,0,0,4.752213937935923,0.1,6,1057495292389.4182,3072.3891639265457,3073.3060793284744,1.0,-14.35753713978264,4.752213937935923,1057495292389.4182,0.03697297415033519,0.08157045011272863,21846474775.700317
TiII,3229.199,0.0687,244000000.0,10.0,0,-14.35753713978264,-15.456418302972908,-13.456418302972908,0,0,4.752213937935923,0.1,6,1057495292389.4182,3228.625845475964,3229.46105458336,1.0,-14.35753713978264,4.752213937935923,1057495292389.4182,0.03697297415033519,0.08157045011272863,21846474775.700317
TiII,3241.983,0.232,244000000.0,10.0,0,-14.35753713978264,-15.456418302972908,-13.456418302972908,0,0,4.752213937935923,0.1,6,1057495292389.4182,3241.3168724743327,3242.3608240597664,1.0,-14.35753713978264,4.752213937935923,1057495292389.4182,0.03697297415033519,0.08157045011272863,21846474775.700317
TiII,3383.7588,0.3586,175000000.0,10.0,0,-14.35753713978264,-15.456418302972908,-13.456418302972908,0,0,4.752213937935923,0.1,6,1057495292389.4182,3383.043511896444,3384.241008584405,1.0,-14.35753713978264,4.752213937935923,1057495292389.4182,0.03697297415033519,0.08157045011272863,21846474775.700317
TiII,3066.347,0.0489,250000000.0,10.0,1,-3.9871704008690063,-5.597225418534927,-3.5972254185349266,1,1,5.154206405213869,0.1,6,592495014081.585,3065.77423200404,3066.5996695348917,1.0,-3.9871704008690063,5.154206405213869,592495014081.585,0.06268657294553437,0.08915925306537587,10217549622.031397
TiII,3072.97,0.121,256000000.0,10.0,1,-3.9871704008690063,-5.597225418534927,-3.5972254185349266,1,1,5.154206405213869,0.1,6,592495014081.585,3072.3891639265457,3073.3060793284744,1.0,-3.9871704008690063,5.154206405213869,592495014081.585,0.06268657294553437,0.08915925306537587,10217549622.031397
TiII,3229.199,0.0687,244000000.0,10.0,1,-3.9871704008690063,-5.597225418534927,-3.5972254185349266,1,1,5.154206405213869,0.1,6,592495014081.585,3228.625845475964,3229.46105458336,1.0,-3.9871704008690063,5.154206405213869,592495014081.585,0.06268657294553437,0.08915925306537587,10217549622.031397
TiII,3241.983,0.232,244000000.0,10.0,1,-3.9871704008690063,-5.597225418534927,-3.5972254185349266,1,1,5.154206405213869,0.1,6,592495014081.585,3241.3168724743327,3242.3608240597664,1.0,-3.9871704008690063,5.154206405213869,592495014081.585,0.06268657294553437,0.08915925306537587,10217549622.031397
TiII,3383.7588,0.3586,175000000.0,10.0,1,-3.9871704008690063,-5.597225418534927,-3.5972254185349266,1,1,5.154206405213869,0.1,6,592495014081.585,3383.043511896444,3384.241008584405,1.0,-3.9871704008690063,5.154206405213869,592495014081.585,0.06268657294553437,0.08915925306537587,10217549622.031397
TiII,3066.347,0.0489,250000000.0,10.0,2,-25.8800233413711,-26.929213883364103,-24.929213883364103,2,2,5.999999999208592,0.1,6,411367460390.0329,3065.77423200404,3066.5996695348917,1.0,-25.8800233413711,5.999999999208592,411367460390.0329,0.1954041748901481,0.8942551515398834,38866745870.083
TiII,3072.97,0.121,256000000.0,10.0,2,-25.8800233413711,-26.929213883364103,-24.929213883364103,2,2,5.999999999208592,0.1,6,411367460390.0329,3072.3891639265457,3073.3060793284744,1.0,-25.8800233413711,5.999999999208592,411367460390.0329,0.1954041748901481,0.8942551515398834,38866745870.083
TiII,3229.199,0.0687,244000000.0,10.0,2,-25.8800233413711,-26.929213883364103,-24.929213883364103,2,2,5.999999999208592,0.1,6,411367460390.0329,3228.625845475964,3229.46105458336,1.0,-25.8800233413711,5.999999999208592,411367460390.0329,0.1954041748901481,0.8942551515398834,38866745870.083
TiII,3241.983,0.232,244000000.0,10.0,2,-25.8800233413711,-26.929213883364103,-24.929213883364103,2,2,5.999999999208592,0.1,6,411367460390.0329,3241.3168724743327,3242.3608240597664,1.0,-25.8800233413711,5.999999999208592,411367460390.0329,0.1954041748901481,0.8942551515398834,38866745870.083
TiII,3383.7588,0.3586,175000000.0,10.0,2,-25.8800233413711,-26.929213883364103,-24.929213883364103,2,2,5.999999999208592,0.1,6,411367460390.0329,3383.043511896444,3384.241008584405,1.0,-25.8800233413711,5.999999999208592,411367460390.0329,0.1954041748901481,0.8942551515398834,38866745870.083
TiII,3066.347,0.0489,250000000.0,10.0,3,9.26645913536335,9.266459133674482,11.266459133674482,3,3,5.999999999909016,0.1,6,88459041825.35861,3065.77423200404,3066.5996695348917,1.0,9.26645913536335,5.999999999909016,88459041825.35861,0.20207403374774294,15059.436123010879,2814139829.9597216
TiII,3072.97,0.121,256000000.0,10.0,3,9.26645913536335,9.266459133674482,11.266459133674482,3,3,5.999999999909016,0.1,6,88459041825.35861,3072.3891639265457,3073.3060793284744,1.0,9.26645913536335,5.999999999909016,88459041825.35861,0.20207403374774294,15059.436123010879,2814139829.9597216
TiII,3229.199,0.0687,244000000.0,10.0,3,9.26645913536335,9.266459133674482,11.266459133674482,3,3,5.999999999909016,0.1,6,88459041825.35861,3228.625845475964,3229.46105458336,1.0,9.26645913536335,5.999999999909016,88459041825.35861,0.20207403374774294,15059.436123010879,2814139829.9597216
TiII,3241.983,0.232,244000000.0,10.0,3,9.26645913536335,9.266459133674482,11.266459133674482,3,3,5.999999999909016,0.1,6,88459041825.35861,3241.3168724743327,3242.3608240597664,1.0,9.26645913536335,5.999999999909016,88459041825.35861,0.20207403374774294,15059.436123010879,2814139829.9597216
TiII,3383.7588,0.3586,175000000.0,10.0,3,9.26645913536335,9.266459133674482,11.266459133674482,3,3,5.999999999909016,0.1,6,88459041825.35861,3383.043511896444,3384.241008584405,1.0,9.26645913536335,5.999999999909016,88459041825.35861,0.20207403374774294,15059.436123010879,2814139829.9597216
TiII,3066.347,0.0489,250000000.0,10.0,4,-33.4260333662866,-33.71666475855805,-31.716664758558053,4,4,3.00906484139214,0.1,6,86999384200.70801,3065.77423200404,3066.5996695348917,1.0,-33.4260333662866,3.00906484139214,86999384200.70801,0.283398797253342,0.42039950898749007,25268675137.402428
TiII,3072.97,0.121,256000000.0,10.0,4,-33.4260333662866,-33.71666475855805,-31.716664758558053,4,4,3.00906484139214,0.1,6,86999384200.70801,3072.3891639265457,3073.3060793284744,1.0,-33.4260333662866,3.00906484139214,86999384200.70801,0.283398797253342,0.42039950898749007,25268675137.402428
TiII,3229.199,0.0687,244000000.0,10.0,4,-33.4260333662866,-33.71666475855805,-31.716664758558053,4,4,3.00906484139214,0.1,6,86999384200.70801,3228.625845475964,3229.46105458336,1.0,-33.4260333662866,3.00906484139214,86999384200.70801,0.283398797253342,0.42039950898749007,25268675137.402428
TiII,3241.983,0.232,244000000.0,10.0,4,-33.4260333662866,-33.71666475855805,-31.716664758558053,4,4,3.00906484139214,0.1,6,86999384200.70801,3241.3168724743327,3242.3608240597664,1.0,-33.4260333662866,3.00906484139214,86999384200.70801,0.283398797253342,0.42039950898749007,25268675137.402428
TiII,3383.7588,0.3586,175000000.0,10.0,4,-33.4260333662866,-33.71666475855805,-31.716664758558053,4,4,3.00906484139214,0.1,6,86999384200.70801,3383.043511896444,3384.241008584405,1.0,-33.4260333662866,3.00906484139214,86999384200.70801,0.283398797253342,0.42039950898749007,25268675137.402428
