	Sightlines	Vqp	Vrq	Vrp	TB	Vqp_Error	Vrq_Error	Vrp_Error	TB_Error	B	B_Error
0	HD147165	0.6702111884624173	0.7053070178426424	1.3755182063050597	0.3402797842916164	0.053691652238939076	0.039031909255018774	0.058451387565461754	0.02891975614884718	0.01754791469011252	0.033189921136691454
1	HD184915	0.6425846157526394	0.7237797793095524	1.3663643950621918	0.3357658599950444	0.062262904911666854	0.04250672486795435	0.05040124230491003	0.024770868632823906	0.040597581778456515	0.03769446573118936
2	HD166937	0.6794307950276561	0.7781477212702157	1.4575785162978718	0.3820915027720814	0.0447518111833014	0.05753080495801004	0.07051621968431294	0.03697042464294821	0.04935846312127978	0.03644351150514469
3	HD149757	0.6306081108723447	0.7330097366120754	1.36361784748442	0.3344173616697839	0.0542299056095151	0.04446315666237071	0.049065076644894776	0.02406570654964813	0.05120081286986533	0.03506370973955636
4	HD144470	0.7024936057587183	0.6914944596392161	1.3939880653979344	0.349479393893792	0.0430864492835761	0.04589611192044244	0.06073721005861145	0.03045421102945249	-0.005499573059751128	0.031475765285692237
5	HD147683	0.648065375717124	0.6564187158637651	1.304484091580889	0.30604200393948156	0.08320899484216619	0.05347641076160802	0.08730891499706867	0.040966686339735825	0.004176670073320565	0.04945569565426177
6	HD23180	0.568736931123567	0.7079851655125822	1.2767220966361492	0.2931542620058237	0.06210006179128632	0.08141890704066201	0.0935722530147506	0.042971144384569955	0.06962411719450756	0.05119925804681534
7	HD203532	0.6470786984973529	0.6425246760845766	1.2896033745819295	0.29909956713136815	0.036042120272758466	0.07024119632874493	0.06904752510613575	0.03202858379217964	-0.0022770112063881243	0.039474232403712665
8	HD185859	0.5411561099117534	0.7320513328431844	1.2732074427549378	0.29154245067167034	0.05287925243670552	0.05445805330720377	0.04944846242491865	0.022645682758676098	0.09544761146571545	0.03795357331093831
9	HD185418	0.5835672025732492	0.6868785075675987	1.270445710140848	0.2902790445324433	0.04128690641331798	0.04381926840151541	0.03352479366941277	0.01531989127410341	0.05165565249717474	0.030102894065297627
10	HD170740	0.663783360609159	0.6666077719455643	1.3303911325547233	0.3183186950391354	0.030544603208593746	0.010331122279137593	0.03031194572352274	0.014505296631495659	0.0014122056682026596	0.01612222745712366
11	HD24398	0.6664392071234033	0.6784825570266548	1.3449217641500582	0.3253100690820387	0.04839497188534486	0.020242995763037397	0.046240195972832736	0.022369184211686065	0.006021674951625755	0.026229049645601295
