Position	Intensity
6612.005964	1.000941201
6611.993964	1.004569038
6612.025964	0.99626326
6611.996873	0.990094512
6612.069185	0.99244556
6612.101115	1.000041618
6612.097237	1.003860891
6612.162691	1.000486571
6612.197184	0.997544219
6612.250228	1.000696118
6612.278327	1.003417119
6612.32463	0.999941166
6612.384751	1.000133835
6612.413454	0.997781213
6612.48381	1.00042886
6612.539754	1.000727807
6612.607782	1.000397122
6612.672613	0.999835581
6612.686327	1.003183549
6612.748969	1.001329344
6612.8056	1.000230886
6612.816509	1.003716016
6612.858933	1.001619606
6612.892872	0.996970878
6612.906448	0.993885459
6612.963175	0.990210176
6612.951054	0.995289479
6612.989703	0.983237423
6613.007296	0.979122953
6613.036872	0.976908814
6613.047636	0.972336449
6613.064509	0.96596204
6613.075175	0.958789218
6613.09869	0.9546213
6613.117454	0.94951032
6613.128093	0.942931917
6613.144024	0.939392362
6613.179021	0.934492506
6613.201236	0.931024745
6613.249443	0.93485904
6613.274187	0.940691993
6613.325655	0.945667834
6613.371127	0.946046631
6613.406326	0.940824392
6613.436872	0.931566864
6613.428145	0.936955155
6613.459175	0.92707729
6613.496023	0.922206065
6613.527501	0.917228901
6613.567096	0.924765361
6613.624993	0.935853593
6613.603854	0.928984252
6613.673478	0.941498365
6613.701599	0.946478317
6613.757703	0.949806609
6613.816376	0.948628509
6613.82295	0.944882468
6613.877039	0.948710603
6613.905235	0.955341486
6613.928508	0.960555022
6613.950811	0.965848763
6613.99574	0.971508956
6614.024185	0.976189651
6614.039053	0.981160403
6614.0717	0.98672618
6614.110617	0.991183737
6614.155417	0.986513434
6614.137962	0.99538201
6614.220475	0.98819539
6614.238326	0.99145858
6614.254326	0.987715138
6614.300871	0.998779228
6614.301518	0.993896265
6614.364871	1.000457279
6614.33578	0.995963635
6614.430811	1.000472631
6614.449235	0.99643951
6614.487053	1.005666623
6614.495295	1.000640317
6614.552346	0.998875125
6614.621356	0.999508095
6614.684871	1.000546763
6614.748871	0.999877242
6614.773598	0.999413728
6614.819982	1.001259456
6614.871053	0.997386281
6614.878035	1.002357731
6614.935828	0.998868171
6614.985234	0.998767248
6614.993234	1.00339257
