,Wavelength,Flux
0,6376.773756535977,0.9964238708302476
1,6376.813611496502,0.997977977580875
2,6376.85346670612,0.9961277540410779
3,6376.893322164837,0.9937024687726395
4,6376.933177872646,0.9921117744877715
5,6376.973033829559,0.9916805425139028
6,6377.01289003557,0.9908731805158522
7,6377.0527464906845,0.9911544896389608
8,6377.092603194901,0.9915790255232673
9,6377.132460148225,0.9916967464604218
10,6377.172317350653,0.9931965546140414
11,6377.212174802193,0.9931901463217129
12,6377.252032502838,0.9952792862837215
13,6377.291890452598,0.9977001836591131
14,6377.33174865147,0.9993501988010457
15,6377.371607099456,0.9988614767593771
16,6377.4114657965565,0.9993737672479087
17,6377.4513247427785,0.9994553061018715
18,6377.4911839381175,0.9985352195106564
19,6377.531043382577,0.9976470035992892
20,6377.57090307616,0.9969971574248309
21,6377.610763018864,0.9958972064318163
22,6377.6506232106985,0.9957511367784441
23,6377.690483651657,0.9956528397774269
24,6377.730344341742,0.9956092227125144
25,6377.770205280961,0.9958530574781679
26,6377.8100664693075,0.9965994158568922
27,6377.849927906791,0.9966828001645305
28,6377.889789593408,0.9968271737827432
29,6377.929651529162,0.9959054083955732
30,6377.969513714052,0.996911799227651
31,6378.009376148081,0.9951710941390056
32,6378.049238831252,0.9949363984127022
33,6378.089101763567,0.9943670217466474
34,6378.1289649450255,0.9952159512895622
35,6378.16882837563,0.9947089796084626
36,6378.208692055379,0.994912327856327
37,6378.24855598428,0.9955975402153975
38,6378.288420162329,0.9932952507187007
39,6378.328284589533,0.9923253105694778
40,6378.368149265887,0.9892517888422008
41,6378.408014191397,0.9892264360844513
42,6378.447879366065,0.9849004407188697
43,6378.48774478989,0.9802210141941022
44,6378.527610462875,0.9748453940778532
45,6378.567476385021,0.9679031411600479
46,6378.607342556329,0.9601500303214444
47,6378.647208976803,0.9489026925104368
48,6378.687075646441,0.9342575390622827
49,6378.726942565249,0.9185157529212776
50,6378.766809733223,0.8991798196147376
51,6378.80667715037,0.874493543264437
52,6378.846544816688,0.8450694836860739
53,6378.88641273218,0.8131891986404829
54,6378.926280896847,0.7832709578745015
55,6378.966149310692,0.7600944742461432
56,6379.006017973715,0.7529076699969754
57,6379.045886885916,0.7567353404319557
58,6379.085756047301,0.760989356957371
59,6379.1256254578675,0.7604140793472254
60,6379.165495117619,0.7488775620588443
61,6379.205365026556,0.7489214999813054
62,6379.245235184681,0.7780192393360915
63,6379.2851055919955,0.8196955657019805
64,6379.324976248502,0.8657021971448647
65,6379.364847154198,0.9073377545743022
66,6379.404718309091,0.9406798229818194
67,6379.444589713177,0.9624504654651345
68,6379.484461366463,0.9756299667466967
69,6379.524333268945,0.9832457264354526
70,6379.564205420627,0.9870653911108601
71,6379.604077821513,0.9903676888942926
72,6379.6439504716,0.9910815668403667
73,6379.683823370893,0.991279402485969
74,6379.723696519392,0.9903457376982442
75,6379.7635699171,0.9921973893543835
76,6379.803443564017,0.9908870078274844
77,6379.843317460145,0.990366495640532
78,6379.883191605484,0.9922044408387503
79,6379.923066000039,0.99149456293044
80,6379.962940643811,0.9918704235938921
81,6380.002815536798,0.992170833310637
82,6380.0426906790035,0.9927662068812022
83,6380.0825660704295,0.9932757330765759
84,6380.122441711082,0.9934923605607164
85,6380.162317600953,0.9939977692198767
86,6380.2021937400505,0.9930046356004659
87,6380.242070128374,0.9925013246878828
88,6380.2819467659265,0.993858931051276
89,6380.321823652709,0.9946294167838533
90,6380.361700788722,0.9945890855188863
91,6380.401578173968,0.9949192074041032
92,6380.441455808448,0.9943249002582567
93,6380.481333692165,0.9947144621472561
94,6380.521211825121,0.9949066617447451
95,6380.561090207314,0.9957835372378834
96,6380.6009688387485,0.9962520910425299
97,6380.640847719425,0.9962618458017998
98,6380.680726849345,0.9950703676807272
99,6380.72060622851,0.993919912194852
100,6380.760485856923,0.9930273463978907
101,6380.8003657345835,0.991764309228663
102,6380.8402458614955,0.9910651293115843
103,6380.880126237656,0.9934370704775686
104,6380.920006863073,0.9947272257260789
105,6380.959887737742,0.9945401025118942
106,6380.9997688616695,0.9951793618444178
107,6381.039650234853,0.9964732952229158
108,6381.079531857296,0.9966939092241175
109,6381.119413729001,0.9980863033751542
110,6381.15929584997,0.9966276042733122
111,6381.1991782202,0.9976443632551487
112,6381.239060839696,0.9978769608493717
113,6381.27894370846,0.99801841805045
114,6381.318826826492,0.9977088894753997
115,6381.3587101937965,0.9976736945885535
116,6381.3985938103715,0.9986272715756943
117,6381.438477676218,0.9976780162601233
118,6381.478361791342,0.9973980967498179
119,6381.518246155741,0.9968386672464168
120,6381.558130769417,0.9968063045368408
121,6381.598015632376,0.996411572294628
122,6381.637900744614,0.9951408735422451
123,6381.6777861061355,0.9949084827762424
124,6381.717671716941,0.9944345698301235
125,6381.7575575770325,0.993404851249009
126,6381.797443686409,0.9932419761624564
127,6381.837330045077,0.9934378375035122
128,6381.877216653034,0.9935842309654864
129,6381.9171035102845,0.9930264160751656
130,6381.95699061683,0.9920266226494863
131,6381.996877972669,0.9908656564988236
