3.301874269381637987e+03 9.968265542067185070e-01 4.871551305953748454e-03 2.076995330253123393e+04
3.301883501419040840e+03 9.968252077486758900e-01 4.867105337951403016e-03 2.076652752572665122e+04
3.301892733456443693e+03 9.956990190249186412e-01 4.861338402688596648e-03 2.073956216221240538e+04
3.301901965493846546e+03 9.952862340669145214e-01 4.854965010032096830e-03 2.072735311770615226e+04
3.301911197531249400e+03 9.956663180957783243e-01 4.847914077518899328e-03 2.073154860129357985e+04
3.301920429568651798e+03 9.955870957915504693e-01 4.846556388114053177e-03 2.072607312431388709e+04
3.301929661606054651e+03 9.949752824947847296e-01 4.851785561513111134e-03 2.070940789161772773e+04
3.301938893643457504e+03 9.947145734857195665e-01 4.853842393145527991e-03 2.069995028006254870e+04
3.301948125680860358e+03 9.949231927380098872e-01 4.851634260667253042e-03 2.070015707529734573e+04
3.301957357718263211e+03 9.949382245653513035e-01 4.848250913785555165e-03 2.069623393479124934e+04
3.301966589755666064e+03 9.946807100618649811e-01 4.843215900146732866e-03 2.068654243511771710e+04
3.301975821793068917e+03 9.951165042038500053e-01 4.843451991996789753e-03 2.069117019042943502e+04
3.301985053830471770e+03 9.965596252201538441e-01 4.851353242194595197e-03 2.071663689207302741e+04
3.301994285867874623e+03 9.978277070794500103e-01 4.868802336517185844e-03 2.073835587592828597e+04
3.302003517905277022e+03 9.987950021865954486e-01 4.902437226038296528e-03 2.075371757340035765e+04
3.302012749942679875e+03 9.992621754125962097e-01 4.928270632797706816e-03 2.075858625661774931e+04
3.302021981980082728e+03 9.988394518758910712e-01 4.940254071242000840e-03 2.074487506803886208e+04
3.302031214017485581e+03 9.982865802419486068e-01 4.933241561604885528e-03 2.072837391945126365e+04
3.302040446054888434e+03 9.974580475770696841e-01 4.886639946856567891e-03 2.070606548114235920e+04
3.302049678092291288e+03 9.970571280401279157e-01 4.853536234115522416e-03 2.069255093206163656e+04
3.302058910129694141e+03 9.975837945941213869e-01 4.849860885105848098e-03 2.069819853725377834e+04
3.302068142167096994e+03 9.978676620398920782e-01 4.847489826974211297e-03 2.069871741727926201e+04
3.302077374204499847e+03 9.975911924547131715e-01 4.848073868617081526e-03 2.068752771635795943e+04
3.302086606241902700e+03 9.974992654385493873e-01 4.847134809754906695e-03 2.068008272028597639e+04
3.302095838279305099e+03 9.979042708128283978e-01 4.842002983011180900e-03 2.068285529475252770e+04
3.302105070316707952e+03 9.981526545652124049e-01 4.833553008073150636e-03 2.068229615769525844e+04
3.302114302354110805e+03 9.979430961538289235e-01 4.815536858901126906e-03 2.067216738175430874e+04
3.302123534391513658e+03 9.980970371129713747e-01 4.807620810480860672e-03 2.066948936591327947e+04
3.302132766428916511e+03 9.993444288585364710e-01 4.830280728351216309e-03 2.068936903979779527e+04
3.302141998466319365e+03 9.998707632047054705e-01 4.842901784009770449e-03 2.069423310159632456e+04
3.302151230503722218e+03 9.977017531445657728e-01 4.818081372424566980e-03 2.064324614222009041e+04
3.302160462541125071e+03 9.961674071666368757e-01 4.798742628529363910e-03 2.060533922536731552e+04
3.302169694578527924e+03 9.971356467458294404e-01 4.801070301835712838e-03 2.061912770000247474e+04
3.302178926615930777e+03 9.978760180317112205e-01 4.802368642613289405e-03 2.062812159363360479e+04
3.302188158653333176e+03 9.976437298871831949e-01 4.799273898359673711e-03 2.061693473059168173e+04
3.302197390690736029e+03 9.970794381551236762e-01 4.794475006613946669e-03 2.059882247871363506e+04
3.302206622728138882e+03 9.950111259230257632e-01 4.781964029769395809e-03 2.054958741101781197e+04
3.302215854765541735e+03 9.929457272012237601e-01 4.768722831752105103e-03 2.050037286123839294e+04
3.302225086802944588e+03 9.908880041343678391e-01 4.751157827502355477e-03 2.045127870077193074e+04
3.302234318840347441e+03 9.877328408304937302e-01 4.730084330828759204e-03 2.037950498235990744e+04
3.302243550877750295e+03 9.775726580036177005e-01 4.686627432906024897e-03 2.016322710803728842e+04
3.302252782915153148e+03 9.648012481668162277e-01 4.630834590598193086e-03 1.989318646485521458e+04
3.302262014952556001e+03 9.338821200135239975e-01 4.489289277359228940e-03 1.924920181056331421e+04
3.302271246989958854e+03 8.985213023704700097e-01 4.325586039735159795e-03 1.851407008946417773e+04
3.302280479027361253e+03 8.293325785832134089e-01 3.993074520300379272e-03 1.708259437966814221e+04
3.302289711064764106e+03 7.615357031909808505e-01 3.666311239058743510e-03 1.568070883501389289e+04
3.302298943102166959e+03 7.103751733036079985e-01 3.408578381990894860e-03 1.462218524675221488e+04
3.302308175139569812e+03 6.671732711096373114e-01 3.189646007629365863e-03 1.372811857930825136e+04
