Position	Intensity
6612.014303	1
6612.023046	1.00032739
6612.039173	1.00032739
6612.111745	1.00032739
6612.149375	1.00032739
6612.213883	1.000161164
6612.281079	1.000161164
6612.345587	1.000161164
6612.410095	1.000161164
6612.498794	1.00024428
6612.547175	1.00024428
6612.595556	1.00024428
6612.660065	1.00024428
6612.724573	1.000410503
6612.77833	1.000410503
6612.829399	0.999994945
6612.880468	0.99933005
6612.907346	0.998498935
6612.939601	0.997169138
6612.942288	0.996753584
6612.979918	0.995673127
6612.99067	0.993844673
6612.998733	0.992681101
6613.009484	0.991849993
6613.017548	0.991101981
6613.039051	0.989855303
6613.039051	0.988774853
6613.039051	0.987361949
6613.055177	0.986115271
6613.065929	0.985034825
6613.073993	0.983621921
6613.084744	0.982624581
6613.09012	0.981045451
6613.103559	0.979383216
6613.108935	0.977637867
6613.116998	0.976308083
6613.141189	0.974978292
6613.141189	0.973066718
6613.143877	0.972318716
6613.15194	0.970573368
6613.162691	0.969160457
6613.168067	0.967830679
6613.176131	0.966500888
6613.200321	0.965171097
6613.200321	0.963924418
6613.205697	0.962345302
6613.213761	0.961098624
6613.229888	0.959103937
6613.259454	0.958023478
6613.283644	0.957940365
6613.313211	0.958771486
6613.345465	0.960516834
6613.353528	0.961514181
6613.38847	0.96267774
6613.423412	0.9637582
6613.455666	0.962511514
6613.455666	0.961846632
6613.458354	0.960599947
6613.469106	0.958355929
6613.474481	0.957358595
6613.479857	0.957109257
6613.48792	0.955696346
6613.493296	0.954366569
6613.504048	0.95311989
6613.506735	0.951873205
6613.52555	0.950127863
6613.528238	0.949546081
6613.528238	0.948382522
6613.533614	0.947634513
6613.549741	0.946720273
6613.568556	0.945722933
6613.584683	0.945058044
6613.619625	0.945307375
6613.627688	0.947052724
6613.63844	0.948299402
6613.649191	0.950044751
6613.665318	0.951291422
6613.676069	0.953369215
6613.678757	0.954283449
6613.697572	0.956943025
6613.740578	0.957691026
6613.745953	0.95968572
6613.780895	0.961514181
6613.794335	0.961597294
6613.829277	0.961597294
6613.869594	0.962760853
6613.885721	0.96475554
6613.926039	0.966002218
6613.958293	0.969492915
6613.99861	0.973232943
6614.041616	0.976889866
6614.081934	0.979964999
6614.108812	0.982375243
6614.14913	0.984785487
6614.18676	0.986613944
6614.243204	0.987860623
6614.278146	0.989605968
6614.307713	0.990686421
6614.361469	0.991018872
6614.393724	0.992099321
6614.425977	0.993429109
6614.479734	0.994426452
6614.56037	0.994509565
6614.595312	0.995008239
6614.624878	0.99525757
6614.681323	0.996171797
6614.72164	0.996753584
6614.780773	0.997418476
6614.826466	0.998249597
6614.87953	0.999745607
6614.949415	1.001075395
6614.973605	1.000992286
6615.070367	1.000659841
6615.134875	1.000576728
6615.215511	1.000410503
6615.298834	1.000410503
6615.392908	1.000410503
6615.473543	1.00032739
6615.546115	1.00032739
6615.642878	1.000161164
6615.715449	1.000161164
6615.804149	1.000493615
6615.874032	1.000493615
6615.917038	1.000493615
