    a         b   Jprime  c  d   e     J   f  g    position           h                    strength         i    l   label     m    n   o    p Kprime     q   r  s    t    u  K  v
SymmetricTop Excited  29 11 13 Ground  30  5  7  15118.5197062525     -               1.4284112916391E-5  0.0000 : rP10(30) : Excited v=1 29 11      E2u - Ground v=0 30 10 E2g
SymmetricTop Excited  32  9 10 Ground  33  3  6  15118.50005496       -               1.42631030901807E-5 0.0000 : rP3B2g(33) : Excited v=1 32  4      B2u - Ground v=0 33  3 B2g
SymmetricTop Excited  32  8 10 Ground  33  2  6  15118.50005496       -               1.42631030901807E-5 0.0000 : rP3B1g(33) : Excited v=1 32  4      B1u - Ground v=0 33  3 B1g
SymmetricTop Excited  34  9 12 Ground  35  3  6  15118.51555026       -               1.41834056464928E-5 0.0000 : pP3B2g(35) : Excited v=1 34  2      B2u - Ground v=0 35  3 B2g
SymmetricTop Excited  34  8 12 Ground  35  2  6  15118.51555026       -               1.41834056464928E-5 0.0000 : pP3B1g(35) : Excited v=1 34  2      B1u - Ground v=0 35  3 B1g
SymmetricTop Excited  31  7  9 Ground  32  1  5  15118.4940146625     -               1.40522927628036E-5 0.0000 : rP6A2g(32) : Excited v=1 31  7      A2u - Ground v=0 32  6 A2g
SymmetricTop Excited  32  7 11 Ground  33  1  6  15118.5562254225     -               3.41463909776501E-5 0.0000 : rP0(33) : Excited v=1 32  1      A2u - Ground v=0 33  0 A2g
SymmetricTop Excited  31  8  9 Ground  32  2  5  15118.54872168       -               1.6836749120601E-5  0.0000 : rP3B1g(32) : Excited v=1 31  4      B1u - Ground v=0 32  3 B1g
SymmetricTop Excited  31  9  9 Ground  32  3  5  15118.54872168       -               1.6836749120601E-5  0.0000 : rP3B2g(32) : Excited v=1 31  4      B2u - Ground v=0 32  3 B2g
SymmetricTop Excited  29 11 15 Ground  30  5  8  15118.5547141525     -               1.64261641570248E-5 0.0000 : rP8(30) : Excited v=1 29  9      E2u - Ground v=0 30  8 E2g
SymmetricTop Excited  30  6  8 Ground  31  0  5  15118.5423561725     -               1.63203956359039E-5 0.0000 : rP6A1g(31) : Excited v=1 30  7      A1u - Ground v=0 31  6 A1g
SymmetricTop Excited  30  7  8 Ground  31  1  5  15118.5423561725     -               1.63203956359039E-5 0.0000 : rP6A2g(31) : Excited v=1 30  7      A2u - Ground v=0 31  6 A2g
SymmetricTop Excited  34 10 21 Ground  35  4 11  15118.55478589       -               1.61311179220171E-5 0.0000 : pP5(35) : Excited v=1 34  4      E1u - Ground v=0 35  5 E1g
SymmetricTop Excited  33 11 23 Ground  34  5 12  15118.5454934925     -               1.6121779669906E-5  0.0000 : pP2(34) : Excited v=1 33  1      E2u - Ground v=0 34  2 E2g
SymmetricTop Excited  32 10 21 Ground  33  4 11  15118.53733933       -               1.60632755204848E-5 0.0000 : rP1(33) : Excited v=1 32  2      E1u - Ground v=0 33  1 E1g
SymmetricTop Excited  31 11 18 Ground  32  5 10  15118.5303234025     -               1.58461877617829E-5 0.0000 : rP4(32) : Excited v=1 31  5      E2u - Ground v=0 32  4 E2g
SymmetricTop Excited  31  6 11 Ground  32  0  6  15118.6048921425     -               4.05695327177802E-5 0.0000 : rP0(32) : Excited v=1 31  1      A1u - Ground v=0 32  0 A1g
SymmetricTop Excited  30 11 19 Ground  31  5 10  15118.6156240725     -               2.10206495909582E-5 0.0000 : rP2(31) : Excited v=1 30  3      E2u - Ground v=0 31  2 E2g
SymmetricTop Excited  32  8 11 Ground  33  2  6  15118.61385933       -               2.065690792371E-5   0.0000 : pP3B1g(33) : Excited v=1 32  2      B1u - Ground v=0 33  3 B1g
SymmetricTop Excited  32  9 11 Ground  33  3  6  15118.61385933       -               2.065690792371E-5   0.0000 : pP3B2g(33) : Excited v=1 32  2      B2u - Ground v=0 33  3 B2g
SymmetricTop Excited  29 10 16 Ground  30  4  9  15118.60844554       -               2.00842359138436E-5 0.0000 : rP5(30) : Excited v=1 29  6      E1u - Ground v=0 30  5 E1g
SymmetricTop Excited  28 10 14 Ground  29  4  8  15118.6201531        -               1.99880890498792E-5 0.0000 : rP7(29) : Excited v=1 28  8      E1u - Ground v=0 29  7 E1g
SymmetricTop Excited  34 11 19 Ground  35  5 10  15118.6148588725     -               1.98357092167076E-5 0.0000 : pP8(35) : Excited v=1 34  7      E2u - Ground v=0 35  8 E2g
SymmetricTop Excited  30  9  9 Ground  31  3  5  15118.59706319       -               1.97228470400658E-5 0.0000 : rP3B2g(31) : Excited v=1 30  4      B2u - Ground v=0 31  3 B2g
SymmetricTop Excited  30  8  9 Ground  31  2  5  15118.59706319       -               1.97228470400658E-5 0.0000 : rP3B1g(31) : Excited v=1 30  4      B1u - Ground v=0 31  3 B1g
SymmetricTop Excited  33 10 20 Ground  34  4 10  15118.60410303       -               1.95881315535859E-5 0.0000 : pP5(34) : Excited v=1 33  4      E1u - Ground v=0 34  5 E1g
SymmetricTop Excited  30  7 10 Ground  31  1  6  15118.6532336525     -               4.78538497386085E-5 0.0000 : rP0(31) : Excited v=1 30  1      A2u - Ground v=0 31  0 A2g
SymmetricTop Excited  30 10 21 Ground  31  4 11  15118.67228235       -               2.55615479999079E-5 0.0000 : pP1(31) : Excited v=1 30  0    E1u - Ground v=0 31  1 E1g
SymmetricTop Excited  32  6 10 Ground  33  0  5  15118.6729566825     -               2.53322982985363E-5 0.0000 : pP6A1g(33) : Excited v=1 32  5      A1u - Ground v=0 33  6 A1g
SymmetricTop Excited  32  7 10 Ground  33  1  5  15118.6729566825     -               2.53322982985363E-5 0.0000 : pP6A2g(33) : Excited v=1 32  5      A2u - Ground v=0 33  6 A2g
