    a         b   Jprime  c  d   e     J   f  g    position           h                    strength         i    l   label     m    n   o    p Kprime     q   r  s    t    u  K  v
SymmetricTop Excited  76  9 23 Ground  77  3 12  15118.220886252      -               1.84866269354543E-6 0.0000 : rP9B2g(77) : Excited v=1 76 10      B2u - Ground v=0 77  9 B2g
SymmetricTop Excited  69  6 13 Ground  70  0  7  15118.212367987      -               1.8460093924834E-6  0.0000 : rP30A1g(70) : Excited v=1 69 31      A1u - Ground v=0 70 30 A1g
SymmetricTop Excited  69  7 13 Ground  70  1  7  15118.212367987      -               1.8460093924834E-6  0.0000 : rP30A2g(70) : Excited v=1 69 31      A2u - Ground v=0 70 30 A2g
SymmetricTop Excited  70 11 28 Ground  71  5 15  15118.204413187      -               1.84110703333853E-6 0.0000 : rP28(71) : Excited v=1 70 29      E2u - Ground v=0 71 28 E2g
SymmetricTop Excited  75 10 41 Ground  76  4 21  15118.209901052      -               1.83520745481977E-6 0.0000 : rP13(76) : Excited v=1 75 14      E1u - Ground v=0 76 13 E1g
SymmetricTop Excited  72 10 34 Ground  73  4 18  15118.197237768      -               1.83299391472074E-6 0.0000 : rP23(73) : Excited v=1 72 24      E1u - Ground v=0 73 23 E1g
SymmetricTop Excited  68 11 24 Ground  69  5 13  15118.220402335      -               1.8324665993719E-6  0.0000 : rP32(69) : Excited v=1 68 33      E2u - Ground v=0 69 32 E2g
SymmetricTop Excited  73 11 36 Ground  74  5 19  15118.198216019      -               1.83023252382682E-6 0.0000 : rP20(74) : Excited v=1 73 21      E2u - Ground v=0 74 20 E2g
SymmetricTop Excited  71 11 31 Ground  72  5 16  15118.196537935      -               1.8207723839143E-6  0.0000 : rP26(72) : Excited v=1 71 27      E2u - Ground v=0 72 26 E2g
SymmetricTop Excited  74 10 39 Ground  75  4 20  15118.199472688      -               1.81598005609908E-6 0.0000 : rP17(75) : Excited v=1 74 18      E1u - Ground v=0 75 17 E1g
SymmetricTop Excited  77  6 24 Ground  78  0 13  15118.223216819      -               1.81539610696475E-6 0.0000 : rP6A1g(78) : Excited v=1 77  7      A1u - Ground v=0 78  6 A1g
SymmetricTop Excited  77  7 24 Ground  78  1 13  15118.223216819      -               1.81539610696475E-6 0.0000 : rP6A2g(78) : Excited v=1 77  7      A2u - Ground v=0 78  6 A2g
SymmetricTop Excited  76 11 44 Ground  77  5 23  15118.211833879      -               1.8058248128012E-6  0.0000 : rP10(77) : Excited v=1 76 11      E2u - Ground v=0 77 10 E2g
SymmetricTop Excited  67 11 22 Ground  68  5 12  15118.228516231      -               1.79731558387001E-6 0.0000 : rP34(68) : Excited v=1 67 35      E2u - Ground v=0 68 34 E2g
SymmetricTop Excited  75 11 42 Ground  76  5 22  15118.201007775      -               1.7932016118863E-6  0.0000 : rP14(76) : Excited v=1 75 15      E2u - Ground v=0 76 14 E2g
SymmetricTop Excited  69 10 25 Ground  70  4 13  15118.204150868      -               1.79016118841808E-6 0.0000 : rP31(70) : Excited v=1 69 32      E1u - Ground v=0 70 31 E1g
SymmetricTop Excited  70 10 28 Ground  71  4 15  15118.19611652       -               1.78954731984138E-6 0.0000 : rP29(71) : Excited v=1 70 30      E1u - Ground v=0 71 29 E1g
SymmetricTop Excited  78  8 25 Ground  79  2 13  15118.225825804      -               1.78026216422748E-6 0.0000 : rP3B1g(79) : Excited v=1 78  4      B1u - Ground v=0 79  3 B1g
SymmetricTop Excited  78  9 25 Ground  79  3 13  15118.225825804      -               1.78026216422748E-6 0.0000 : rP3B2g(79) : Excited v=1 78  4      B2u - Ground v=0 79  3 B2g
SymmetricTop Excited  77 10 46 Ground  78  4 24  15118.214045124      -               1.77272367123294E-6 0.0000 : rP7(78) : Excited v=1 77  8      E1u - Ground v=0 78  7 E1g
SymmetricTop Excited  68  9 12 Ground  69  3  7  15118.212264764      -               1.77183342529222E-6 0.0000 : rP33B2g(69) : Excited v=1 68 34      B2u - Ground v=0 69 33 B2g
SymmetricTop Excited  68  8 12 Ground  69  2  7  15118.212264764      -               1.77183342529222E-6 0.0000 : rP33B1g(69) : Excited v=1 68 34      B1u - Ground v=0 69 33 B1g
SymmetricTop Excited  76 10 44 Ground  77  4 23  15118.20282128       -               1.76437146248047E-6 0.0000 : rP11(77) : Excited v=1 76 12      E1u - Ground v=0 77 11 E1g
SymmetricTop Excited  78 11 49 Ground  79  5 25  15118.216534787      -               1.73751024590487E-6 0.0000 : rP4(79) : Excited v=1 78  5      E2u - Ground v=0 79  4 E2g
SymmetricTop Excited  69 11 26 Ground  70  5 14  15118.195973523      -               1.73482957883866E-6 0.0000 : rP32(70) : Excited v=1 69 33      E2u - Ground v=0 70 32 E2g
SymmetricTop Excited  77 11 47 Ground  78  5 24  15118.204913203      -               1.73152523374309E-6 0.0000 : rP8(78) : Excited v=1 77  9      E2u - Ground v=0 78  8 E2g
SymmetricTop Excited  67 10 22 Ground  68  4 12  15118.220458208      -               1.73141741277744E-6 0.0000 : rP35(68) : Excited v=1 67 36      E1u - Ground v=0 68 35 E1g
SymmetricTop Excited  76  7 21 Ground  77  1 11  15118.193848455      -               1.72422864721442E-6 0.0000 : rP12A2g(77) : Excited v=1 76 13      A2u - Ground v=0 77 12 A2g
SymmetricTop Excited  76  6 21 Ground  77  0 11  15118.193848455      -               1.72422864721442E-6 0.0000 : rP12A1g(77) : Excited v=1 76 13      A1u - Ground v=0 77 12 A1g
SymmetricTop Excited  68 11 22 Ground  69  5 12  15118.204166967      -               1.71164126345344E-6 0.0000 : rP34(69) : Excited v=1 68 35      E2u - Ground v=0 69 34 E2g
