result_name,B_init,T_init,delta_B_init,zeta_init,sigma_init,origin_init,B,T,delta_B,zeta,sigma,origin,chi2,redchi,func_evals,B_unc,T_unc,delta_B_unc,zeta_unc,sigma_unc,origin_unc
result1,0.005,2.7,-0.1,-0.1,0.05,0,0.0026905980727455364,499.99980587855066,1.3426791153002569,-0.9999516836600771,0.05146488617405764,-0.6126997256316111,1179.1991614355236,8.132408009900162,273,0.00026155038589127465,35.044731898410646,0.05988208770733179,0.11425928224739355,0.015853220908686724,0.025547264903747258
result2,0.005,32.7,-0.4,-0.9,0.1,0.039,0.004999998832483024,116.62610546568091,0.0024292426833185665,-0.18998380713469565,0.05000000099490394,0.5159522240600931,1081.7358846700636,7.460247480483197,1047,0.0020950189747326164,90.71943465779506,0.01666368097496676,0.025763854527149032,0.023042178671490537,0.016274103475440286
result3,0.002,62.5,-0.8,-0.5,0.3,0.072,0.005,377.3094935781129,-0.826937189435986,-0.9999999916102055,0.48077715672204163,1.9999995660996452,231.3409941131376,1.595455131814742,698,,,,,,
result4,0.0003,32.5,-0.45,-0.01,0.17,0.012,0.004999999999999866,333.2220441502319,0.607326496879879,-0.5156985940763268,0.4999999999999987,0.30382612459949065,2338.9507416243932,16.130694769823403,3221,,,,,,
result5,0.005,92.5,-0.23,-0.23,0.23,0.02,0.005,92.49999999999999,-0.22999999999999998,-0.22999999999999998,0.22999999999999998,0.020000000000000018,8211.887802724703,56.63370898430829,16,5.895359920218778e-14,22.19871147422157,0.16387635071653048,0.19651277335772538,0.12681920495322369,0.11688352509994762
