result_name,B,delta_B,zeta,T_1,T_2,sigma_1,sigma_2,origin_1,origin_2,chi2,redchi,func_evals,B_unc,delta_B_unc,zeta_unc,T_1_unc,sigma_1_unc,origin_1_unc,T_2_unc,sigma_2_unc,origin_2_unc,B_init,T_init,delta_B_init,zeta_init,sigma_init,origin_init
result1,0.008875155097034853,-0.20768319519183642,-0.2862357291155657,24.53122949853258,22.00913851778256,0.15886140749355393,0.20151501224877627,0.042597583410163065,0.051659911829118554,13430899.826978507,327582.92260923184,761,0.001549262472045358,0.026743727234664057,0.011037301006752537,4.008410084313423,0.0057452811094682275,0.009332437941129859,3.584408015858671,0.004762380535025804,0.004875040488306206,0.01,2.7,-0.1,-0.1,0.02,0
result2,0.009999999953588754,-3.9965575293621214e-10,0.9908882809392896,199.99999999981128,199.99999991698667,0.18145893281220343,0.29999999999136,0.04828723300597204,0.0859482403246612,469903928.45020777,11461071.425614825,209,0.03327315778076515,0.022758929933879325,0.037335088419784376,98.4065708269129,0.6931559153266794,0.10891508225857105,84.20864151478322,0.11135862887971772,0.09477176947185029,0.005,32.7,-0.4,-0.9,0.1,0.039
result3,0.0016280624156892122,-0.9995635507214351,-0.9968011751002632,199.99920807498262,199.99986422545766,0.2997861393859098,0.29998393751513935,0.601864331997066,0.5897439068972019,1083750428.3951166,26432937.27792967,287,0.0007809048815279532,0.8002619471636245,1.1391660634031964,501.19094315572084,12968.647973286706,0.5221445917444659,454.7246375044144,0.03428610641062744,0.5150204367294317,0.002,62.5,-0.8,-0.5,0.3,0.072
result4,0.009999980841413673,-1.1666893740658324e-05,0.4254341563077484,160.54571381427638,199.99941546334017,0.2562234165845106,0.288007306938999,-0.8986912945562151,-0.9999949874290033,527414466.44693685,12863767.474315533,188,0.013142761394166431,0.3751337800161553,0.5701140824062725,263.7733397153051,0.40454253295631476,0.3535387032702171,393.29036282403,0.4503756355388957,0.27470880357705657,0.0005,32.5,-0.45,-0.01,0.17,0.012
result5,0.006677535384258465,-0.1640165009418515,-0.28970048708064466,32.3120624015528,29.018825218787896,0.15880327001294242,0.201452470685079,0.047063221933149935,0.05661349657221071,12809794.93781517,312434.02287354076,336,0.0010399296102101352,0.021902088716357973,0.009066928121804025,4.83570359801753,0.005556473264436749,0.008985239576648343,4.30317029633336,0.00424460240428992,0.0037703170831559574,0.0075,92.5,-0.23,-0.23,0.23,0.02
