result_name,B_init,T_init,delta_B_init,zeta_init,sigma_init,origin_init,B,T,delta_B,zeta,sigma,origin,chi2,redchi,func_evals,B_unc,T_unc,delta_B_unc,zeta_unc,sigma_unc,origin_unc
result1,0.01,2.7,-0.1,-0.1,0.05,0,0.009999999401588525,14.677587312406079,-0.7459481656074062,-0.9451435382531816,0.2742204486139372,0.07718744240734621,39.92031786951618,2.2177954371953437,69,0.0008408444811984783,11.906654856893805,0.2841492600580708,0.8945294779075235,0.013863502209184772,0.06718612235101666
result2,0.005,32.7,-0.4,-0.9,0.1,0.039,0.004569789108103583,45.899384383174805,-0.10024158102408909,-0.34210050980917406,0.1804972988970151,0.04485938528941302,3.6438574483321187,0.20243652490733993,123,0.00295468321910832,29.38935345631333,0.053506218563089326,0.01879038219883795,0.008337701728911882,0.009244843589281062
result3,0.002,62.5,-0.8,-0.5,0.3,0.072,0.0030791943540969696,61.41349144523281,-0.5846171559697397,-0.6843639750097247,0.3,0.23110372674473245,210.34018519347552,11.685565844081973,2330,,,,,,
result4,0.0005,32.5,-0.45,-0.01,0.17,0.012,0.009938624289704809,21.36886407783709,-0.21047389881381562,-0.3385824266297055,0.18150359566913365,0.03674665687443479,4.238521541748318,0.23547341898601765,124,0.002808499621354007,5.6548258774514295,0.028841087903569172,0.0225211735070446,0.009740802101698854,0.010742735615600529
result5,0.0075,92.5,-0.23,-0.23,0.23,0.02,0.005840038816007835,36.06302937257882,-0.125552880710035,-0.3401329174841419,0.18053041539539866,0.042711657665025715,3.72582199131134,0.20699011062840778,181,0.0026687937932881513,16.24163518523519,0.04784251299618105,0.0195863325297321,0.008284157060698804,0.008713390802021072
