3.301939276410560979e+03 1.004047982880764023e+00 4.216756790909137985e-03 7.718772951348011702e+03
3.301948463391671339e+03 1.007055544063844010e+00 4.231025909898615892e-03 7.739940597699984210e+03
3.301957650372782155e+03 1.010044898215284537e+00 4.243932625888580286e-03 7.761113220505028949e+03
3.301966837353892970e+03 1.008537210411198481e+00 4.226603158436812065e-03 7.747879252987220752e+03
3.301976024335003331e+03 1.006120441873978422e+00 4.205278215212555036e-03 7.727813228090482880e+03
3.301985211316114146e+03 1.003262567155810414e+00 4.194506534250272249e-03 7.704506677390219920e+03
3.301994398297224507e+03 1.000835910253489169e+00 4.187307648677074216e-03 7.684652844544695654e+03
3.302003585278335322e+03 1.002581079604357717e+00 4.198756964032144580e-03 7.696961122397818144e+03
3.302012772259445683e+03 1.004798963328085826e+00 4.212373676783560776e-03 7.713018203996682132e+03
3.302021959240556498e+03 1.003587723169762747e+00 4.204797564927322505e-03 7.702870333390581436e+03
3.302031146221667314e+03 1.001600277764629565e+00 4.192395934566023330e-03 7.686880629025334201e+03
3.302040333202777674e+03 1.001459482022676095e+00 4.189878678084543555e-03 7.685172590616584785e+03
3.302049520183888490e+03 1.002256258448225301e+00 4.191598297153896480e-03 7.690761666080043142e+03
3.302058707164998850e+03 1.003183796927321403e+00 4.194651517126796875e-03 7.697450674039460864e+03
3.302067894146109666e+03 1.003053928400280626e+00 4.194679627727244953e-03 7.696117987100788014e+03
3.302077081127220026e+03 1.000800659310850049e+00 4.188145183331303152e-03 7.678580594344815836e+03
3.302086268108330842e+03 9.989642509959346661e-01 4.182257709637724440e-03 7.664323824768014674e+03
3.302095455089441657e+03 9.994718695570197209e-01 4.179190481619964558e-03 7.668127338209562367e+03
3.302104642070552018e+03 1.000001284283846381e+00 4.176524141191344242e-03 7.672168814855393066e+03
3.302113829051662833e+03 9.980692780707345335e-01 4.173877924015193669e-03 7.657391354604491426e+03
3.302123016032773194e+03 9.957029554668087590e-01 4.170018612967659431e-03 7.639341590899110088e+03
3.302132203013884009e+03 9.927581887608726285e-01 4.156255937876041778e-03 7.616907920151240432e+03
3.302141389994994370e+03 9.897822506270137488e-01 4.140015452675785239e-03 7.594283422897747187e+03
3.302150576976105185e+03 9.879468726544882173e-01 4.130959419035551070e-03 7.580453066331691844e+03
3.302159763957216001e+03 9.864476489921175650e-01 4.126455529542739746e-03 7.569239893947122255e+03
3.302168950938326361e+03 9.804454937782166590e-01 4.106767832997815573e-03 7.523505835337053213e+03
3.302178137919437177e+03 9.724136245060733819e-01 4.077612911473352079e-03 7.462220003981456102e+03
3.302187324900547537e+03 9.509233779824177724e-01 3.998442971156390170e-03 7.297667526542434643e+03
3.302196511881658353e+03 9.248491104813324482e-01 3.902008908026713060e-03 7.097934682559254725e+03
3.302205698862768713e+03 8.667540052768776260e-01 3.689148905206928678e-03 6.652429365934797715e+03
3.302214885843879529e+03 7.952727812201916269e-01 3.424902172464272965e-03 6.104136946023807468e+03
3.302224072824990344e+03 7.041096839709933830e-01 3.089842829470763538e-03 5.404709303127750900e+03
3.302233259806100705e+03 6.044688767090626857e-01 2.723940249600416072e-03 4.640125000903412001e+03
3.302242446787211520e+03 5.379355505492087186e-01 2.473663695487759474e-03 4.129611893533970942e+03
3.302251633768321881e+03 4.887571897107111929e-01 2.285590039659779471e-03 3.752274929761358180e+03
3.302260820749432696e+03 4.960567574541332458e-01 2.306306062116537329e-03 3.808503086156289100e+03
3.302270007730543512e+03 5.337656051135806212e-01 2.443717164392545348e-03 4.098204506408439556e+03
3.302279194711653872e+03 5.841619480903058603e-01 2.624064596342250491e-03 4.485333688163482293e+03
3.302288381692764688e+03 6.392558418523547337e-01 2.820487426904283185e-03 4.908544228123422727e+03
3.302297568673875048e+03 7.003502252561946140e-01 3.043942384202314062e-03 5.377835866196413917e+03
3.302306755654985864e+03 7.665068536506376429e-01 3.288863572715979185e-03 5.885997076340989224e+03
3.302315942636096224e+03 8.328195309347390385e-01 3.536811316114072366e-03 6.395342301971157212e+03
3.302325129617207040e+03 8.972412067519673906e-01 3.779051580499659044e-03 6.890137106996375223e+03
3.302334316598317855e+03 9.367799489973525073e-01 3.926446594219350911e-03 7.193803480044255593e+03
3.302343503579428216e+03 9.604787830664601733e-01 4.012204194721324252e-03 7.375769924242862544e+03
3.302352690560539031e+03 9.760580095281520263e-01 4.068988681283766326e-03 7.495313318969308966e+03
3.302361877541649392e+03 9.850450372145347355e-01 4.102461993250604982e-03 7.564156466272503167e+03
