Species,WavelengthAir,OscillatorStrength,Gamma,v_comp,v_rad_init,v_rad_min,v_rad_max,b_comp,n_comp,b_init,b_min,b_max,w_min,w_max,v_rad_fit,b_fit,n_fit,n_init,weight,v_rad_err,b_err,n_err
CHplus,3957.692,0.00331,100000000.0,0,-15.65876657277562,-100.0,100.0,0,0,0.3410814067657075,0,20,3957.0319280244735,3958.352071975526,-15.664119216358088,0.34185256819576293,2166191340724.8599,2157293885103.971,1.0,0.04092881506895638,0.06331923262704162,183609251731.7142
CHplus,4229.347,0.002725,100000000.0,0,-15.65876657277562,-100.0,100.0,0,1,0.3410814067657075,0,20,4228.641620847333,4230.052379152667,-15.664119216358088,0.34185256819576293,0.0,0.0,1.0,0.04092881506895638,0.06331923262704162,0.0
CHplus,4232.548,0.00545,100000000.0,0,-15.65876657277562,-100.0,100.0,0,0,0.3410814067657075,0,20,4231.842086977998,4233.253913022001,-15.664119216358088,0.34185256819576293,2166191340724.8599,2157293885103.971,1.0,0.04092881506895638,0.06331923262704162,183609251731.7142
CHplus,3957.692,0.00331,100000000.0,1,-10.623152756980517,-100.0,100.0,1,2,2.856831204199012,0,20,3957.0319280244735,3958.352071975526,-10.62571813526813,2.8618895936668376,8933771944955.771,8925483340849.096,1.0,0.033461678102700135,0.0651239358878088,105169751923.1939
CHplus,4229.347,0.002725,100000000.0,1,-10.623152756980517,-100.0,100.0,1,3,2.856831204199012,0,20,4228.641620847333,4230.052379152667,-10.62571813526813,2.8618895936668376,0.0,0.0,1.0,0.033461678102700135,0.0651239358878088,0.0
CHplus,4232.548,0.00545,100000000.0,1,-10.623152756980517,-100.0,100.0,1,2,2.856831204199012,0,20,4231.842086977998,4233.253913022001,-10.62571813526813,2.8618895936668376,8933771944955.771,8925483340849.096,1.0,0.033461678102700135,0.0651239358878088,105169751923.1939
