Species,WavelengthAir,OscillatorStrength,Gamma,v_comp,v_rad_init,v_rad_min,v_rad_max,b_comp,n_comp,b_init,b_min,b_max,w_min,w_max,v_rad_fit,b_fit,n_fit
CHplus,3957.692,0.00331,100000000.0,0,-10.865327022097873,-100.0,100.0,0,0,1,0,20,3957.0319280244735,3958.352071975526,-15.658766572775619,0.34108140676570753,2157293885103.971
CHplus,4229.347,0.002725,100000000.0,0,-10.865327022097873,-100.0,100.0,0,1,1,0,20,4228.641620847333,4230.052379152667,-15.658766572775619,0.34108140676570753,1000000000.0
CHplus,4232.548,0.00545,100000000.0,0,-10.865327022097873,-100.0,100.0,0,0,1,0,20,4231.842086977998,4233.253913022001,-15.658766572775619,0.34108140676570753,2157293885103.971
CHplus,3957.692,0.00331,100000000.0,1,-14.463606766922167,-100.0,100.0,1,2,1,0,20,3957.0319280244735,3958.352071975526,-10.623152756980517,2.856831204199012,8925483340849.096
CHplus,4229.347,0.002725,100000000.0,1,-14.463606766922167,-100.0,100.0,1,3,1,0,20,4228.641620847333,4230.052379152667,-10.623152756980517,2.856831204199012,1000000000.0
CHplus,4232.548,0.00545,100000000.0,1,-14.463606766922167,-100.0,100.0,1,2,1,0,20,4231.842086977998,4233.253913022001,-10.623152756980517,2.856831204199012,8925483340849.096
