Species,WavelengthAir,OscillatorStrength,Gamma,GammaRef,v_comp,v_rad_init,v_rad_min,v_rad_max,b_comp,n_comp,b_init,b_min,b_max,n_init,w_min,w_max,weight,v_rad_fit,b_fit,n_fit,v_rad_err,b_err,n_err
TiII,3066.347,0.0489,250000000.0,10.0,0,-4.822638474255627,-5.822638474255627,-3.822638474255627,0,0,3,0.1,6,900000000000.0,3066.0345459403043,3066.696055133358,1.0,-5.09417642852293,4.896826029029843,1274861976736.1875,0.017295034999069373,0.026898506443921912,5724779699.54183
TiII,3072.97,0.121,256000000.0,10.0,0,-4.822638474255627,-5.822638474255627,-3.822638474255627,0,0,3,0.1,6,900000000000.0,3072.6966467932666,3073.3103127416266,1.0,-5.09417642852293,4.896826029029843,1274861976736.1875,0.017295034999069373,0.026898506443921912,5724779699.54183
TiII,3229.199,0.0687,244000000.0,10.0,0,-4.822638474255627,-5.822638474255627,-3.822638474255627,0,0,3,0.1,6,900000000000.0,3228.770198583383,3229.621260850059,1.0,-5.09417642852293,4.896826029029843,1274861976736.1875,0.017295034999069373,0.026898506443921912,5724779699.54183
TiII,3241.983,0.232,244000000.0,10.0,0,-4.822638474255627,-5.822638474255627,-3.822638474255627,0,0,3,0.1,6,900000000000.0,3241.499318553148,3242.503509906493,1.0,-5.09417642852293,4.896826029029843,1274861976736.1875,0.017295034999069373,0.026898506443921912,5724779699.54183
TiII,3383.7588,0.3586,175000000.0,10.0,0,-4.822638474255627,-5.822638474255627,-3.822638474255627,0,0,3,0.1,6,900000000000.0,3383.2534699402754,3384.3030562794447,5.0,-5.09417642852293,4.896826029029843,1274861976736.1875,0.017295034999069373,0.026898506443921912,5724779699.54183
TiII,3066.347,0.0489,250000000.0,10.0,1,8.290653387371918,7.290653387371918,9.290653387371918,1,1,5,0.1,6,1000000000000.0,3066.0345459403043,3066.696055133358,1.0,7.712200406174665,5.21583129441738,1097910603672.1067,0.06111964888236586,0.09811684796778355,19635462370.939655
TiII,3072.97,0.121,256000000.0,10.0,1,8.290653387371918,7.290653387371918,9.290653387371918,1,1,5,0.1,6,1000000000000.0,3072.6966467932666,3073.3103127416266,1.0,7.712200406174665,5.21583129441738,1097910603672.1067,0.06111964888236586,0.09811684796778355,19635462370.939655
TiII,3229.199,0.0687,244000000.0,10.0,1,8.290653387371918,7.290653387371918,9.290653387371918,1,1,5,0.1,6,1000000000000.0,3228.770198583383,3229.621260850059,1.0,7.712200406174665,5.21583129441738,1097910603672.1067,0.06111964888236586,0.09811684796778355,19635462370.939655
TiII,3241.983,0.232,244000000.0,10.0,1,8.290653387371918,7.290653387371918,9.290653387371918,1,1,5,0.1,6,1000000000000.0,3241.499318553148,3242.503509906493,1.0,7.712200406174665,5.21583129441738,1097910603672.1067,0.06111964888236586,0.09811684796778355,19635462370.939655
TiII,3383.7588,0.3586,175000000.0,10.0,1,8.290653387371918,7.290653387371918,9.290653387371918,1,1,5,0.1,6,1000000000000.0,3383.2534699402754,3384.3030562794447,5.0,7.712200406174665,5.21583129441738,1097910603672.1067,0.06111964888236586,0.09811684796778355,19635462370.939655
TiII,3066.347,0.0489,250000000.0,10.0,2,1.794168409339974,0.7941684093399739,2.794168409339974,2,2,5,0.1,6,500000000000.0,3066.0345459403043,3066.696055133358,1.0,2.440634678571789,1.08269673656634,145110674859.70407,0.042535298000541004,0.20719551122894883,12271215382.525816
TiII,3072.97,0.121,256000000.0,10.0,2,1.794168409339974,0.7941684093399739,2.794168409339974,2,2,5,0.1,6,500000000000.0,3072.6966467932666,3073.3103127416266,1.0,2.440634678571789,1.08269673656634,145110674859.70407,0.042535298000541004,0.20719551122894883,12271215382.525816
