Species,WavelengthAir,OscillatorStrength,Gamma,GammaRef,v_comp,v_rad_init,v_rad_min,v_rad_max,b_comp,b_init,b_min,b_max,w_min,w_max,cont,slope,v_rad_fit,b_fit,n_fit
KI,4044.142,0.00568,37900000.0,,0,-10.540034600380178,-100.0,100.0,0,0.001,0.0,20,4043.8077391205716,4044.1726704794874,-57154.623467651814,15.020076246484136,-10.763242748182908,2.5044393657029507,528635596241.5885
KI,7698.965,0.3331,37400000.0,10.0,0,-10.540034600380178,-100.0,100.0,0,0.001,0.0,20,7695.112852558719,7702.817147441281,68284.39072818728,-8.37517569312177,-10.763242748182908,2.5044393657029507,528635596241.5885
FeI,3679.913,0.0028,15700000.0,10.0,1,-11.478779139353508,-100.0,100.0,1,0.001,0.0,20,3678.0717697246205,3681.7542302753795,32747.91141602455,-8.412314582041065,-16.25710482416039,4.155368582559049e-07,20189251089955.152
FeI,3719.935,0.0411,16300000.0,10.0,1,-11.478779139353508,-100.0,100.0,1,0.001,0.0,20,3719.1290151043677,3720.3724741988917,375947.12450060906,-100.62816655313355,-16.25710482416039,4.155368582559049e-07,20189251089955.152
FeI,3859.9114,0.02165,12800000.0,10.0,1,-11.478779139353508,-100.0,100.0,1,0.001,0.0,20,3859.2666369713625,3859.9111377901254,100559.21625119985,-25.48985678333453,-16.25710482416039,4.155368582559049e-07,20189251089955.152
FeI,3679.913,0.0028,15700000.0,10.0,2,-15.305502436781,-100.0,100.0,2,0.001,0.0,20,3678.0717697246205,3681.7542302753795,32747.91141602455,-8.412314582041065,-11.642236180722778,1.7773277094676754,352498605304.27045
FeI,3719.935,0.0411,16300000.0,10.0,2,-15.305502436781,-100.0,100.0,2,0.001,0.0,20,3719.1290151043677,3720.3724741988917,375947.12450060906,-100.62816655313355,-11.642236180722778,1.7773277094676754,352498605304.27045
FeI,3859.9114,0.02165,12800000.0,10.0,2,-15.305502436781,-100.0,100.0,2,0.001,0.0,20,3859.2666369713625,3859.9111377901254,100559.21625119985,-25.48985678333453,-11.642236180722778,1.7773277094676754,352498605304.27045
