Species,WavelengthAir,OscillatorStrength,Gamma,GammaRef,v_comp,v_rad_init,v_rad_min,v_rad_max,b_comp,b_init,b_min,b_max,w_min,w_max,v_rad_fit,b_fit,n_fit
TiII,3066.347,0.0489,250000000.0,10.0,0,-10.149998873535193,-100.0,100.0,0,0.001,0.0,20,3065.6400949053777,3066.7950944407376,-10.667623100082908,3.999999983552647,658377017618.4431
TiII,3072.97,0.121,256000000.0,10.0,0,-10.149998873535193,-100.0,100.0,0,0.001,0.0,20,3072.34702226864,3073.6806689511177,-10.667623100082908,3.999999983552647,658377017618.4431
TiII,3229.199,0.0687,244000000.0,10.0,0,-10.149998873535193,-100.0,100.0,0,0.001,0.0,20,3228.7036131874506,3229.749512376876,-10.667623100082908,3.999999983552647,658377017618.4431
TiII,3241.983,0.232,244000000.0,10.0,0,-10.149998873535193,-100.0,100.0,0,0.001,0.0,20,3240.929907921655,3243.0232999581854,-10.667623100082908,3.999999983552647,658377017618.4431
TiII,3383.7588,0.3586,175000000.0,10.0,0,-10.149998873535193,-100.0,100.0,0,0.001,0.0,20,3382.889543557119,3384.6452304688833,-10.667623100082908,3.999999983552647,658377017618.4431
TiII,3066.347,0.0489,250000000.0,10.0,1,1.437074595367839,-100.0,100.0,1,0.001,0.0,20,3065.6400949053777,3066.7950944407376,0.060368980924873306,3.999999995003563,784713669856.3042
TiII,3072.97,0.121,256000000.0,10.0,1,1.437074595367839,-100.0,100.0,1,0.001,0.0,20,3072.34702226864,3073.6806689511177,0.060368980924873306,3.999999995003563,784713669856.3042
TiII,3229.199,0.0687,244000000.0,10.0,1,1.437074595367839,-100.0,100.0,1,0.001,0.0,20,3228.7036131874506,3229.749512376876,0.060368980924873306,3.999999995003563,784713669856.3042
TiII,3241.983,0.232,244000000.0,10.0,1,1.437074595367839,-100.0,100.0,1,0.001,0.0,20,3240.929907921655,3243.0232999581854,0.060368980924873306,3.999999995003563,784713669856.3042
TiII,3383.7588,0.3586,175000000.0,10.0,1,1.437074595367839,-100.0,100.0,1,0.001,0.0,20,3382.889543557119,3384.6452304688833,0.060368980924873306,3.999999995003563,784713669856.3042
TiII,3066.347,0.0489,250000000.0,10.0,2,8.108419925938605,-100.0,100.0,2,0.001,0.0,20,3065.6400949053777,3066.7950944407376,8.770643887651957,3.9998317419358207,603454009167.0364
TiII,3072.97,0.121,256000000.0,10.0,2,8.108419925938605,-100.0,100.0,2,0.001,0.0,20,3072.34702226864,3073.6806689511177,8.770643887651957,3.9998317419358207,603454009167.0364
TiII,3229.199,0.0687,244000000.0,10.0,2,8.108419925938605,-100.0,100.0,2,0.001,0.0,20,3228.7036131874506,3229.749512376876,8.770643887651957,3.9998317419358207,603454009167.0364
TiII,3241.983,0.232,244000000.0,10.0,2,8.108419925938605,-100.0,100.0,2,0.001,0.0,20,3240.929907921655,3243.0232999581854,8.770643887651957,3.9998317419358207,603454009167.0364
TiII,3383.7588,0.3586,175000000.0,10.0,2,8.108419925938605,-100.0,100.0,2,0.001,0.0,20,3382.889543557119,3384.6452304688833,8.770643887651957,3.9998317419358207,603454009167.0364
TiII,3066.347,0.0489,250000000.0,10.0,3,20.18644097877351,-100.0,100.0,3,0.001,0.0,20,3065.6400949053777,3066.7950944407376,18.35332072619815,3.99999998612073,201956614856.54932
TiII,3072.97,0.121,256000000.0,10.0,3,20.18644097877351,-100.0,100.0,3,0.001,0.0,20,3072.34702226864,3073.6806689511177,18.35332072619815,3.99999998612073,201956614856.54932
TiII,3229.199,0.0687,244000000.0,10.0,3,20.18644097877351,-100.0,100.0,3,0.001,0.0,20,3228.7036131874506,3229.749512376876,18.35332072619815,3.99999998612073,201956614856.54932
TiII,3241.983,0.232,244000000.0,10.0,3,20.18644097877351,-100.0,100.0,3,0.001,0.0,20,3240.929907921655,3243.0232999581854,18.35332072619815,3.99999998612073,201956614856.54932
TiII,3383.7588,0.3586,175000000.0,10.0,3,20.18644097877351,-100.0,100.0,3,0.001,0.0,20,3382.889543557119,3384.6452304688833,18.35332072619815,3.99999998612073,201956614856.54932
