3.301821573413274109e+03 1.007269800387033953e+00 2.322994135385841961e-03
3.301830800918228761e+03 1.008531245533579979e+00 2.323322937130410659e-03
3.301840028423183412e+03 1.009582237549792927e+00 2.322726990609969705e-03
3.301849255928137609e+03 1.008760169895172920e+00 2.320131299292235976e-03
3.301858483433092260e+03 1.007724480558451097e+00 2.318438982640347919e-03
3.301867710938046912e+03 1.007222701303586598e+00 2.315663554541240541e-03
3.301876938443001563e+03 1.006474228247687064e+00 2.309741893848141041e-03
3.301886165947955760e+03 1.005500623458996268e+00 2.303916750775076260e-03
3.301895393452910412e+03 1.005069129928590099e+00 2.300116719639512530e-03
3.301904620957865063e+03 1.005925316350930299e+00 2.300189866762607227e-03
3.301913848462819715e+03 1.007750439406805754e+00 2.303546732036899913e-03
3.301923075967773912e+03 1.008698387144369546e+00 2.306812746062026492e-03
3.301932303472728563e+03 1.007351503985294938e+00 2.306555973616629222e-03
3.301941530977683215e+03 1.005966998804436185e+00 2.304124492484265017e-03
3.301950758482637866e+03 1.006214953483830277e+00 2.302974690185693486e-03
3.301959985987592063e+03 1.006006498455547238e+00 2.299611440073668061e-03
3.301969213492546714e+03 1.005038729773216399e+00 2.293473969802382363e-03
3.301978440997501366e+03 1.004202792047352633e+00 2.289695340975571574e-03
3.301987668502456017e+03 1.003286886153217594e+00 2.288129279444103131e-03
3.301996896007410669e+03 1.002889459587103405e+00 2.287057487980448476e-03
3.302006123512364866e+03 1.004018353004988651e+00 2.289067960356043919e-03
3.302015351017319517e+03 1.004833577585222848e+00 2.290565566519201391e-03
3.302024578522274169e+03 1.003213966653301314e+00 2.285565072421460574e-03
3.302033806027228820e+03 1.001997304835235081e+00 2.281359990461985596e-03
3.302043033532183017e+03 1.003178420461296572e+00 2.281779281958387466e-03
3.302052261037137669e+03 1.004192026644505686e+00 2.280946600370294553e-03
3.302061488542092320e+03 1.003629271388035482e+00 2.280699855387916929e-03
3.302070716047046972e+03 1.002802732566613786e+00 2.282113433833789749e-03
3.302079943552001168e+03 1.001823084771475303e+00 2.282329927418139288e-03
3.302089171056955820e+03 1.000641804182549777e+00 2.282520787268725159e-03
3.302098398561910471e+03 9.999910649791197148e-01 2.282537430849157847e-03
3.302107626066865123e+03 1.000312781588376332e+00 2.281592555656328496e-03
3.302116853571819320e+03 1.001330649960272545e+00 2.280460698553022931e-03
3.302126081076773971e+03 1.001793563364232309e+00 2.280931863096186465e-03
3.302135308581728623e+03 1.002625848931326891e+00 2.285459488258335340e-03
3.302144536086683274e+03 1.003401040897832885e+00 2.288279570478491537e-03
3.302153763591637926e+03 1.002537618771185191e+00 2.284406026163769612e-03
3.302162991096592123e+03 1.001709975803237951e+00 2.281151163954669644e-03
3.302172218601546774e+03 1.001656696922878620e+00 2.280128159553238432e-03
3.302181446106501426e+03 1.001736790254820431e+00 2.278520779364315296e-03
3.302190673611456077e+03 1.002152216633160675e+00 2.278795274739079269e-03
