Species,WavelengthAir,OscillatorStrength,Gamma,GammaRef,v_comp,v_rad_init,b_comp,b_init,b_min,b_max,w_min,w_max,v_rad_fit,b_fit,n_fit
KI,4044.142,0.00568,37900000.0,,0,13.425485447313351,0,0.001,0.0,6,4044.09535256813,4044.6574505853614,13.791002092863291,1.6718605103625244,573963478343.2612
KI,7664.899,0.6691,37900000.0,10.0,0,13.425485447313351,0,0.001,0.0,6,7664.640411847998,7666.260235377461,13.791002092863291,1.6718605103625244,573963478343.2612
KI,7698.965,0.3331,37400000.0,10.0,0,13.425485447313351,0,0.001,0.0,6,7698.537907819525,7700.234202039591,13.791002092863291,1.6718605103625244,573963478343.2612
KI,4044.142,0.00568,37900000.0,,1,2.485449492373496,1,0.001,0.0,6,4044.09535256813,4044.6574505853614,2.5004246875825666,0.04718751213410943,635667002.1955005
KI,7664.899,0.6691,37900000.0,10.0,1,2.485449492373496,1,0.001,0.0,6,7664.640411847998,7666.260235377461,2.5004246875825666,0.04718751213410943,635667002.1955005
KI,7698.965,0.3331,37400000.0,10.0,1,2.485449492373496,1,0.001,0.0,6,7698.537907819525,7700.234202039591,2.5004246875825666,0.04718751213410943,635667002.1955005
KI,4044.142,0.00568,37900000.0,,2,14.00861783923445,2,0.001,0.0,6,4044.09535256813,4044.6574505853614,13.337243295342507,0.6924007804324217,228379941677.4786
KI,7664.899,0.6691,37900000.0,10.0,2,14.00861783923445,2,0.001,0.0,6,7664.640411847998,7666.260235377461,13.337243295342507,0.6924007804324217,228379941677.4786
KI,7698.965,0.3331,37400000.0,10.0,2,14.00861783923445,2,0.001,0.0,6,7698.537907819525,7700.234202039591,13.337243295342507,0.6924007804324217,228379941677.4786
KI,4044.142,0.00568,37900000.0,,3,15.399905904173453,3,0.001,0.0,6,4044.09535256813,4044.6574505853614,17.026920877626132,5.9991508637875235,139330551.86879826
KI,7664.899,0.6691,37900000.0,10.0,3,15.399905904173453,3,0.001,0.0,6,7664.640411847998,7666.260235377461,17.026920877626132,5.9991508637875235,139330551.86879826
KI,7698.965,0.3331,37400000.0,10.0,3,15.399905904173453,3,0.001,0.0,6,7698.537907819525,7700.234202039591,17.026920877626132,5.9991508637875235,139330551.86879826
