Species,WavelengthAir,OscillatorStrength,Gamma,GammaRef,v_comp,v_rad_init,v_rad_min,v_rad_max,b_comp,n_comp,b_init,b_min,b_max,n_init,w_min,w_max,weight,v_rad_fit,b_fit,n_fit
NaI,3302.368,0.009,9640000.0,8.0,0,12.908914252409065,11.908914252409065,13.908914252409065,0,0,1,0.0,6,1000000000000.0,3302.0745233134944,3303.469990751388,8.0,13.131013114197538,1.6256070810807333,58673817157939.586
NaI,3302.978,0.00446,9640000.0,8.0,0,12.908914252409065,11.908914252409065,13.908914252409065,0,0,1,0.0,6,1000000000000.0,3302.0745233134944,3303.469990751388,8.0,13.131013114197538,1.6256070810807333,58673817157939.586
NaI,5889.951,0.641,61600000.0,10.0,0,12.908914252409065,11.908914252409065,13.908914252409065,0,0,1,0.0,6,1000000000000.0,5889.328983025776,5891.016949363119,1.0,13.131013114197538,1.6256070810807333,58673817157939.586
NaI,5895.924,0.32,61400000.0,10.0,0,12.908914252409065,11.908914252409065,13.908914252409065,0,0,1,0.0,6,1000000000000.0,5895.421450868516,5896.9231512011565,1.0,13.131013114197538,1.6256070810807333,58673817157939.586
NaI,3302.368,0.009,9640000.0,8.0,1,26.103241160063714,25.103241160063714,27.103241160063714,1,1,3,0.0,6,1000000000.0,3302.0745233134944,3303.469990751388,8.0,25.103241500104588,3.479727554007746,32850008541.566235
NaI,3302.978,0.00446,9640000.0,8.0,1,26.103241160063714,25.103241160063714,27.103241160063714,1,1,3,0.0,6,1000000000.0,3302.0745233134944,3303.469990751388,8.0,25.103241500104588,3.479727554007746,32850008541.566235
NaI,5889.951,0.641,61600000.0,10.0,1,26.103241160063714,25.103241160063714,27.103241160063714,1,1,3,0.0,6,1000000000.0,5889.328983025776,5891.016949363119,1.0,25.103241500104588,3.479727554007746,32850008541.566235
NaI,5895.924,0.32,61400000.0,10.0,1,26.103241160063714,25.103241160063714,27.103241160063714,1,1,3,0.0,6,1000000000.0,5895.421450868516,5896.9231512011565,1.0,25.103241500104588,3.479727554007746,32850008541.566235
NaI,3302.368,0.009,9640000.0,8.0,2,-5.269936153658949,-6.269936153658949,-4.269936153658949,2,2,3,0.0,6,1000000000.0,3302.0745233134944,3303.469990751388,8.0,-4.269936154453472,5.999993287243283,41087955802.849655
NaI,3302.978,0.00446,9640000.0,8.0,2,-5.269936153658949,-6.269936153658949,-4.269936153658949,2,2,3,0.0,6,1000000000.0,3302.0745233134944,3303.469990751388,8.0,-4.269936154453472,5.999993287243283,41087955802.849655
NaI,5889.951,0.641,61600000.0,10.0,2,-5.269936153658949,-6.269936153658949,-4.269936153658949,2,2,3,0.0,6,1000000000.0,5889.328983025776,5891.016949363119,1.0,-4.269936154453472,5.999993287243283,41087955802.849655
NaI,5895.924,0.32,61400000.0,10.0,2,-5.269936153658949,-6.269936153658949,-4.269936153658949,2,2,3,0.0,6,1000000000.0,5895.421450868516,5896.9231512011565,1.0,-4.269936154453472,5.999993287243283,41087955802.849655
