Species,WavelengthAir,OscillatorStrength,Gamma,GammaRef,v_comp,v_rad_init,v_rad_min,v_rad_max,b_comp,b_init,b_min,b_max,w_min,w_max,cont,slope,v_rad_fit,b_fit,n_fit
FeI,3679.913,0.0028,15700000.0,10.0,0,-11.103287939435932,-100.0,100.0,0,0.001,0.0,20,3678.0717697246205,3681.7542302753795,32742.63582251205,-8.410800073274883,-10.540145780266752,0.1798072443118659,89765572118.8191
FeI,3719.935,0.0411,16300000.0,10.0,0,-11.103287939435932,-100.0,100.0,0,0.001,0.0,20,3719.1874068524753,3720.4352050365615,302599.34025864257,-80.8923182150587,-10.540145780266752,0.1798072443118659,89765572118.8191
FeI,3859.9114,0.02165,12800000.0,10.0,0,-11.103287939435932,-100.0,100.0,0,0.001,0.0,20,3859.238877813466,3859.9598448310653,99147.38780166837,-25.12416074514907,-10.540145780266752,0.1798072443118659,89765572118.8191
FeI,3679.913,0.0028,15700000.0,10.0,1,-15.408115887212233,-100.0,100.0,1,0.001,0.0,20,3678.0717697246205,3681.7542302753795,32742.63582251205,-8.410800073274883,-13.106003877466446,2.1571067044048675,223599495173.5527
FeI,3719.935,0.0411,16300000.0,10.0,1,-15.408115887212233,-100.0,100.0,1,0.001,0.0,20,3719.1874068524753,3720.4352050365615,302599.34025864257,-80.8923182150587,-13.106003877466446,2.1571067044048675,223599495173.5527
FeI,3859.9114,0.02165,12800000.0,10.0,1,-15.408115887212233,-100.0,100.0,1,0.001,0.0,20,3859.238877813466,3859.9598448310653,99147.38780166837,-25.12416074514907,-13.106003877466446,2.1571067044048675,223599495173.5527
