Species,WavelengthAir,OscillatorStrength,Gamma,GammaRef,v_comp,v_rad_init,v_rad_min,v_rad_max,b_comp,n_comp,b_init,b_min,b_max,n_init,w_min,w_max,weight,v_rad_fit,b_fit,n_fit
NaI,3302.368,0.009,9640000.0,8.0,0,-9.549675275521363,-10.549675275521363,-8.549675275521363,0,0,2,0.0,6,100000000000000.0,3302.0139416826614,3303.195212103343,65.0,-8.874164893239291,2.4106793089786596,11597171353054.37
NaI,3302.978,0.00446,9640000.0,8.0,0,-9.549675275521363,-10.549675275521363,-8.549675275521363,0,0,2,0.0,6,100000000000000.0,3302.0139416826614,3303.195212103343,65.0,-8.874164893239291,2.4106793089786596,11597171353054.37
NaI,5889.951,0.641,61600000.0,10.0,0,-9.549675275521363,-10.549675275521363,-8.549675275521363,0,0,2,0.0,6,100000000000000.0,5889.012115497524,5890.423283313846,1.0,-8.874164893239291,2.4106793089786596,11597171353054.37
NaI,5895.924,0.32,61400000.0,10.0,0,-9.549675275521363,-10.549675275521363,-8.549675275521363,0,0,2,0.0,6,100000000000000.0,5895.020602587648,5896.435932608657,1.0,-8.874164893239291,2.4106793089786596,11597171353054.37
NaI,3302.368,0.009,9640000.0,8.0,1,-23.456310593994278,-24.456310593994278,-22.456310593994278,1,1,1,0.0,6,1000000000000.0,3302.0139416826614,3303.195212103343,65.0,-23.531874975272167,0.9106533300587267,276847669647.58685
NaI,3302.978,0.00446,9640000.0,8.0,1,-23.456310593994278,-24.456310593994278,-22.456310593994278,1,1,1,0.0,6,1000000000000.0,3302.0139416826614,3303.195212103343,65.0,-23.531874975272167,0.9106533300587267,276847669647.58685
NaI,5889.951,0.641,61600000.0,10.0,1,-23.456310593994278,-24.456310593994278,-22.456310593994278,1,1,1,0.0,6,1000000000000.0,5889.012115497524,5890.423283313846,1.0,-23.531874975272167,0.9106533300587267,276847669647.58685
NaI,5895.924,0.32,61400000.0,10.0,1,-23.456310593994278,-24.456310593994278,-22.456310593994278,1,1,1,0.0,6,1000000000000.0,5895.020602587648,5896.435932608657,1.0,-23.531874975272167,0.9106533300587267,276847669647.58685
NaI,3302.368,0.009,9640000.0,8.0,2,-16.502992934780966,-17.502992934780966,-15.502992934780966,2,2,2,0.0,6,1000000000000.0,3302.0139416826614,3303.195212103343,65.0,-16.779794847282105,1.013624143832173,124979787529.92078
NaI,3302.978,0.00446,9640000.0,8.0,2,-16.502992934780966,-17.502992934780966,-15.502992934780966,2,2,2,0.0,6,1000000000000.0,3302.0139416826614,3303.195212103343,65.0,-16.779794847282105,1.013624143832173,124979787529.92078
NaI,5889.951,0.641,61600000.0,10.0,2,-16.502992934780966,-17.502992934780966,-15.502992934780966,2,2,2,0.0,6,1000000000000.0,5889.012115497524,5890.423283313846,1.0,-16.779794847282105,1.013624143832173,124979787529.92078
NaI,5895.924,0.32,61400000.0,10.0,2,-16.502992934780966,-17.502992934780966,-15.502992934780966,2,2,2,0.0,6,1000000000000.0,5895.020602587648,5896.435932608657,1.0,-16.779794847282105,1.013624143832173,124979787529.92078
NaI,3302.368,0.009,9640000.0,8.0,3,-29.894567685927036,-30.894567685927036,-28.894567685927036,3,3,2,0.0,6,1000000000.0,3302.0139416826614,3303.195212103343,65.0,-29.961237395695264,1.6831783546923156,11837744546.471615
NaI,3302.978,0.00446,9640000.0,8.0,3,-29.894567685927036,-30.894567685927036,-28.894567685927036,3,3,2,0.0,6,1000000000.0,3302.0139416826614,3303.195212103343,65.0,-29.961237395695264,1.6831783546923156,11837744546.471615
NaI,5889.951,0.641,61600000.0,10.0,3,-29.894567685927036,-30.894567685927036,-28.894567685927036,3,3,2,0.0,6,1000000000.0,5889.012115497524,5890.423283313846,1.0,-29.961237395695264,1.6831783546923156,11837744546.471615
NaI,5895.924,0.32,61400000.0,10.0,3,-29.894567685927036,-30.894567685927036,-28.894567685927036,3,3,2,0.0,6,1000000000.0,5895.020602587648,5896.435932608657,1.0,-29.961237395695264,1.6831783546923156,11837744546.471615
