Species,WavelengthAir,OscillatorStrength,Gamma,GammaRef,v_comp,v_rad_init,v_rad_min,v_rad_max,b_comp,b_init,b_min,b_max,w_min,w_max,cont,slope,v_rad_fit,b_fit,n_fit
KI,4044.142,0.00568,37900000.0,,0,0,-100,100,0,0.001,0,20,4043.6108431242023,4044.5265390383065,-330644.07112656493,82.63680236007467,-7.511063436621008,2.1256011846050207,1286862295835.8987
KI,7698.965,0.3331,37400000.0,10.0,0,0,-100,100,0,0.001,0,20,7695.112852558719,7702.817147441281,95731.34665141135,-11.647688493158428,-7.511063436621008,2.1256011846050207,1286862295835.8987
