Species,WavelengthAir,OscillatorStrength,Gamma,GammaRef,v_comp,v_rad_init,b_comp,b_init,b_min,b_max,w_min,w_max,v_rad_fit,b_fit,n_fit
FeI,3679.913,0.0028,15700000.0,10.0,0,-16.419647609700377,0,0.001,0.0,6,3679.2154386334887,3680.441608467127,-14.419647614799096,4.333773033334419,358657730772.49054
FeI,3719.935,0.0411,16300000.0,10.0,0,-16.419647609700377,0,0.001,0.0,6,3719.2153650844666,3720.4408886470064,-14.419647614799096,4.333773033334419,358657730772.49054
FeI,3859.9114,0.02165,12800000.0,10.0,0,-16.419647609700377,0,0.001,0.0,6,3859.0868428263802,3860.369834453218,-14.419647614799096,4.333773033334419,358657730772.49054
FeI,3679.913,0.0028,15700000.0,10.0,1,-7.720610397810109,1,0.001,0.0,6,3679.2154386334887,3680.441608467127,-7.391996465408166,2.7627175034320723,975557722880.8491
FeI,3719.935,0.0411,16300000.0,10.0,1,-7.720610397810109,1,0.001,0.0,6,3719.2153650844666,3720.4408886470064,-7.391996465408166,2.7627175034320723,975557722880.8491
FeI,3859.9114,0.02165,12800000.0,10.0,1,-7.720610397810109,1,0.001,0.0,6,3859.0868428263802,3860.369834453218,-7.391996465408166,2.7627175034320723,975557722880.8491
