,Wavelength,Flux
0,5794.517944850348,1.001666207428433
1,5794.554160700677,0.9994923187986765
2,5794.590376777356,1.0008702776442615
3,5794.626593080388,1.000142389772143
4,5794.66280960977,1.0007533245856566
5,5794.699026365506,1.0004158810507096
6,5794.7352433476,1.0004489257852713
7,5794.7714605560495,1.001051425277315
8,5794.807677990856,1.0003490976474294
9,5794.843895652024,1.0004578121431145
10,5794.880113539552,1.0010078419563828
11,5794.916331653443,0.998880109920444
12,5794.952549993697,1.0011754672775988
13,5794.988768560319,0.998960495664475
14,5795.024987353305,1.000411510799122
15,5795.06120637266,0.9982395934259808
16,5795.097425618385,0.9993859285276113
17,5795.13364509048,0.9978683152331821
18,5795.169864788948,0.996436863214921
19,5795.20608471379,0.997139017454784
20,5795.242304865007,0.9950567341082511
21,5795.278525242601,0.9970352622143888
22,5795.314745846574,0.9978380167464943
23,5795.350966676924,0.997761405907277
24,5795.387187733656,0.9976535193968736
25,5795.423409016771,0.9977255071878994
26,5795.459630526269,0.9962633511984293
27,5795.495852262154,0.9969923845298243
28,5795.532074224423,0.9988979722586292
29,5795.56829641308,0.998871804864389
30,5795.604518828128,0.9995515705866217
31,5795.640741469565,0.998640598728224
32,5795.676964337396,0.9978462794807625
33,5795.71318743162,0.9983863847237772
34,5795.749410752239,0.99939890054225
35,5795.785634299255,0.9978174707847646
36,5795.821858072669,0.9975237080850152
37,5795.858082072479,0.9979431387346447
38,5795.894306298694,0.9982694812839519
39,5795.930530751309,0.9996668702879208
40,5795.966755430329,0.9969089804217092
41,5796.002980335752,0.9978353473193821
42,5796.039205467582,0.9992499159705478
43,5796.07543082582,0.9999228675736082
44,5796.111656410468,0.9993380044661327
45,5796.147882221526,0.9986858866096626
46,5796.184108258995,1.0005939765361076
47,5796.220334522878,1.0004224683323892
48,5796.256561013178,1.0011616223998465
49,5796.292787729893,1.0015069996678239
50,5796.329014673022,1.0008669515801376
51,5796.3652418425745,1.0020605226691504
52,5796.401469238546,1.0003355655165571
53,5796.43769686094,1.001110186704372
54,5796.473924709759,1.0006542385615382
55,5796.510152784998,1.0006377770912034
56,5796.546381086668,1.0019470371111407
57,5796.582609614763,0.9997767122623871
58,5796.618838369287,1.000163705225143
59,5796.655067350242,0.9999195759516613
60,5796.691296557629,0.9988719073107748
61,5796.72752599145,0.9978934498276376
62,5796.763755651704,0.9966403722114398
63,5796.799985538395,0.9942231993538421
64,5796.836215651523,0.9905089304357095
65,5796.872445991091,0.9877156451748177
66,5796.908676557098,0.980859847023556
67,5796.944907349547,0.9726000391534161
68,5796.98113836844,0.9637724255402343
69,5797.017369613777,0.9513542531089912
70,5797.05360108556,0.941645452376543
71,5797.08983278379,0.9340121619503534
72,5797.12606470847,0.9303395153134166
73,5797.162296859599,0.9303586529446396
74,5797.198529237181,0.9286904137636786
75,5797.234761841215,0.9283317970531642
76,5797.270994671704,0.9325770422873542
77,5797.307227728647,0.9350297551071135
78,5797.343461012049,0.9349268452946097
79,5797.37969452191,0.9307612875689159
80,5797.415928258232,0.9324515756553166
81,5797.452162221014,0.937343573906272
82,5797.48839641026,0.9477838128425339
83,5797.524630825969,0.9547226552539634
84,5797.5608654681455,0.9601037442009965
85,5797.597100336789,0.9662067863957916
86,5797.6333354318995,0.9693017328092451
87,5797.66957075348,0.9714639264557626
88,5797.705806301535,0.9745238479497902
89,5797.74204207606,0.974630603064542
90,5797.77827807706,0.977123630106954
91,5797.814514304535,0.9819787461398467
92,5797.850750758489,0.9832818655409398
93,5797.886987438921,0.9853636332561845
94,5797.923224345833,0.9849291513926406
95,5797.959461479224,0.9838405580742832
96,5797.9956988391,0.9871169238260279
97,5798.03193642546,0.9904703660148921
98,5798.068174238306,0.9915409401899197
99,5798.1044122776375,0.9914660288515916
100,5798.14065054346,0.9905876583061511
101,5798.17688903577,0.9936663120002381
102,5798.213127754571,0.9975278000565847
103,5798.249366699865,0.9976764393234367
104,5798.285605871655,0.9989019194781726
105,5798.32184526994,0.9991809788378098
106,5798.35808489472,0.999538448791014
107,5798.394324746001,0.9983456580507234
108,5798.4305648237805,0.9985222826939235
109,5798.466805128061,0.9996215333581224
110,5798.503045658846,0.9993165191746566
111,5798.539286416131,1.0000654982858694
112,5798.575527399926,0.9978407953439968
113,5798.611768610224,0.9995828725572672
114,5798.648010047033,0.9990665955512592
115,5798.684251710351,0.9999450371150584
116,5798.720493600179,0.9999262548707591
117,5798.756735716521,1.0004349751939012
118,5798.792978059375,1.0001909088203784
119,5798.829220628746,1.0007154793243267
120,5798.865463424632,1.0001635701595477
121,5798.901706447038,1.0006051743495021
122,5798.937949695965,1.0011962064383158
123,5798.97419317141,1.002235152535594
124,5799.010436873377,1.000908979598452
125,5799.046680801871,1.0013476383387518
126,5799.082924956889,1.0003958850294916
127,5799.119169338433,1.0003185655731772
128,5799.155413946505,0.9999911247015495
129,5799.191658781107,0.9994579182848689
130,5799.22790384224,1.0002582975103402
131,5799.264149129906,1.0002222942540595
132,5799.300394644104,0.9999061920193397
133,5799.336640384839,0.9988891012737622
134,5799.372886352109,0.9992504964055039
