     Position                    Intensity
 6.61802918795701E+0003	 7.84413327278729E-0028
 6.61802539371835E+0003	 9.32080365292132E-0028
 6.61802159947969E+0003	 1.10528256189215E-0027
 6.61801780524103E+0003	 1.30803316749091E-0027
 6.61801401100236E+0003	 1.54491237842841E-0027
 6.61801021676370E+0003	 1.82113876996245E-0027
 6.61800642252504E+0003	 2.14264881112807E-0027
 6.61800262828638E+0003	 2.51618531990172E-0027
 6.61799883404772E+0003	 2.94939581055781E-0027
 6.61799503980906E+0003	 3.45094178925680E-0027
 6.61799124557039E+0003	 4.03062016984275E-0027
 6.61798745133173E+0003	 4.69949811071725E-0027
 6.61798365709307E+0003	 5.47006271673297E-0027
 6.61797986285441E+0003	 6.35638720862824E-0027
 6.61797606861575E+0003	 7.37431533800576E-0027
 6.61797227437709E+0003	 8.54166601973601E-0027
 6.61796848013842E+0003	 9.87846036753484E-0027
 6.61796468589976E+0003	 1.14071735540358E-0026
 6.61796089166110E+0003	 1.31530141757924E-0026
 6.61795709742244E+0003	 1.51442340882923E-0026
 6.61795330318378E+0003	 1.74124719884130E-0026
 6.61794950894512E+0003	 1.99931343641458E-0026
 6.61794571470645E+0003	 2.29258178064624E-0026
 6.61794192046779E+0003	 2.62547770887347E-0026
 6.61793812622913E+0003	 3.00294438682953E-0026
 6.61793433199047E+0003	 3.43050013560360E-0026
 6.61793053775181E+0003	 3.91430208372518E-0026
 6.61792674351315E+0003	 4.46121665145719E-0026
 6.61792294927449E+0003	 5.07889757865752E-0026
 6.61791915503582E+0003	 5.77587227789201E-0026
 6.61791536079716E+0003	 6.56163737144917E-0026
 6.61791156655850E+0003	 7.44676435518251E-0026
 6.61790777231984E+0003	 8.44301642442801E-0026
 6.61790397808118E+0003	 9.56347759843253E-0026
 6.61790018384252E+0003	 1.08226953906927E-0025
 6.61789638960385E+0003	 1.22368383943495E-0025
 6.61789259536519E+0003	 1.38238702854237E-0025
 6.61788880112653E+0003	 1.56037418934346E-0025
 6.61788500688787E+0003	 1.75986031501727E-0025
 6.61788121264921E+0003	 1.98330369045709E-0025
 6.61787741841055E+0003	 2.23343167863665E-0025
 6.61787362417188E+0003	 2.51326915153408E-0025
 6.61786982993322E+0003	 2.82616982883017E-0025
 6.61786603569456E+0003	 3.17585081347525E-0025
 6.61786224145590E+0003	 3.56643064166611E-0025
 6.61785844721724E+0003	 4.00247119604096E-0025
 6.61785465297858E+0003	 4.48902386525616E-0025
 6.61785085873991E+0003	 5.03168037084784E-0025
 6.61784706450125E+0003	 5.63662872371982E-0025
 6.61784327026259E+0003	 6.31071481808040E-0025
 6.61783947602393E+0003	 7.06151022054267E-0025
 6.61783568178527E+0003	 7.89738676680452E-0025
 6.61783188754661E+0003	 8.82759863826463E-0025
 6.61782809330794E+0003	 9.86237265656998E-0025
 6.61782429906928E+0003	 1.10130076059255E-0024
 6.61782050483062E+0003	 1.22919834715620E-0024
 6.61781671059196E+0003	 1.37130815686272E-0024
 6.61781291635330E+0003	 1.52915166295550E-0024
 6.61780912211464E+0003	 1.70440820203462E-0024
 6.61780532787598E+0003	 1.89893093678707E-0024
 6.61780153363731E+0003	 2.11476440020580E-0024
 6.61779773939865E+0003	 2.35416377494989E-0024
 6.61779394515999E+0003	 2.61961607594525E-0024
 6.61779015092133E+0003	 2.91386342005015E-0024
 6.61778635668267E+0003	 3.23992858371885E-0024
 6.61778256244401E+0003	 3.60114306820482E-0024
 6.61777876820534E+0003	 4.00117791207655E-0024
 6.61777497396668E+0003	 4.44407751281211E-0024
 6.61777117972802E+0003	 4.93429674314033E-0024
 6.61776738548936E+0003	 5.47674167377281E-0024
 6.61776359125070E+0003	 6.07681424239831E-0024
 6.61775979701204E+0003	 6.74046123948925E-0024
 6.61775600277337E+0003	 7.47422801481291E-0024
 6.61775220853471E+0003	 8.28531734478786E-0024
 6.61774841429605E+0003	 9.18165394023962E-0024
 6.61774462005739E+0003	 1.01719551169790E-0023
 6.61774082581873E+0003	 1.12658081982686E-0023
 6.61773703158007E+0003	 1.24737552690061E-0023
 6.61773323734140E+0003	 1.38073859567287E-0023
 6.61772944310274E+0003	 1.52794389747359E-0023
 6.61772564886408E+0003	 1.69039132282271E-0023
 6.61772185462542E+0003	 1.86961893558303E-0023
 6.61771806038676E+0003	 2.06731626568386E-0023
 6.61771426614810E+0003	 2.28533884394544E-0023
 6.61771047190944E+0003	 2.52572409180331E-0023
 6.61770667767077E+0003	 2.79070868884171E-0023
 6.61770288343211E+0003	 3.08274755207402E-0023
 6.61769908919345E+0003	 3.40453457293699E-0023
 6.61769529495479E+0003	 3.75902527108518E-0023
 6.61769150071613E+0003	 4.14946153837801E-0023
 6.61768770647747E+0003	 4.57939866204585E-0023
 6.61768391223880E+0003	 5.05273483301628E-0023
 6.61768011800014E+0003	 5.57374336389297E-0023
 6.61767632376148E+0003	 6.14710786123417E-0023
 6.61767252952282E+0003	 6.77796061871091E-0023
 6.61766873528416E+0003	 7.47192452157895E-0023
 6.61766494104550E+0003	 8.23515877882740E-0023
 6.61766114680683E+0003	 9.07440882753379E-0023
 6.61765735256817E+0003	 9.99706078453471E-0023
 6.61765355832951E+0003	 1.10112008536995E-0022
 6.61764976409085E+0003	 1.21256801330709E-0022
 6.61764596985219E+0003	 1.33501853051255E-0022
 6.61764217561353E+0003	 1.46953157356351E-0022
 6.61763838137486E+0003	 1.61726675523258E-0022
 6.61763458713620E+0003	 1.77949253239971E-0022
 6.61763079289754E+0003	 1.95759620142634E-0022
 6.61762699865888E+0003	 2.15309479419199E-0022
