Object,value_ebv,unc_lower,unc_upper,reference_id,preferred_flag
HD 103779,0.24,NaN,NaN,1,1
HD 103779,0.24,NaN,NaN,2,0
HD 104705,0.23,NaN,NaN,1,1
HD 104705,0.23,NaN,NaN,2,0
HD 109399,0.24,NaN,NaN,1,1
HD 109399,0.26,NaN,NaN,2,0
