object,value,unc_lower,unc_upper,reference_id,preferred_flag
HD 203532,B3 IV,NaN,NaN,13,1
HD 22951,B0.5 V,NaN,NaN,12,1
HD 22951,B0.5 V,NaN,NaN,13,1
HD 23016,B9 Vne,NaN,NaN,12,1
HD 23016,B8 Ve,NaN,NaN,13,1
HD 23180,B1 III,NaN,NaN,12,1
HD 23180,B1 III,NaN,NaN,13,1
HD 24398,B1 Ib,NaN,NaN,12,1
HD 24398,B1 Ib,NaN,NaN,13,1
HD 27778,B3 V,NaN,NaN,12,1
HD 27778,B3 V,NaN,NaN,13,1
HD 303308,O3 V,NaN,NaN,12,1
HD 303308,O4.5 V((fc)),NaN,NaN,13,1
HD 34748,B1.5 Vn,NaN,NaN,12,1
HD 34748,B1.5 Vn,NaN,NaN,13,1
HD 36486,O9.5 II,NaN,NaN,12,1
HD 36486,O9.5 II Nwk,NaN,NaN,13,1
HD 36695,B1 V,NaN,NaN,12,1
HD 36695,B1 V,NaN,NaN,13,1
HD 36822,B0 III,NaN,NaN,12,1
HD 36822,B0 III,NaN,NaN,13,1
HD 36861,O8 III,NaN,NaN,12,1
HD 36861,O8 III(f),NaN,NaN,13,1
HD 36982,B1.5 Vpvar,NaN,NaN,12,1
HD 36982,---,NaN,NaN,13,1
HD 37020,B0.5 V,NaN,NaN,12,1
HD 37020,B0.5 V,NaN,NaN,13,1
HD 37021,B3 V,NaN,NaN,12,1
HD 37021,B0 V,NaN,NaN,13,1
HD 37022,04-6p var,NaN,NaN,12,1
HD 37022,O7 Vp,NaN,NaN,13,1
HD 37023,B0.5 V,NaN,NaN,12,1
HD 37023,B1.5 Vp,NaN,NaN,13,1
HD 37041,O9 V,NaN,NaN,12,1
HD 37041,O9.5I Vp,NaN,NaN,13,1
HD 37061,B0.5 V,NaN,NaN,12,1
HD 37061,B0.5 V,NaN,NaN,13,1
HD 37128,B0 Iae,NaN,NaN,12,1
HD 37128,B0 Ia,NaN,NaN,13,1
HD 37367,B2 V SB,NaN,NaN,12,1
HD 37367,B2 IV/V,NaN,NaN,13,1
HD 37903,B1.5 V,NaN,NaN,12,1
HD 37903,B1.5 V,NaN,NaN,13,1
HD 38087,B5 V,NaN,NaN,12,1
HD 38087,B5 V,NaN,NaN,13,1
HD 38771,B0.5 Ia,NaN,NaN,12,1
HD 38771,B0.5 Ia,NaN,NaN,13,1
HD 39680,O6 V,NaN,NaN,12,1
HD 39680,O6 V:[n]pe-var,NaN,NaN,13,1
HD 40111,B1 Ib,NaN,NaN,12,1
HD 40111,B1 Ib,NaN,NaN,13,1
HD 41117,B2 Iaev,NaN,NaN,12,1
HD 41117,B2 Ia,NaN,NaN,13,1
HD 43384,B3 Iab,NaN,NaN,12,1
HD 43384,B3 Iab,NaN,NaN,13,1
HD 45314,O9,NaN,NaN,12,1
HD 45314,O9:npe,NaN,NaN,13,1
HD 49787,B1 V,NaN,NaN,12,1
HD 49787,B1 V:pe,NaN,NaN,13,1
HD 50820,B3 IVe,NaN,NaN,12,1
HD 50820,B3 IVe,NaN,NaN,13,1
HD 53975,O7.5 V,NaN,NaN,12,1
HD 53975,O7.5 Vz,NaN,NaN,13,1
HD 54439,B2 IIIn,NaN,NaN,12,1
HD 54439,B2 IIIn,NaN,NaN,13,1
HD 54662,O6.5 V,NaN,NaN,12,1
HD 54662,O7 Vzvar?(SB2),NaN,NaN,13,1
HD 55879,O9.5 II/III,NaN,NaN,12,1
HD 55879,O9.7 III,NaN,NaN,13,1
HD 57061,09 Ib,NaN,NaN,12,1
HD 57061,O9 II(SB2+SBE),NaN,NaN,13,1
HD 61827,O8 V,NaN,NaN,12,1
HD 61827,B3 Iab,NaN,NaN,13,1
HD 66194,B2 IVpne,NaN,NaN,12,1
HD 66194,B2 Vne,NaN,NaN,13,1
HD 66811,O4 If,NaN,NaN,12,1
HD 66811,O4 I(n)fp,NaN,NaN,13,1
HD 73882,O8.5 V,NaN,NaN,12,1
HD 73882,O8.5 IV(SB1+SBE),NaN,NaN,13,1
HD 75309,B2 Ib/II,NaN,NaN,12,1
HD 75309,B2 Ib/II,NaN,NaN,13,1
HD 75860,B1.5 Iae,NaN,NaN,12,1
HD 75860,BC2 Iab,NaN,NaN,13,1
HD 79186,B5 Ia,NaN,NaN,12,1
HD 79186,B5 Ia,NaN,NaN,13,1
HD 80558,B6 Iae,NaN,NaN,12,1
HD 80558,B6 Ia,NaN,NaN,13,1
HD 81188,B2 IV-V,NaN,NaN,12,1
HD 81188,---,NaN,NaN,13,1
HD 91824,O7 V(f),NaN,NaN,12,1
HD 91824,O7 V((f))z(SB1),NaN,NaN,13,1
HD 93030,B0.5 Vp,NaN,NaN,12,1
HD 93030,B0.2 Vp,NaN,NaN,13,1
HD 93205,O3 V,NaN,NaN,12,1
HD 93205,O3.5 V((f))+O8 V,NaN,NaN,13,1
HD 93222,O7 III (f),NaN,NaN,12,1
HD 93222,O7 V((f))z,NaN,NaN,13,1
HD 93843,O5 e,NaN,NaN,12,1
HD 93843,O5 III(fc)SB1?,NaN,NaN,13,1
HD 94493,B0.5 Iab,NaN,NaN,12,1
HD 94493,B0.5 Ib:,NaN,NaN,13,1
HD 99953,B2 Ia,NaN,NaN,12,1
HD 99953,B2 Ia,NaN,NaN,13,1
