Object
HD 22951
HD 23016
HD 23180
HD 23466
HD 24398
HD 27778
HD 34748
HD 36486
HD 36695
HD 36822
HD 36861
HD 36982
HD 37020
HD 37022
HD 37023
HD 37041
HD 37061
HD 37128
HD 37367
HD 37903
HD 38771
HD 39680
HD 40111
HD 41117
HD 43384
HD 45314
HD 49787
HD 50820
HD 53975
HD 54239
HD 54439
HD 54662
HD 55879
HD 57061
HD 61827
HD 63804
HD 66194
HD 66811
HD 68273
HD 73882
HD 75309
HD 75860
HD 79186
HD 80558
HD 81188
HD 91824
HD 93030
HD 93205
HD 93222
HD 93843
HD 94493
HD 99953
HD 101065
HD 103779
HD 104705
HD 109399
HD 110432
HD 111934
HD 112272
HD 113904
HD 114886
HD 116852
HD 122879
HD 124314
HD 133518
HD 135591
HD 143275
HD 144217
HD 144470
HD 145502
HD 147084
HD 147165
HD 147683
HD 147888
HD 147889
HD 147932
HD 147933
HD 148184
HD 148605
HD 148937
HD 149038
HD 149404
HD 149757      
HD 150136     
HD 151804
HD 152248
HD 152408
HD 152424
HD 153919
HD 154043
HD 154368
HD 155806
HD 156201
HD 157246
HD 157978
HD 158926
HD 161056
HD 164073
HD 164353
HD 164740
HD 164906
HD 165319
HD 166937
HD 167264
HD 167838
HD 167971
HD 168076
HD 169454
HD 170740
HD 170938
HD 171957
HD 172694
HD 179406
HD 180554
HD 183143
HD 184915
HD 185418
HD 185859
HD 186745
HD 186841
HD 203532
HD 210121
HD 303308
