Species,WavelengthAir,OscillatorStrength,Gamma,GammaRef,v_comp,v_rad_init,v_rad_min,v_rad_max,b_comp,n_comp,b_init,b_min,b_max,n_init,w_min,w_max,weight,v_rad_fit,b_fit,n_fit,v_rad_err,b_err,n_err
NaI,3302.368,0.009,9640000.0,8.0,0,14.270094187576102,12.98586459250637,14.98586459250637,0,0,1.6793321693931047,0.1,6,91300000000000.0,3302.217203092625,3303.3512461651285,80.0,14.293396727310943,1.6858920156100572,91463832153312.19,,,
NaI,3302.978,0.00446,9640000.0,8.0,0,14.270094187576102,12.98586459250637,14.98586459250637,0,0,1.6793321693931047,0.1,6,91300000000000.0,3302.217203092625,3303.3512461651285,80.0,14.293396727310943,1.6858920156100572,91463832153312.19,,,
NaI,5889.951,0.641,61600000.0,10.0,0,14.270094187576102,12.98586459250637,14.98586459250637,0,0,1.6793321693931047,0.1,6,91300000000000.0,5889.488873824823,5890.874466185133,1.0,14.293396727310943,1.6858920156100572,91463832153312.19,,,
NaI,5895.924,0.32,61400000.0,10.0,0,14.270094187576102,12.98586459250637,14.98586459250637,0,0,1.6793321693931047,0.1,6,91300000000000.0,5895.499344206234,5896.84762921639,1.0,14.293396727310943,1.6858920156100572,91463832153312.19,,,
NaI,3302.368,0.009,9640000.0,8.0,1,-5.289682047929125,-10.289682047929125,-0.28968204792912466,1,1,3.0,0.1,6,20000000000.0,3302.217203092625,3303.3512461651285,80.0,-5.6146087376567175,3.3787278967627326,15779292237.111317,,,
NaI,3302.978,0.00446,9640000.0,8.0,1,-5.289682047929125,-10.289682047929125,-0.28968204792912466,1,1,3.0,0.1,6,20000000000.0,3302.217203092625,3303.3512461651285,80.0,-5.6146087376567175,3.3787278967627326,15779292237.111317,,,
NaI,5889.951,0.641,61600000.0,10.0,1,-5.289682047929125,-10.289682047929125,-0.28968204792912466,1,1,3.0,0.1,6,20000000000.0,5889.488873824823,5890.874466185133,1.0,-5.6146087376567175,3.3787278967627326,15779292237.111317,,,
NaI,5895.924,0.32,61400000.0,10.0,1,-5.289682047929125,-10.289682047929125,-0.28968204792912466,1,1,3.0,0.1,6,20000000000.0,5895.499344206234,5896.84762921639,1.0,-5.6146087376567175,3.3787278967627326,15779292237.111317,,,
NaI,3302.368,0.009,9640000.0,8.0,2,5.954291727912054,0.9542917279120537,10.954291727912054,2,2,2.0,0.1,6,50000000000.0,3302.217203092625,3303.3512461651285,80.0,8.240813096988251,0.10000027154504679,1916713060962.4631,,,
NaI,3302.978,0.00446,9640000.0,8.0,2,5.954291727912054,0.9542917279120537,10.954291727912054,2,2,2.0,0.1,6,50000000000.0,3302.217203092625,3303.3512461651285,80.0,8.240813096988251,0.10000027154504679,1916713060962.4631,,,
NaI,5889.951,0.641,61600000.0,10.0,2,5.954291727912054,0.9542917279120537,10.954291727912054,2,2,2.0,0.1,6,50000000000.0,5889.488873824823,5890.874466185133,1.0,8.240813096988251,0.10000027154504679,1916713060962.4631,,,
NaI,5895.924,0.32,61400000.0,10.0,2,5.954291727912054,0.9542917279120537,10.954291727912054,2,2,2.0,0.1,6,50000000000.0,5895.499344206234,5896.84762921639,1.0,8.240813096988251,0.10000027154504679,1916713060962.4631,,,
