nm	int
313.49401	-8.93037
313.497	-8.1709
313.49999	-10.03006
313.50301	-11.25879
313.506	-12.1393
313.50899	-11.48333
313.51201	-8.78824
313.515	-10.77819
313.51799	-13.56319
313.52101	-10.93238
313.524	-11.92432
313.527	-12.7303
313.52999	-14.48033
313.53301	-14.16806
313.536	-15.60346
313.53899	-13.90614
313.54201	-16.95845
313.545	-17.13613
313.54799	-17.58337
313.55101	-16.57216
313.554	-19.95996
313.55699	-18.90826
313.55998	-18.25628
313.56301	-19.08539
313.566	-18.35618
313.56899	-17.45311
313.57201	-17.99378
313.575	-16.35363
313.57799	-16.78496
313.58101	-15.09599
313.584	-15.23328
313.58699	-13.83885
313.59001	-12.3916
313.593	-9.51315
313.596	-5.19839
313.59899	-3.76908
313.60201	-1.10243
313.605	-1.26066
313.60799	-1.30006
313.61101	-0.792
313.614	-0.85664
313.61699	-1.28907
313.62001	0.55276
313.623	0.16621
313.62599	-0.78711
313.62899	-1.41939
313.63201	-2.07971
313.635	-5.50543
313.63799	-5.68751
313.64101	-4.71866
313.644	-5.85707
313.64699	-8.38862
313.65001	-7.04668
313.653	-8.86855
313.65599	-10.76027
313.65901	-10.27575
313.66201	-12.23322
313.665	-13.36908
313.66799	-14.14591
313.67101	-14.14707
313.674	-14.29868
313.67699	-14.46417
313.68001	-11.69328
313.683	-11.51483
313.68599	-10.52071
313.68901	-9.5916
313.692	-10.29746
313.69499	-11.25572
313.69799	-9.63415
313.70101	-7.2088
313.704	-6.19057
313.70699	-5.09936
313.71001	-4.04119
313.713	-3.05193
313.71599	-2.719
313.71901	-1.54491
313.722	-1.14866
313.72499	-3.37324
313.72801	-1.09324
313.73101	-3.2916
313.734	-4.34678
313.73699	-5.33236
313.74001	-8.75451
313.743	-9.30757
313.74599	-11.38819
313.74901	-12.31545
313.752	-12.94433
313.75499	-13.89527
313.75801	-11.86706
313.761	-12.14267
313.76399	-12.18977
313.76699	-11.759
313.77001	-12.90799
313.773	-11.26207
313.77599	-11.64633
313.77901	-10.87873
313.782	-10.92731
313.78499	-8.91315
313.78801	-8.08473
313.791	-8.47634
313.79399	-9.6718
313.79701	-9.07192
313.80001	-10.2325
313.803	-8.42439
313.80599	-7.44547
313.80901	-6.61183
313.812	-5.45669
313.81499	-4.87432
313.81801	-7.91928
313.821	-7.57025
313.82399	-8.74888
313.82701	-8.19716
313.83	-7.52565
313.833	-6.28727
313.83599	-7.54174
313.83901	-5.8909
313.842	-6.08663
313.84499	-5.72531
313.84801	-6.79272
313.851	-4.925
313.85399	-5.00547
313.85701	-5.45699
313.86	-4.57359
313.86299	-3.54076
313.86602	-4.14444
313.86901	-3.4881
313.872	-7.01289
313.87499	-6.54906
313.87801	-7.88714
313.881	-7.57045
313.88399	-8.59046
313.88701	-7.80868
313.89	-7.05776
313.89299	-7.01569
313.89601	-8.09693
313.899	-9.02738
313.902	-12.02687
313.90499	-13.40913
313.90801	-16.28374
313.911	-17.7375
313.91399	-20.15529
313.91701	-20.4606
313.92	-22.49331
313.92299	-21.66588
313.92601	-22.99177
313.929	-23.23606
313.93199	-24.23129
313.93498	-21.80461
313.93801	-20.37789
313.941	-18.40446
313.94399	-16.26039
313.94701	-14.25101
313.95	-13.93103
313.95299	-12.37753
313.95601	-12.20599
313.959	-10.3606
313.96199	-9.52858
313.96501	-7.64365
313.968	-7.82672
313.971	-7.00165
313.97399	-5.72802
313.97701	-6.70294
313.98	-6.20402
313.98299	-7.26113
313.98601	-7.3962
313.989	-7.44941
313.99199	-7.88275
313.99501	-10.11032
313.998	-11.77504
314.00099	-12.62444
314.00399	-14.49935
314.00701	-14.69426
314.01	-14.86203
314.01299	-13.38432
314.01601	-12.3273
314.019	-12.58291
314.02199	-13.60062
314.02501	-13.94867
314.028	-12.19729
314.03099	-11.71077
314.03401	-11.37688
314.03701	-9.79897
314.04	-10.16947
314.04299	-11.03948
314.04601	-12.8414
314.049	-13.21145
314.05199	-13.06119
314.05501	-11.28671
314.058	-10.61739
314.06099	-11.69506
314.06401	-10.82488
314.067	-10.74396
314.06999	-11.2189
314.07299	-12.14222
314.07601	-10.47646
314.079	-8.75755
314.08199	-7.52785
314.08501	-7.62813
314.088	-9.85687
314.09099	-10.92653
314.09401	-11.63894
314.097	-12.65835
314.09999	-12.47666
314.10301	-12.28444
314.10601	-10.19544
314.109	-9.75975
314.11199	-10.79204
314.11501	-10.98618
314.118	-13.05272
314.12099	-12.18663
314.12401	-11.31026
314.127	-10.99808
314.12999	-11.02975
314.13301	-12.02055
314.136	-13.74365
314.13899	-15.29089
314.14199	-17.11102
314.14501	-17.64244
314.148	-18.22244
314.15099	-15.58203
314.15401	-14.24336
314.157	-12.88544
314.15999	-13.26877
314.16301	-12.13511
314.166	-10.62147
314.16899	-5.39806
314.17201	-5.62178
314.17501	-4.17231
314.178	-5.85963
314.18099	-5.52716
314.18401	-5.24954
314.187	-5.81134
314.18999	-7.13143
314.19301	-6.65188
314.196	-5.99757
314.19899	-7.53077
314.20201	-10.55303
314.205	-10.23082
314.208	-11.03871
314.21099	-11.24931
314.21401	-11.86525
314.217	-13.35394
314.21999	-13.25974
314.22301	-15.10795
314.226	-14.50698
314.22899	-16.07606
314.23201	-14.38598
314.235	-15.92297
314.23799	-17.39545
314.24102	-17.23182
314.24401	-17.62815
314.247	-19.00832
314.24999	-19.38666
314.25301	-21.87247
314.256	-20.8315
314.25899	-22.5832
314.26201	-22.62952
314.265	-22.56293
314.26799	-21.45161
314.27101	-19.82096
314.274	-18.68656
314.277	-17.36559
314.27999	-13.60352
314.28301	-12.83242
314.286	-13.31706
314.28899	-14.12899
314.29201	-13.31922
314.295	-13.20045
314.29799	-12.41152
314.30101	-12.55018
314.304	-14.43297
314.30699	-16.83786
314.30998	-18.41648
314.31301	-21.92519
314.316	-22.17364
314.31899	-18.84249
314.32201	-19.2142
314.325	-19.0251
314.32799	-18.24381
314.33101	-20.73607
314.334	-20.18463
314.33699	-17.70517
314.34001	-15.92261
314.343	-14.23485
314.346	-12.88136
314.34899	-13.76692
314.35201	-15.10407
314.355	-15.30033
314.35799	-13.74236
314.36101	-13.50168
314.364	-12.96724
314.36699	-14.05704
314.37001	-17.65768
314.373	-19.54607
314.37599	-19.44564
314.37899	-18.22382
314.38201	-16.05214
314.385	-14.97848
314.38799	-14.04341
314.39101	-15.45388
314.394	-16.53899
314.39699	-16.39298
314.40001	-15.50498
314.403	-10.37447
314.40599	-8.57225
314.40901	-7.22339
314.41201	-5.29197
314.415	-3.72277
314.41799	-4.50662
314.42101	-4.25086
314.424	-2.60226
314.42699	-1.08349
314.43001	1.05116
314.433	2.44445
314.43599	3.01067
314.43901	3.56188
314.442	3.76434
314.44499	2.16298
314.44799	-0.1959
314.45101	0.58006
314.454	1.61534
314.45699	0.67717
314.46001	-1.84246
314.463	-4.17957
314.46599	-6.99896
314.46901	-10.14591
314.472	-10.4799
314.47499	-8.7591
314.47801	-10.31908
314.48101	-9.94273
314.484	-10.38128
314.48699	-10.73037
314.49001	-8.94231
314.493	-5.22536
314.49599	-3.57594
314.49901	-1.30084
314.502	0.24731
314.50499	0.83113
314.50801	-2.15453
314.511	-3.55836
314.51399	-5.94864
314.51699	-3.64202
314.52001	-4.27203
314.523	-6.3362
314.52599	-6.45232
314.52901	-5.99733
314.532	-5.94138
314.53499	-7.71465
314.53801	-6.64778
314.541	-4.95345
314.54399	-1.96609
314.54701	1.23178
314.55001	-1.67596
314.553	-3.88858
314.55599	-2.65603
314.55901	-5.2892
314.562	-6.0465
314.56499	-7.86297
314.56801	-7.83965
314.571	-10.15777
314.57399	-11.4433
314.57701	-12.91794
314.58	-14.63872
314.583	-14.44355
314.58599	-11.4243
314.58901	-14.6738
314.592	-13.43992
314.59499	-13.6695
314.59801	-13.61197
314.601	-12.72338
314.60399	-11.15021
314.60701	-10.91729
314.61	-9.95474
314.61299	-7.74294
314.61602	-7.42663
314.61901	-8.18376
314.622	-2.50999
314.62499	-1.70536
314.62801	1.51034
314.631	5.96827
314.63399	9.62148
314.63701	10.2052
314.64	14.02575
314.64299	14.51796
314.64601	15.91415
314.649	17.71763
314.652	20.34544
314.65499	18.63992
314.65801	18.66305
314.661	16.74405
314.66399	16.99356
314.66701	13.74678
314.67	13.21883
314.67299	12.88496
314.67601	14.37094
314.679	14.88411
314.68199	14.77663
314.68498	13.94717
314.68801	13.0109
314.691	13.16486
314.69399	12.88579
314.69701	10.62015
314.7	10.18805
314.70299	11.66081
314.70601	9.71917
314.709	8.27481
314.71199	4.76356
314.71501	3.81502
314.718	3.43395
314.721	3.49211
314.72399	2.38831
314.72701	0.65114
314.73	-1.24689
314.73299	-2.3208
314.73601	-4.6675
314.739	-5.62867
314.74199	-4.50043
314.74501	-4.48527
314.748	-5.5703
314.75099	-5.96067
314.75399	-5.6506
314.75701	-5.40571
314.76	-5.53111
314.76299	-4.61943
314.76601	-2.61233
314.769	-5.23763
314.77199	-5.71894
314.77501	-6.51049
314.778	-6.39702
314.78099	-4.25014
314.78401	-3.99945
314.78701	-5.38395
314.79	-5.66674
314.79299	-4.54644
314.79601	-4.82156
314.799	-7.07548
314.80199	-4.97024
314.80501	-2.58542
314.808	-1.62033
314.81099	0.39801
314.81401	1.21775
314.817	2.19511
314.81999	4.54066
314.82299	7.20263
314.82601	6.8621
314.829	8.24626
314.83199	9.52051
314.83501	12.10709
314.838	9.39203
314.84099	6.99279
314.84401	5.39574
314.847	2.92762
314.84999	2.04951
314.85301	2.29599
314.85601	-2.1306
314.859	-0.4785
314.86199	-2.28015
314.86501	-1.93939
314.868	-3.35704
314.87099	-2.84234
314.87401	-2.25446
314.877	-3.12873
314.87999	-2.7062
314.88301	-4.44215
314.886	-6.78363
314.88899	-5.16799
314.89199	-5.85444
314.89501	-4.27904
314.898	-4.55343
314.90099	-4.71275
314.90401	-6.10562
314.907	-5.54289
314.90999	-5.79012
314.91301	-5.80652
314.916	-4.57677
314.91899	-3.91769
314.92201	-2.52407
314.92501	-1.52247
314.928	-1.27078
314.93099	-0.87274
314.93401	-0.05204
314.937	1.90335
314.93999	-0.1219
314.94301	-2.00214
314.946	-4.14878
314.94899	-5.56869
314.95201	-6.76557
314.955	-7.41666
314.958	-8.58881
314.96099	-10.78921
314.96401	-12.65932
314.967	-15.29891
314.96999	-15.59983
314.97301	-15.50588
314.976	-13.01513
314.97899	-9.22336
314.98201	-8.53959
314.985	-5.68121
314.98799	-5.69547
314.99102	-6.95684
314.99401	-6.09632
314.997	-4.76734
314.99999	-3.81807
315.00301	-3.41343
315.006	-3.19541
315.00899	-1.32698
315.01201	-2.72965
315.015	-2.11837
315.01799	-4.18012
315.02101	-5.99122
315.024	-6.92912
315.027	-6.82004
315.02999	-7.01835
315.03301	-6.76649
315.036	-7.84819
315.03899	-7.51583
315.075	7.94814
315.07799	0.26686
315.08101	11.57948
315.084	7.8069
315.08699	2.84621
315.09001	2.96888
315.093	0.11818
315.096	1.43812
315.09899	4.49653
315.10201	0.21015
315.105	-7.35241
315.10799	5.12934
315.11101	-1.89978
315.114	1.0741
315.11699	-4.81818
315.12001	2.68073
315.123	-0.33337
315.12599	12.2652
315.12899	-3.06952
315.13201	-1.02076
315.135	-2.29743
315.13799	1.54595
315.14101	3.22741
315.144	4.27148
315.14699	5.80163
315.15001	-0.03742
315.153	11.91887
315.15599	5.05504
315.15901	0.05327
315.16201	-3.52998
315.165	-4.11909
315.16799	-1.99282
315.17101	8.33177
315.174	-1.63955
315.17699	4.52183
315.18001	3.44327
315.183	0.78013
315.18599	4.33756
315.18901	0.973
315.192	2.28696
315.19499	6.54013
315.19799	12.66183
315.20101	1.4366
315.204	10.91855
315.20699	-4.90912
315.21001	6.0203
315.213	10.59021
315.21599	5.8359
315.21901	5.60212
315.222	1.31338
315.22499	5.91033
315.22801	1.57151
315.23101	-7.57816
315.234	-0.38679
315.23699	-6.67272
315.24001	-4.03327
315.243	-1.4923
315.24599	-9.59444
315.24901	0.6578
315.252	0.17467
315.25499	-4.30541
315.25801	-0.1684
315.261	7.36836
315.26399	-10.00936
315.26699	7.3583
315.27001	-1.94213
315.273	-11.0444
315.27599	-4.30152
315.27901	-4.02035
315.282	-9.82361
315.28499	-0.60478
315.28801	0.7754
315.291	-0.733
315.29399	-4.13905
315.29701	0.00596
315.30001	7.38522
315.303	-3.58882
315.30599	-0.62133
315.30901	6.52795
315.312	1.3633
315.31499	-3.86532
315.31801	-4.16465
315.321	5.98088
315.32399	-3.98626
315.32701	-0.09461
315.33	1.855
315.333	4.07691
315.33599	-2.82963
315.33901	-6.60387
315.342	-1.79116
315.34499	-4.7483
315.34801	-3.355
315.351	3.82526
