nm	int
309.64751	32.26082
309.649	47.4928
309.6505	50.16265
309.652	65.22558
309.65349	65.07581
309.65499	70.38093
309.65651	79.03905
309.65801	116.75696
309.6595	62.95452
309.661	7.1235
309.66249	-11.45989
309.66399	-41.22664
309.66551	-72.41908
309.66701	-39.03652
309.66851	6.29536
309.67	11.11668
309.6715	20.79006
309.67299	57.88313
309.67449	49.72966
309.67601	3.35046
309.67751	-14.92274
309.679	-48.35027
309.6805	-104.38725
309.68199	-92.95151
309.68349	-57.21367
309.68498	-44.79029
309.68651	-35.33165
309.68801	8.67581
309.6895	22.17097
309.691	8.60928
309.69249	19.14796
309.69399	12.3813
309.69551	-64.41151
309.69701	-107.51723
309.6985	-100.81888
309.7	-121.59209
309.70149	-110.03923
309.70299	-58.07312
309.70449	-33.73421
309.70601	-26.87274
309.70751	25.68677
309.709	36.87789
309.7105	56.125
309.71199	45.8375
309.71349	23.38901
309.71501	-22.33462
309.71651	-63.57608
309.718	-119.21491
309.7195	-150.87298
309.721	-105.46923
309.72249	-66.34175
309.72399	-38.08487
309.72551	-50.76172
309.72701	-0.66129
309.7285	-12.73706
309.73	-28.76964
309.73149	-7.41485
309.73299	44.06117
309.73451	10.27849
309.73601	-16.80867
309.73751	-47.80062
309.739	-59.60342
309.7405	-64.00758
309.74199	-29.26617
309.74349	-69.38307
309.74501	-69.6732
309.74651	-42.58742
309.748	-39.41925
309.7495	-8.29822
309.75099	54.27784
309.75249	89.92105
309.75399	31.46494
309.75551	-30.39229
309.75701	-86.07965
309.7585	-105.30553
309.76	-102.46907
309.76149	-116.81013
309.76299	-112.10076
309.76451	-71.69092
309.76601	-104.68428
309.769	-106.1223
309.7705	-57.30516
309.77199	2.62693
309.77349	-24.25984
309.77501	6.48939
309.77651	-5.79465
309.778	-5.8007
309.7795	-70.26468
309.78099	-102.3052
309.78249	-112.21385
309.78401	-133.61742
309.78551	-159.06436
309.78701	-96.31925
309.7885	-67.59382
309.79	-35.29428
309.79149	0.60436
309.79299	33.96583
309.79451	39.49533
309.79601	60.36461
309.7975	22.18962
309.799	26.86397
309.80049	30.20004
309.80199	50.6827
309.80352	8.09827
309.80501	48.70808
309.80651	27.09621
309.808	27.26027
309.8095	-23.35161
309.81099	-57.38119
309.81249	-59.59248
309.81401	-11.02245
309.81551	-30.76675
309.817	-45.61415
309.8185	10.66742
309.81999	-13.6261
309.82149	-57.06571
309.82299	-70.05492
309.82451	-62.1268
309.82601	-89.94551
309.8275	-104.85234
309.829	-109.03756
309.83049	-62.03609
309.83199	-35.25636
309.83351	28.06191
309.83501	32.34857
309.8365	63.88739
309.838	30.96056
309.8395	39.37349
309.84099	-12.45772
309.84249	0.79388
309.84401	-25.04244
309.84551	-20.3798
309.847	-13.74912
309.8485	8.86839
309.84999	30.46176
309.85149	58.38387
309.85301	68.65549
309.85451	84.91618
309.85601	93.34864
309.8575	69.63168
309.859	21.83406
309.86049	-18.70788
309.86199	-43.46047
309.86351	-81.29796
309.86501	-67.08698
309.8665	-53.85348
309.868	-14.03094
309.86949	5.85734
309.87099	50.38209
309.87248	92.7836
309.87401	126.23911
309.87551	134.02792
309.877	122.64427
309.8785	131.62311
309.87999	66.86189
309.88149	41.27638
309.88301	26.98889
309.88451	21.26286
309.886	1.24636
309.8875	24.27081
309.88899	35.94155
309.89049	56.56317
309.89199	56.95208
309.89351	79.70037
309.89501	110.79777
309.8965	117.77297
309.898	120.47252
309.89949	112.66032
309.90099	61.41627
309.90251	32.92995
309.90401	41.2712
309.9055	24.95513
309.907	37.26864
309.9085	66.50915
309.90999	70.18517
309.91149	70.07779
309.91301	84.95377
309.91451	81.21046
309.916	60.3798
309.9175	54.5811
309.91899	32.16568
309.92049	25.279
309.92201	9.0975
309.92351	46.68524
309.92501	15.99495
309.9265	-7.59628
309.928	-36.09571
309.92949	-43.70713
309.93099	-50.96255
309.93251	-20.73677
309.93401	33.0561
309.9355	37.13565
309.937	75.68666
309.93849	62.36882
309.93999	44.86613
309.94149	2.05342
309.94301	2.28281
309.94451	-36.51524
309.946	-35.61976
309.9475	-45.3582
309.94899	-21.46947
309.95049	-34.05822
309.95201	-51.37451
309.95351	-53.76287
309.955	-40.28414
309.9565	-36.21599
309.958	11.16291
309.95949	25.18632
309.96099	-20.91332
309.96251	-34.24165
309.96401	-97.46449
309.9655	-124.45537
309.967	-104.53476
309.96849	-51.64415
309.96999	-30.27592
309.97151	25.79343
309.97301	29.54472
309.97451	37.09112
309.976	31.11045
309.9775	29.28193
309.97899	25.41742
309.98049	27.29439
309.98201	26.92646
309.98351	7.29093
309.985	-7.62554
309.9865	-43.45411
309.98799	-56.03173
309.98949	-72.58904
309.99102	-60.86212
309.99251	-57.20868
309.99401	-18.10989
309.9955	-2.62266
309.997	17.67274
309.99849	-5.30417
309.99999	22.52934
310.00151	30.04813
310.00301	23.25176
310.0045	-5.43648
310.006	16.11611
310.00749	-16.81578
310.00899	-88.11665
310.01049	-83.38411
310.01201	-85.26149
310.01351	-72.24351
310.015	-55.40255
310.0165	-3.0755
310.01799	-8.33884
310.01949	3.98232
310.02101	9.94203
310.02251	-8.05918
310.024	-4.84622
310.0255	4.03073
310.027	-35.35634
310.02849	-39.5407
310.02999	-60.44093
310.03151	-57.59982
310.03301	-73.01309
310.0345	-26.97931
310.036	-14.88986
310.03749	24.63245
310.03899	38.65863
310.04051	53.22491
310.04201	48.86921
310.04351	17.38597
310.045	6.74637
310.0465	-8.43161
310.04799	-18.49031
310.04949	-14.23195
310.05101	-8.41213
310.05251	4.66987
310.054	21.93285
310.0555	24.84412
310.05699	44.62754
310.05849	55.87453
310.05998	22.30286
310.06151	-4.27495
310.06301	1.67594
310.0645	-25.05671
310.066	-16.8159
310.06749	-18.57401
310.06899	-60.17204
310.07051	-100.89158
310.07201	-101.67838
310.0735	-124.99645
310.075	-89.25816
