result_name,B_init,T_init,delta_B_init,zeta_init,sigma_init,origin_init,B,T,delta_B,zeta,sigma,origin,chi2,redchi,func_evals,B_unc,T_unc,delta_B_unc,zeta_unc,sigma_unc,origin_unc
result1,0.01,2.7,-0.1,-0.1,0.05,0,0.003561920446883226,62.211236284838066,-0.0005496077418738476,-0.36949166307764036,0.20496365732701965,-0.10069170362171453,53.12565043452857,2.4148022924785715,75,0.0025969602137505352,49.38112160887186,0.03267719193504075,0.06805547866428645,0.028640710983588363,0.02306679898467116
result2,0.005,32.7,-0.4,-0.9,0.1,0.039,0.009999999557467273,99.99977581720285,-0.5223921616906779,0.9203071972444454,0.2999997935121777,0.14906739153020077,187.2352889304122,8.510694951382373,1961,0.021037219217847902,230.162712728995,0.7271745077403718,0.33901831516444464,0.21079259522653968,0.9126600531440638
result3,0.002,62.5,-0.8,-0.5,0.3,0.072,0.002677100375419465,66.49840272837842,-0.6452288290846258,-0.9999999999936939,0.3,0.11507146028554249,342.5538378066715,15.57062899121234,1609,,,,,,
result4,0.0005,32.5,-0.45,-0.01,0.17,0.012,0.0024384906371866704,99.97734841101375,-0.001188200387023386,-0.5365206117555565,0.26303917145494005,-0.1113806325229294,55.69602073069852,2.531637305940842,155,0.001746704224538937,162.49994023906473,0.036688547747847904,0.5534759333370471,0.12417190950053149,0.03198289190396054
result5,0.0075,92.5,-0.23,-0.23,0.23,0.02,0.0035769179987128505,61.94409069038673,-4.262491137829727e-09,-0.3693338384458178,0.20481146168204462,-0.10019659536598113,53.06829491843099,2.4121952235650452,183,0.002564752289843914,45.41598461693972,0.036959509265861105,0.07172782229157948,0.032331419013325646,0.02311926485455183
