result_name,B_init,T_init,delta_B_init,zeta_init,sigma_init,origin_init,B,T,delta_B,zeta,sigma,origin,chi2,redchi,func_evals,B_unc,T_unc,delta_B_unc,zeta_unc,sigma_unc,origin_unc
result1,0.01,2.7,-0.1,-0.1,0.05,0,0.003577043739925052,61.939708982624666,-2.6571863043223232e-08,-0.3693483070436032,0.2048107498118335,-0.10017474207332233,53.06830441297262,2.412195655135119,136,0.002775202408860017,51.67885925988039,0.03718383391981405,0.06803887579477037,0.028388418850878467,0.02309882043716931
result2,0.005,32.7,-0.4,-0.9,0.1,0.039,0.00999999999999159,99.99999659796977,-0.5223693517250085,0.9202575434231257,0.29999999970481994,0.14900854875462777,187.23502626641266,8.510683012109666,5464,0.0016652138195560147,75.79088227391738,0.8090894465537779,0.26038738061929273,0.232974011899269,0.5229609365445091
result3,0.002,62.5,-0.8,-0.5,0.3,0.072,0.0026770919483522383,66.49690468444071,-0.6452338708313012,-0.9999999999991919,0.3,0.11507663839689508,342.553837391426,15.570628972337545,1713,,,,,,
result4,0.0005,32.5,-0.45,-0.01,0.17,0.012,0.003579893221792194,61.889811763634846,-1.0288315976936246e-08,-0.36936286904005977,0.20481946911418986,-0.10017757452076648,53.068422443492835,2.4122010201587654,793,0.00258705366150295,48.3642405744133,0.037202737463340144,0.06707586476897688,0.03005104601652736,0.023054450110509453
result5,0.0075,92.5,-0.23,-0.23,0.23,0.02,0.003576888127301917,61.944491823632305,-3.88090837244448e-09,-0.36933579409530304,0.20481267585272483,-0.10019877410809785,53.068294505433485,2.412195204792431,531,0.0025665174048149298,45.45007601063657,0.037461284847651044,0.07173360437392107,0.03233546251622863,0.023086052049036753
