Wavelength          	  Flux
1.729584260265064222e+04 8.716709376665465747e-01
1.729578277411248200e+04 8.715182809038798384e-01
1.729572294598824010e+04 8.723803808634662538e-01
1.729566311827789104e+04 8.704439964950368980e-01
1.729560329098143848e+04 8.693437327681227123e-01
1.729554346409888603e+04 8.692300017853222815e-01
1.729548363763022280e+04 8.697068929169401441e-01
1.729542381157543059e+04 8.694775399348999567e-01
1.729536398593453123e+04 8.708357779323352421e-01
1.729530416070749925e+04 8.718719090543904926e-01
1.729524433589434557e+04 8.703487737864160634e-01
1.729518451149505563e+04 8.697783194311844435e-01
1.729512468750962944e+04 8.682940561298962967e-01
1.729506486393805972e+04 8.698213725788577211e-01
1.729500504078033919e+04 8.706942721763186732e-01
1.729494521803647513e+04 8.720843955964304728e-01
1.729488539570645298e+04 8.745883171261202849e-01
1.729482557379027276e+04 8.762570452155771239e-01
1.729476575228793081e+04 8.766179233098864154e-01
1.729470593119941987e+04 8.778342115835268133e-01
1.729464611052473992e+04 8.810902382280948464e-01
1.729458629026388371e+04 8.815120628360377797e-01
1.729452647041684031e+04 8.831120726111306718e-01
1.729446665098361700e+04 8.841409935083965888e-01
1.729440683196420650e+04 8.849321666255707264e-01
1.729434701335860154e+04 8.902996100522796441e-01
1.729428719516679848e+04 8.894179197173497364e-01
1.729422737738879732e+04 8.906573265973289910e-01
1.729416756002458351e+04 8.912607690814678962e-01
1.729410774307416068e+04 8.918569463672707531e-01
1.729404792653752156e+04 8.941621020083916349e-01
1.729398811041466979e+04 8.963306629572058704e-01
1.729392829470559445e+04 8.988860569477695739e-01
1.729386847941028100e+04 9.011591635863551719e-01
1.729380866452874398e+04 9.041664623727743155e-01
1.729374885006097247e+04 9.063479954535916816e-01
1.729368903600695558e+04 9.064997743345895032e-01
1.729362922236670056e+04 9.077032618608393832e-01
1.729356940914018924e+04 9.091486141887229477e-01
1.729350959632742888e+04 9.115886633220519064e-01
1.729344978392840858e+04 9.111346418174709472e-01
1.729338997194312833e+04 9.146957869501168847e-01
1.729333016037158086e+04 9.161808706309187977e-01
1.729327034921376253e+04 9.164757046348054326e-01
1.729321053846967334e+04 9.191349102398455040e-01
1.729315072813929510e+04 9.194334399621464371e-01
1.729309091822264236e+04 9.248514742791160703e-01
1.729303110871970057e+04 9.240238041962238746e-01
1.729297129963046609e+04 9.276205192703030900e-01
1.729291149095493165e+04 9.268116288962502392e-01
1.729285168269310088e+04 9.280295268361246075e-01
1.729279187484496288e+04 9.297995890617478665e-01
1.729273206741051399e+04 9.299010900359924170e-01
1.729267226038975787e+04 9.319159542962284215e-01
1.729261245378267995e+04 9.345417083976814698e-01
1.729255264758928388e+04 9.341595374677623687e-01
1.729249284180955510e+04 9.347845470707248916e-01
1.729243303644349726e+04 9.366805100179512733e-01
1.729237323149110671e+04 9.388278098515963066e-01
1.729231342695237618e+04 9.431417986324337477e-01
1.729225362282730202e+04 9.452324195468554402e-01
1.729219381911587698e+04 9.444912641700967670e-01
1.729213401581810467e+04 9.485931232077425834e-01
1.729207421293397783e+04 9.474451470860772995e-01
1.729201441046348555e+04 9.468589367740976037e-01
1.729195460840662781e+04 9.487399641358236213e-01
1.729189480676340463e+04 9.477214945068407337e-01
1.729183500553380509e+04 9.495494336284227010e-01
1.729177520471782918e+04 9.514490595956121011e-01
1.729171540431547328e+04 9.535608137908160309e-01
1.729165560432672282e+04 9.542230250191507945e-01
1.729159580475158873e+04 9.551891878008530457e-01
1.729153600559006009e+04 9.540629962626304694e-01
1.729147620684212961e+04 9.535715070469495958e-01
1.729141640850779731e+04 9.561082969401185627e-01
1.729135661058705227e+04 9.575655796895737870e-01
1.729129681307989449e+04 9.592416698234803585e-01
1.729123701598632761e+04 9.585276321059272853e-01
1.729117721930633707e+04 9.589083735520669283e-01
1.729111742303991923e+04 9.610164811762029746e-01
1.729105762718707410e+04 9.613750488473137290e-01
1.729099783174779441e+04 9.633092115442938308e-01
1.729093803672208014e+04 9.662548386249808496e-01
1.729087824210992039e+04 9.670047247847211036e-01
1.729081844791131516e+04 9.665932132008587807e-01
1.729075865412626081e+04 9.685904047120268423e-01
1.729069886075475006e+04 9.677727698157000402e-01
1.729063906779678291e+04 9.719406019664339480e-01
1.729057927525234481e+04 9.700509361203142333e-01
1.729051948312144668e+04 9.707589235054995269e-01
1.729045969140406669e+04 9.712964004236184223e-01
1.729039990010021575e+04 9.741786071292457549e-01
1.729034010920988658e+04 9.739839328830500742e-01
1.729028031873306827e+04 9.735991997218220728e-01
1.729022052866976082e+04 9.754699857471554880e-01
1.729016073901996060e+04 9.748534792053362708e-01
1.729010094978366396e+04 9.758874085668657328e-01
1.729004116096086364e+04 9.767747108383928456e-01
1.728998137255155598e+04 9.782973245096812098e-01
1.728992158455573735e+04 9.788548503085442443e-01
1.728986179697340049e+04 9.780396187601002600e-01
1.728980200980455629e+04 9.811667827124634922e-01
1.728974222304917930e+04 9.785782218339398320e-01
1.728968243670727315e+04 9.833158487999864583e-01
1.728962265077883421e+04 9.794094899154477396e-01
1.728956286526386612e+04 9.831524060955711963e-01
1.728950308016235067e+04 9.790201539167506795e-01
1.728944329547429152e+04 9.815460128069215529e-01
1.728938351119968138e+04 9.810997439140419774e-01
1.728932372733852390e+04 9.839027441828319676e-01
1.728926394389080087e+04 9.862033236013587612e-01
1.728920416085652323e+04 9.868564588904498169e-01
1.728914437823567278e+04 9.858533838187141241e-01
1.728908459602824951e+04 9.859707612618171524e-01
1.728902481423425343e+04 9.856197130381448845e-01
1.728896503285368453e+04 9.845997468393000718e-01
1.728890525188652464e+04 9.855402553039365188e-01
1.728884547133278102e+04 9.870455760224353670e-01
1.728878569119243912e+04 9.865054068934506759e-01
1.728872591146550621e+04 9.844229905424166649e-01
1.728866613215196776e+04 9.855041176581521567e-01
1.728860635325183102e+04 9.874123373367614809e-01
1.728854657476507782e+04 9.859054531962178070e-01
1.728848679669170815e+04 9.868446626757030327e-01
1.728842701903172929e+04 9.876501890363951208e-01
1.728836724178512668e+04 9.895391840903247083e-01
1.728830746495189305e+04 9.898078076535772318e-01
1.728824768853203204e+04 9.870235756427770957e-01
1.728818791252553274e+04 9.879339087373686379e-01
1.728812813693239514e+04 9.913649336960126401e-01
1.728806836175261924e+04 9.921754262004658376e-01
1.728800858698618686e+04 9.934093462742579206e-01
1.728794881263310162e+04 9.895656490074457023e-01
1.728788903869337082e+04 9.898812603558500012e-01
1.728782926516696898e+04 9.921140417205096540e-01
1.728776949205390702e+04 9.925412939560670500e-01
1.728770971935417037e+04 9.924591250938791243e-01
1.728764994706776270e+04 9.922734710632621358e-01
1.728759017519467670e+04 9.928003719118813075e-01
1.728753040373490876e+04 9.941129779965638402e-01
1.728747063268845886e+04 9.938114971753934102e-01
1.728741086205530883e+04 9.939684942604264384e-01
1.728735109183546592e+04 9.966505372327845169e-01
1.728729132202892652e+04 9.965743659764577655e-01
1.728723155263568697e+04 9.951006516265181734e-01
1.728717178365573272e+04 9.944123943643514707e-01
1.728711201508907470e+04 9.971539390246150214e-01
1.728705224693569107e+04 9.974115686193693042e-01
1.728699247919558547e+04 9.944108131881231882e-01
1.728693271186875791e+04 9.948226050411563826e-01
1.728687294495520473e+04 9.931924365993620718e-01
1.728681317845491139e+04 9.977279219641840280e-01
1.728675341236788154e+04 9.959387012413292162e-01
1.728669364669410788e+04 9.972536438810838400e-01
1.728663388143359771e+04 9.936100015500677340e-01
1.728657411658632918e+04 9.960713772239647712e-01
1.728651435215230231e+04 9.972039161850227984e-01
1.728645458813151708e+04 9.976753485173505132e-01
1.728639482452397351e+04 9.975681652050306658e-01
1.728633506132965704e+04 9.993820547190762626e-01
1.728627529854857130e+04 9.993466580060135218e-01
1.728621553618070175e+04 9.983775508432238821e-01
1.728615577422605929e+04 9.988814587535315148e-01
1.728609601268462575e+04 9.991301042128967191e-01
1.728603625155640475e+04 9.988374793160831322e-01
1.728597649084139630e+04 9.976604999175183730e-01
1.728591673053957857e+04 9.990994706482051457e-01
1.728585697065096974e+04 1.001617070244513075e+00
1.728579721117554800e+04 9.991854095134294900e-01
1.728573745211331334e+04 9.975474869570726266e-01
1.728567769346426576e+04 9.993281134688289935e-01
1.728561793522840162e+04 9.968827464873591948e-01
1.728555817740571001e+04 1.001727066256193677e+00
1.728549841999618729e+04 9.957293171134430354e-01
1.728543866299984074e+04 1.000189035991363662e+00
1.728537890641665581e+04 9.953726595349877693e-01
1.728531915024662521e+04 9.982847382488890808e-01
1.728525939448975259e+04 9.981454552467567964e-01
1.728519963914602340e+04 9.986273956907451010e-01
1.728513988421545218e+04 9.990908792904239499e-01
1.728508012969801348e+04 9.997862482981201282e-01
1.728502037559371820e+04 9.987227127511835167e-01
1.728496062190255179e+04 9.955856956496356158e-01
1.728490086862451790e+04 9.957992611442894049e-01
1.728484111575960560e+04 9.969558639517317467e-01
1.728478136330781490e+04 9.985993330065767726e-01
1.728472161126913852e+04 9.981177684826694207e-01
1.728466185964358010e+04 9.969529891885132722e-01
1.728460210843112873e+04 9.974500637633447742e-01
1.728454235763176985e+04 9.985133263691418071e-01
1.728448260724552165e+04 9.984514859354414185e-01
1.728442285727236595e+04 9.973295285094951890e-01
1.728436310771229910e+04 9.993131976817110074e-01
1.728430335856532110e+04 9.983124732320546313e-01
1.728424360983142105e+04 9.952499644542314172e-01
1.728418386151059894e+04 9.973912757101958126e-01
1.728412411360285478e+04 9.993825476855850987e-01
1.728406436610817764e+04 1.001785714682559947e+00
1.728400461902656389e+04 9.992197528402047002e-01
1.728394487235800989e+04 1.004212745354618130e+00
1.728388512610251200e+04 9.989978354607308431e-01
1.728382538026006659e+04 9.981894757097166115e-01
1.728376563483067002e+04 9.988802810830069712e-01
1.728370588981431865e+04 9.982685639041896097e-01
1.728364614521099793e+04 9.987349968370129449e-01
1.728358640102072241e+04 9.950060024322279206e-01
1.728352665724347389e+04 9.957118334618264566e-01
1.728346691387925239e+04 9.962510764221774728e-01
1.728340717092804698e+04 9.977593496302602505e-01
1.728334742838986494e+04 9.962605167439270160e-01
1.728328768626469173e+04 9.977611206801059174e-01
1.728322794455253461e+04 9.990302006574030003e-01
1.728316820325338267e+04 9.967284993200513643e-01
1.728310846236721773e+04 9.956014119096587844e-01
1.728304872189406160e+04 9.961296400461486789e-01
1.728298898183389974e+04 9.969989824396404687e-01
1.728292924218671760e+04 9.964241869159090603e-01
1.728286950295252609e+04 9.956048306867101294e-01
1.728280976413130338e+04 9.957492466990126578e-01
1.728275002572306039e+04 9.948409292341067189e-01
1.728269028772778984e+04 9.947288668977853909e-01
1.728263055014548081e+04 9.930489982542879401e-01
1.728257081297613695e+04 9.939039987452524816e-01
1.728251107621975825e+04 9.928156344676499767e-01
1.728245133987632289e+04 9.894270850631324832e-01
1.728239160394584178e+04 9.917416130128812179e-01
1.728233186842830401e+04 9.896470094249856242e-01
1.728227213332370593e+04 9.917672997148668790e-01
1.728221239863204391e+04 9.939204246865063208e-01
1.728215266435331432e+04 9.907934665055860846e-01
1.728209293048751351e+04 9.923249645105538530e-01
1.728203319703463785e+04 9.928841792363839458e-01
1.728197346399467278e+04 9.923772474698264734e-01
1.728191373136763650e+04 9.923807468112181285e-01
1.728185399915349990e+04 9.937855122031596933e-01
1.728179426735227389e+04 9.910510827588678850e-01
1.728173453596394756e+04 9.949579260008163395e-01
1.728167480498851728e+04 9.933361650500150963e-01
1.728161507442598668e+04 9.919577633230585167e-01
1.728155534427634484e+04 9.944397522332748540e-01
1.728149561453958449e+04 9.929220436268986205e-01
1.728143588521570200e+04 9.936863534804233344e-01
1.728137615630470100e+04 9.952734085423659005e-01
1.728131642780657057e+04 9.965466655567372101e-01
1.728125669972131436e+04 9.960703469741900573e-01
1.728119697204891418e+04 9.945124471332608129e-01
1.728113724478937365e+04 9.936680962319620614e-01
1.728107751794268916e+04 9.941927813178260687e-01
1.728101779150885341e+04 9.966365554397901283e-01
1.728095806548786641e+04 9.985023647727430118e-01
1.728089833987972088e+04 9.962710972337345261e-01
1.728083861468441319e+04 9.957096850907301011e-01
1.728077888990194333e+04 9.989468954919228372e-01
1.728071916553229676e+04 9.970430061850359404e-01
1.728065944157547710e+04 9.954018895483497387e-01
1.728059971803147346e+04 9.957964069499624093e-01
1.728053999490028946e+04 9.971224870544619368e-01
1.728048027218192146e+04 9.958041856109608458e-01
1.728042054987636584e+04 9.975331863873555527e-01
1.728036082798360439e+04 9.983546677493614352e-01
1.728030110650364077e+04 9.979494227359065883e-01
1.728024138543647496e+04 1.001263244298320254e+00
1.728018166478210333e+04 9.981775900707839932e-01
1.728012194454051496e+04 1.002628161935285922e+00
1.728006222471171714e+04 9.983365001105324321e-01
1.728000250529568439e+04 9.997429070222462189e-01
1.727994278629243126e+04 1.001337789524017641e+00
1.727988306770194686e+04 1.002113394217778675e+00
1.727982334952422752e+04 1.000848262546057965e+00
1.727976363175927327e+04 9.987639513656730861e-01
1.727970391440706953e+04 9.990209773440271723e-01
1.727964419746762360e+04 9.997067677731755753e-01
1.727958448094091727e+04 1.002475546638183612e+00
1.727952476482696511e+04 9.998705406544952101e-01
