Species,WavelengthAir,OscillatorStrength,Gamma,GammaRef,v_comp,v_rad_init,v_rad_min,v_rad_max,b_comp,b_init,b_min,b_max,w_min,w_max,cont_0,slope_0,cont_1,slope_1,n_0_KI,v_rad_0,b_0,n_1_KI,v_rad_1,b_1,lambda0_0,f_0,gamma_0,lambda0_1,f_1,gamma_1,lambda0_2,f_2,gamma_2,lambda0_3,f_3,gamma_3
KI,4044.142,0.00568,37900000.0,,0,-10.975915317002611,-100,100,0,0.001,0,20,4042.1185291493753,4046.1654708506244,-23851.120274963512,6.2015316577363135,12329.779432017629,-0.3282061693454605,383439867921912.8,-10.298317821578456,4.525535501898048e-10,733098965493.5212,4.832082331998748,2.414174993218563,4044.142,0.00568,37900000.0,7698.965,0.3331,37400000.0,4044.142,0.00568,37900000.0,7698.965,0.3331,37400000.0
KI,7698.965,0.3331,37400000.0,10.0,0,-10.975915317002611,-100,100,0,0.001,0,20,7695.112852558719,7702.817147441281,-23851.120274963512,6.2015316577363135,12329.779432017629,-0.3282061693454605,383439867921912.8,-10.298317821578456,4.525535501898048e-10,733098965493.5212,4.832082331998748,2.414174993218563,4044.142,0.00568,37900000.0,7698.965,0.3331,37400000.0,4044.142,0.00568,37900000.0,7698.965,0.3331,37400000.0
KI,4044.142,0.00568,37900000.0,,1,5.858987590708253,-100,100,1,0.001,0,20,4042.1185291493753,4046.1654708506244,-23851.120274963512,6.2015316577363135,12329.779432017629,-0.3282061693454605,383439867921912.8,-10.298317821578456,4.525535501898048e-10,733098965493.5212,4.832082331998748,2.414174993218563,4044.142,0.00568,37900000.0,7698.965,0.3331,37400000.0,4044.142,0.00568,37900000.0,7698.965,0.3331,37400000.0
KI,7698.965,0.3331,37400000.0,10.0,1,5.858987590708253,-100,100,1,0.001,0,20,7695.112852558719,7702.817147441281,-23851.120274963512,6.2015316577363135,12329.779432017629,-0.3282061693454605,383439867921912.8,-10.298317821578456,4.525535501898048e-10,733098965493.5212,4.832082331998748,2.414174993218563,4044.142,0.00568,37900000.0,7698.965,0.3331,37400000.0,4044.142,0.00568,37900000.0,7698.965,0.3331,37400000.0
