Specie,Wavelength
CH ,3137.576
CH ,3143.183
CH ,3145.996
CH ,3636.222
CH ,3878.774
CH ,4300.303
CH ,4300.3235
CH ,4300.3132
CH+ ,3579.024
CH+ ,3745.308
CH+ ,3957.689
CH+ ,4232.548
CH+ ,3957.692
NH ,3358.0525
OH ,3072.01
OH ,3072.064
OH ,3078.443
OH ,3081.6645
OH+ ,3583.769
