Filename,Object,DateObs,setting,WaveMin,WaveMax
/HD23180/RED_860/HD23180_w860_redl_20160914_O13.fits,HD23180,2016-09-14T08:17:57.126,860,7660.1,7787.3
/HD23180/RED_860/HD23180_w860_redl_20160914_O11.fits,HD23180,2016-09-14T08:17:57.126,860,7470.9,7595.0
/HD23180/RED_860/HD23180_w860_redl_20141029_O7.fits,HD23180,2014-10-29T07:01:33.557,860,7119.0,7237.5
/HD23180/RED_860/HD23180_w860_redl_20141029_O9.fits,HD23180,2014-10-29T07:01:33.557,860,7290.6,7411.9
/HD23180/RED_860/HD23180_w860_redl_20141029_O13.fits,HD23180,2014-10-29T07:01:33.557,860,7659.9,7787.2
/HD23180/RED_860/HD23180_w860_redl_20160914_O20.fits,HD23180,2016-09-14T08:17:57.126,860,8404.9,8544.3
/HD23180/RED_860/HD23180_w860_redl_20160914_O15.fits,HD23180,2016-09-14T08:17:57.126,860,7859.1,7989.5
/HD23180/RED_860/HD23180_w860_redl_20160914_O18.fits,HD23180,2016-09-14T08:17:57.126,860,8177.7,8313.4
/HD23180/RED_860/HD23180_w860_redu_20160914_O6.fits,HD23180,2016-09-14T08:17:57.126,860,9169.0,9320.7
/HD23180/RED_860/HD23180_w860_redl_20160914_O8.fits,HD23180,2016-09-14T08:17:57.126,860,7204.1,7323.8
/HD23180/RED_860/HD23180_w860_n18_20141029_U.fits,HD23180,2014-10-29T07:01:33.557,860,8523.2,10426.4
/HD23180/RED_860/HD23180_w860_redl_20141029_O19.fits,HD23180,2014-10-29T07:01:33.557,860,8289.7,8427.2
/HD23180/RED_860/HD23180_w860_redl_20160914_O16.fits,HD23180,2016-09-14T08:17:57.126,860,7962.5,8094.6
/HD23180/RED_860/HD23180_w860_redu_20160914_O9.fits,HD23180,2016-09-14T08:17:57.126,860,9605.6,9764.4
/HD23180/RED_860/HD23180_w860_redu_20141029_O9.fits,HD23180,2014-10-29T07:01:33.557,860,9605.9,9764.6
/HD23180/RED_860/HD23180_w860_redu_20160914_O12.fits,HD23180,2016-09-14T08:17:57.126,860,10086.0,10252.5
/HD23180/RED_860/HD23180_w860_redl_20160914_O14.fits,HD23180,2016-09-14T08:17:57.126,860,7758.3,7887.1
/HD23180/RED_860/HD23180_w860_redu_20141029_O8.fits,HD23180,2014-10-29T07:01:33.557,860,9455.7,9612.1
/HD23180/RED_860/HD23180_w860_redl_20141029_O4.fits,HD23180,2014-10-29T07:01:33.557,860,6876.3,6990.8
/HD23180/RED_860/HD23180_w860_redl_20141029_O2.fits,HD23180,2014-10-29T07:01:33.557,860,6723.4,6835.4
/HD23180/RED_860/HD23180_w860_redu_20160914_O4.fits,HD23180,2016-09-14T08:17:57.126,860,8899.3,9046.7
/HD23180/RED_860/HD23180_w860_redu_20141029_O3.fits,HD23180,2014-10-29T07:01:33.557,860,8770.3,8915.7
/HD23180/RED_860/HD23180_w860_redu_20160914_O10.fits,HD23180,2016-09-14T08:17:57.126,860,9760.6,9921.9
/HD23180/RED_860/HD23180_w860_redl_20160914_O6.fits,HD23180,2016-09-14T08:17:57.126,860,7036.5,7153.5
/HD23180/RED_860/HD23180_w860_redu_20141029_O10.fits,HD23180,2014-10-29T07:01:33.557,860,9760.9,9922.1
/HD23180/RED_860/HD23180_w860_redu_20141029_O11.fits,HD23180,2014-10-29T07:01:33.557,860,9921.0,10084.7
/HD23180/RED_860/HD23180_w860_redl_20141029_O3.fits,HD23180,2014-10-29T07:01:33.557,860,6799.0,6912.2
/HD23180/RED_564/HD23180_w564_redl_20141029_O4.fits,HD23180,2014-10-29T06:44:17.535,564,4689.6,4769.4
/HD23180/RED_564/HD23180_w564_redl_20140923_O5.fits,HD23180,2014-09-23T08:52:57.637,564,4726.2,4806.6
/HD23180/RED_564/HD23180_w564_redl_20140923_O2.fits,HD23180,2014-09-23T08:52:57.637,564,4617.9,4696.6
/HD23180/RED_564/HD23180_w564_redu_20141029_O12.fits,HD23180,2014-10-29T06:44:17.535,564,6302.8,6408.2
/HD23180/RED_564/HD23180_w564_redu_20160819_O8.fits,HD23180,2016-08-19T09:38:57.799,564,6050.4,6151.9
/HD23180/RED_564/HD23180_w564_redl_20141029_O21.fits,HD23180,2014-10-29T06:44:17.535,564,5401.9,5493.1
/HD23180/RED_564/HD23180_w564_redu_20140923_O13.fits,HD23180,2014-09-23T08:52:57.637,564,6369.2,6475.6
/HD23180/RED_564/HD23180_w564_redl_20160819_O7.fits,HD23180,2016-08-19T09:38:57.799,564,4801.5,4883.0
/HD23180/RED_564/HD23180_w564_redl_20141029_O5.fits,HD23180,2014-10-29T06:44:17.535,564,4726.2,4806.6
/HD23180/RED_564/HD23180_w564_redl_20140923_O6.fits,HD23180,2014-09-23T08:52:57.637,564,4763.5,4844.5
/HD23180/RED_564/HD23180_w564_redl_20160819_O5.fits,HD23180,2016-08-19T09:38:57.799,564,4726.4,4806.7
