Sightline,XSHOOTER spectra available?,EW5797/EW5780,EW5797/EW5780_err,EW5797,EW5797_err,EW5780,EW5780_err,TiII fit
HD 55879,No,0.1028424442,0.08295107386,23.29906426,6.881543307,226.5510553,17.48737204,done
HD 53975,Yes,0.1020833037,0.008381536253,52.76993071,1.337987912,516.9300835,4.120898249,done
HD 144217,No,0.09929355536,,47.11759066,,474.5281855,,done
HD 36695,Yes,0.09489702138,,15.68016499,,165.233479,,done
HD 37903,No,0.09200958146,0.04384640744,45.88557198,15.05595133,498.704279,15.85740789,done
HD 113904,Yes,0.0878857937,0.5106540394,76.45871218,0.4002197932,869.9780586,444.2576296,done?
HD 37061,No,0.07253769078,0.05440878977,39.67396135,26.42310012,546.9427124,13.68895795,done
HD 148605,No,-0.01601307267,1.097613906,-1.56187328,105.7479561,97.53738782,16.69938152,done
HD 37022,Yes,-0.0971481272,0.2126392942,-21.71684098,40.27283713,223.5435886,25.25062557,done
HD 66811,No,-0.2417443342,,-28.16220474,,116.4958213,,done
