Species,WavelengthAir,OscillatorStrength,Gamma,GammaRef,v_comp,v_rad_init,v_rad_min,v_rad_max,b_comp,n_comp,b_init,b_min,b_max,n_init,w_min,w_max,weight,v_rad_fit,b_fit,n_fit,v_rad_err,b_err,n_err
TiII,3066.347,0.0489,250000000.0,10.0,0,-22.10670032646026,-23.10670032646026,-21.10670032646026,0,0,1,0.1,6,90000000000.0,3065.9721534260257,3066.4728320355093,1.0,-21.747909138117986,2.9579109493871596,105413254755.99876,0.034895418997622656,0.07968416763371648,1448796349.1476195
TiII,3072.97,0.121,256000000.0,10.0,0,-22.10670032646026,-23.10670032646026,-21.10670032646026,0,0,1,0.1,6,90000000000.0,3072.495292717149,3073.1564663865356,1.0,-21.747909138117986,2.9579109493871596,105413254755.99876,0.034895418997622656,0.07968416763371648,1448796349.1476195
TiII,3229.199,0.0687,244000000.0,10.0,0,-22.10670032646026,-23.10670032646026,-21.10670032646026,0,0,1,0.1,6,90000000000.0,3228.78892098664,3229.4485076992682,1.0,-21.747909138117986,2.9579109493871596,105413254755.99876,0.034895418997622656,0.07968416763371648,1448796349.1476195
TiII,3241.983,0.232,244000000.0,10.0,0,-22.10670032646026,-23.10670032646026,-21.10670032646026,0,0,1,0.1,6,90000000000.0,3241.45392252326,3242.2610480166536,1.0,-21.747909138117986,2.9579109493871596,105413254755.99876,0.034895418997622656,0.07968416763371648,1448796349.1476195
TiII,3383.7588,0.3586,175000000.0,10.0,0,-22.10670032646026,-23.10670032646026,-21.10670032646026,0,0,1,0.1,6,90000000000.0,3383.2317877654405,3383.9752814696126,1.0,-21.747909138117986,2.9579109493871596,105413254755.99876,0.034895418997622656,0.07968416763371648,1448796349.1476195
TiII,3066.347,0.0489,250000000.0,10.0,1,-11.694746463208093,-12.694746463208093,-10.694746463208093,1,1,1,0.1,6,200000000000.0,3065.9721534260257,3066.4728320355093,1.0,-11.926552837188044,2.811724549269099,244219246256.053,0.011895368460928034,0.02342500011088151,1006820686.4856093
TiII,3072.97,0.121,256000000.0,10.0,1,-11.694746463208093,-12.694746463208093,-10.694746463208093,1,1,1,0.1,6,200000000000.0,3072.495292717149,3073.1564663865356,1.0,-11.926552837188044,2.811724549269099,244219246256.053,0.011895368460928034,0.02342500011088151,1006820686.4856093
TiII,3229.199,0.0687,244000000.0,10.0,1,-11.694746463208093,-12.694746463208093,-10.694746463208093,1,1,1,0.1,6,200000000000.0,3228.78892098664,3229.4485076992682,1.0,-11.926552837188044,2.811724549269099,244219246256.053,0.011895368460928034,0.02342500011088151,1006820686.4856093
TiII,3241.983,0.232,244000000.0,10.0,1,-11.694746463208093,-12.694746463208093,-10.694746463208093,1,1,1,0.1,6,200000000000.0,3241.45392252326,3242.2610480166536,1.0,-11.926552837188044,2.811724549269099,244219246256.053,0.011895368460928034,0.02342500011088151,1006820686.4856093
TiII,3383.7588,0.3586,175000000.0,10.0,1,-11.694746463208093,-12.694746463208093,-10.694746463208093,1,1,1,0.1,6,200000000000.0,3383.2317877654405,3383.9752814696126,1.0,-11.926552837188044,2.811724549269099,244219246256.053,0.011895368460928034,0.02342500011088151,1006820686.4856093
TiII,3066.347,0.0489,250000000.0,10.0,2,-4.237697928461645,-5.237697928461645,-3.237697928461645,2,2,5,0.1,6,50000000000.0,3065.9721534260257,3066.4728320355093,1.0,-4.471976976760662,0.18585447224011223,8593516405.42713,0.03729612914765931,0.22328671040348727,6316573515.319101
TiII,3072.97,0.121,256000000.0,10.0,2,-4.237697928461645,-5.237697928461645,-3.237697928461645,2,2,5,0.1,6,50000000000.0,3072.495292717149,3073.1564663865356,1.0,-4.471976976760662,0.18585447224011223,8593516405.42713,0.03729612914765931,0.22328671040348727,6316573515.319101
TiII,3229.199,0.0687,244000000.0,10.0,2,-4.237697928461645,-5.237697928461645,-3.237697928461645,2,2,5,0.1,6,50000000000.0,3228.78892098664,3229.4485076992682,1.0,-4.471976976760662,0.18585447224011223,8593516405.42713,0.03729612914765931,0.22328671040348727,6316573515.319101
TiII,3241.983,0.232,244000000.0,10.0,2,-4.237697928461645,-5.237697928461645,-3.237697928461645,2,2,5,0.1,6,50000000000.0,3241.45392252326,3242.2610480166536,1.0,-4.471976976760662,0.18585447224011223,8593516405.42713,0.03729612914765931,0.22328671040348727,6316573515.319101
TiII,3383.7588,0.3586,175000000.0,10.0,2,-4.237697928461645,-5.237697928461645,-3.237697928461645,2,2,5,0.1,6,50000000000.0,3383.2317877654405,3383.9752814696126,1.0,-4.471976976760662,0.18585447224011223,8593516405.42713,0.03729612914765931,0.22328671040348727,6316573515.319101
TiII,3066.347,0.0489,250000000.0,10.0,3,-28.58276814486345,-29.58276814486345,-27.58276814486345,3,3,5,0.1,6,50000000000.0,3065.9721534260257,3066.4728320355093,1.0,-28.66579644661357,0.9903243071385861,11291986138.738348,0.1832424480784981,0.6242784709324203,1135597919.3596187
TiII,3072.97,0.121,256000000.0,10.0,3,-28.58276814486345,-29.58276814486345,-27.58276814486345,3,3,5,0.1,6,50000000000.0,3072.495292717149,3073.1564663865356,1.0,-28.66579644661357,0.9903243071385861,11291986138.738348,0.1832424480784981,0.6242784709324203,1135597919.3596187
TiII,3229.199,0.0687,244000000.0,10.0,3,-28.58276814486345,-29.58276814486345,-27.58276814486345,3,3,5,0.1,6,50000000000.0,3228.78892098664,3229.4485076992682,1.0,-28.66579644661357,0.9903243071385861,11291986138.738348,0.1832424480784981,0.6242784709324203,1135597919.3596187
TiII,3241.983,0.232,244000000.0,10.0,3,-28.58276814486345,-29.58276814486345,-27.58276814486345,3,3,5,0.1,6,50000000000.0,3241.45392252326,3242.2610480166536,1.0,-28.66579644661357,0.9903243071385861,11291986138.738348,0.1832424480784981,0.6242784709324203,1135597919.3596187
TiII,3383.7588,0.3586,175000000.0,10.0,3,-28.58276814486345,-29.58276814486345,-27.58276814486345,3,3,5,0.1,6,50000000000.0,3383.2317877654405,3383.9752814696126,1.0,-28.66579644661357,0.9903243071385861,11291986138.738348,0.1832424480784981,0.6242784709324203,1135597919.3596187
