Object,RA,DEC,DateObs,Setting,Order,WaveMin,WaveMax,Filename
HD 45314,96.815695,14.88906,2018-02-12T03:20:19.378,564,12,6302.56640625,6408.00244140625,orders/HD45314_2018-02-12T03:12:57_564nm_redu_O12.fits
HD 63804,117.331842,-33.32964,2019-02-03T08:18:40.635,860,9,9605.63671875,9764.37890625,orders/HD63804_2019-02-03T08:05:38_860nm_redu_O9.fits
HD 36822,83.70518,9.48939,2014-10-10T05:49:04.399,860,2,6723.453125,6835.37841796875,orders/HD36822_2014-10-10T05:47:41_860nm_redl_O2.fits
HD 80558,139.676217,-51.56065,2015-06-30T23:34:00.912,437,30,4871.90478515625,4947.12158203125,orders/HD80558_2015-06-30T23:25:58_437nm_blue_O30.fits
HD 185859,295.117686,20.47653,2016-08-13T03:08:04.409,346,21,3505.86767578125,3560.620361328125,orders/HD185859_2016-08-13T02:53:19_346nm_blue_O21.fits
HD 167971,274.524372,-12.2433,2014-09-20T00:40:17.155,860,12,7564.11376953125,7689.8193359375,orders/HD167971_2014-09-20T00:28:07_860nm_redl_O12.fits
HD 171957,279.518833,-14.00524,2016-06-28T08:54:30.497,860,8,9455.482421875,9611.859375,orders/HD171957_2016-06-28T08:28:21_860nm_redu_O8.fits
HD 185418,294.615167,17.25723,2014-09-24T01:37:53.939,860,5,6955.34521484375,7071.08984375,orders/HD185418_2014-09-24T01:29:01_860nm_redl_O5.fits
HD 186841,296.476028,24.09631,2016-09-09T02:52:57.060,437,29,4821.10205078125,4895.5390625,orders/HD186841_2016-09-09T02:29:59_437nm_blue_O29.fits
HD 167264,273.803477,-20.72882,2014-09-20T00:10:21.411,860,1,6668.15771484375,6760.28076171875,orders/HD167264_2014-09-19T23:54:53_860nm_redl_O1.fits
HD 27778,65.998856,24.30104,2014-10-29T07:29:41.279,564,3,5762.314453125,5859.166015625,orders/HD27778_2014-10-29T07:24:27_564nm_redu_O3.fits
HD 167971,274.524544,-12.24336,2014-09-21T01:24:49.467,564,7,4801.33203125,4882.90869140625,orders/HD167971_2014-09-21T01:24:27_564nm_redl_O7.fits
HD 34748,79.89692,-1.41173,2016-08-21T08:35:39.534,437,7,3921.955322265625,3982.9111328125,orders/HD34748_2016-08-21T08:30:15_437nm_blue_O7.fits
HD 66811,120.895991,-40.0032,2014-09-16T09:15:56.507,437,22,4493.4033203125,4562.89501953125,orders/HD66811_2014-09-16T09:13:54_437nm_blue_O22.fits
HD 124314,213.756252,-61.7074,2017-05-02T03:12:59.631,437,9,3989.63623046875,4051.577880859375,orders/HD124314_2017-05-02T03:06:43_437nm_blue_O9.fits
HD 147889,246.351001,-24.46523,2014-09-27T23:59:12.476,346,28,3702.334716796875,3760.014892578125,orders/HD147889_2014-09-27T23:57:43_346nm_blue_O28.fits
HD 186745,296.351634,23.94232,2015-09-20T02:45:54.443,346,24,3587.4892578125,3643.44140625,orders/HD186745_2015-09-20T02:19:37_346nm_blue_O24.fits
HD 152408,253.742972,-41.15157,2015-06-26T02:42:27.921,860,4,6876.5947265625,6990.89990234375,orders/HD152408_2015-06-26T02:36:20_860nm_redl_O4.fits
HD 186745,296.351328,23.94262,2016-09-09T00:47:09.160,346,30,3762.564697265625,3821.123779296875,orders/HD186745_2016-09-09T00:20:03_346nm_blue_O30.fits
HD 66194,119.710139,-60.82442,2019-01-01T01:58:12.414,346,8,3169.49365234375,3219.268310546875,orders/HD66194_2019-01-01T01:39:44_346nm_blue_O8.fits
HD 124314,213.757359,-61.70738,2017-05-01T06:27:49.194,564,5,4726.3837890625,4806.701171875,orders/HD124314_2017-05-01T06:13:04_564nm_redl_O5.fits
HD 180554,289.054463,21.39006,2016-06-12T07:09:04.235,564,2,5707.83154296875,5803.83984375,orders/HD180554_2016-06-12T06:46:38_564nm_redu_O2.fits
HD 91824,158.694071,-58.15623,2015-02-12T07:51:02.853,564,5,4726.24853515625,4806.6318359375,orders/HD91824_2015-02-12T07:37:23_564nm_redl_O5.fits
HD 53975,106.650039,-12.39414,2015-01-30T01:35:14.635,564,22,5450.66796875,5542.58251953125,orders/HD53975_2015-01-30T01:24:10_564nm_redl_O22.fits
HD 37020,83.816035,-5.38733,2018-01-19T01:12:14.969,437,2,3762.4599609375,3821.04638671875,orders/HD37020_2018-01-19T01:04:45_437nm_blue_O2.fits
HD 147683,246.182068,-34.89429,2016-07-07T01:15:52.020,346,6,3147.865234375,3197.375,orders/HD147683_2016-07-07T01:15:24_346nm_blue_O6.fits
HD 186841,296.476146,24.09636,2016-09-10T02:09:52.354,860,9,7290.892578125,7411.994140625,orders/HD186841_2016-09-10T01:51:00_860nm_redl_O9.fits
HD 39680,88.68631,13.85472,2018-02-14T02:26:19.769,564,8,4839.89599609375,4922.01708984375,orders/HD39680_2018-02-14T02:14:05_564nm_redl_O8.fits
HD 79186,137.768372,-44.8679,2014-11-16T08:07:31.245,437,19,4366.18798828125,4433.7783203125,orders/HD79186_2014-11-16T07:56:36_437nm_blue_O19.fits
HD 68273,122.383468,-47.33647,2018-09-30T08:45:02.318,860,3,6799.31982421875,6912.35986328125,orders/HD68273_2018-09-30T08:43:37_860nm_redl_O3.fits
HD 171957,279.518382,-14.00481,2016-06-24T05:34:33.756,437,19,4366.1494140625,4433.72265625,orders/HD171957_2016-06-24T05:34:06_437nm_blue_O19.fits
HD 164906,271.106979,-24.3859,2017-06-15T08:10:16.855,860,10,7379.7705078125,7502.357421875,orders/HD164906_2017-06-15T07:48:19_860nm_redl_O10.fits
HD 80558,139.676493,-51.56072,2015-06-03T23:33:20.620,346,5,3105.605712890625,3154.48828125,orders/HD80558_2015-06-03T23:20:02_346nm_blue_O5.fits
HD 171957,279.518713,-14.005,2016-06-24T04:56:26.708,437,22,4493.3642578125,4562.84619140625,orders/HD171957_2016-06-24T04:55:05_437nm_blue_O22.fits
HD 151804,252.890445,-41.23085,2016-07-02T01:12:28.307,564,2,4618.095703125,4696.67919921875,orders/HD151804_2016-07-02T00:52:32_564nm_redl_O2.fits
HD 171957,279.518829,-14.00457,2016-06-13T08:36:37.670,564,19,5307.13818359375,5396.75634765625,orders/HD171957_2016-06-13T08:28:22_564nm_redl_O19.fits
HD 93222,161.150691,-60.09135,2017-04-25T02:32:43.119,346,14,3305.408935546875,3357.18408203125,orders/HD93222_2017-04-25T02:32:05_346nm_blue_O14.fits
HD 81188,140.52842,-55.01063,2017-04-18T00:19:58.482,346,19,3427.916259765625,3481.493408203125,orders/HD81188_2017-04-18T00:06:55_346nm_blue_O19.fits
HD 104705,180.84965,-62.69638,2016-03-29T07:52:14.624,437,1,3738.4873046875,3790.23779296875,orders/HD104705_2016-03-29T07:38:18_437nm_blue_O1.fits
HD 149757,249.290041,-10.56772,2015-07-20T02:48:42.003,437,2,3762.468505859375,3821.093994140625,orders/HD149757_2015-07-20T02:46:23_437nm_blue_O2.fits
HD 157246,261.35008,-56.37764,2015-07-20T05:15:24.900,437,29,4821.142578125,4895.60009765625,orders/HD157246_2015-07-20T04:55:15_437nm_blue_O29.fits
HD 167838,274.407168,-15.43118,2016-08-08T04:34:43.827,564,12,6302.58349609375,6408.0263671875,orders/HD167838_2016-08-08T04:27:01_564nm_redu_O12.fits
HD 36695,83.381095,-1.15609,2015-08-22T09:03:23.658,860,11,7470.90966796875,7594.9931640625,orders/HD36695_2015-08-22T08:48:42_860nm_redl_O11.fits
HD 79186,137.768635,-44.86803,2016-02-21T04:10:08.488,860,7,7119.29638671875,7237.59228515625,orders/HD79186_2016-02-21T04:05:45_860nm_redl_O7.fits
HD 152424,253.763916,-42.0915,2016-04-11T04:33:29.137,346,14,3329.193115234375,3381.32275390625,orders/HD152424_2016-04-11T04:24:12_346nm_blue_O14.fits
HD 110432,190.709338,-63.05891,2018-06-18T23:46:26.863,346,10,3213.520263671875,3263.95849609375,orders/HD110432_2018-06-18T23:35:33_346nm_blue_O10.fits
HD 49787,102.481348,-5.51322,2018-02-15T03:30:56.548,564,8,4839.8955078125,4922.01171875,orders/HD49787_2018-02-15T03:21:02_564nm_redl_O8.fits
HD 45314,96.815624,14.88911,2018-02-12T03:01:33.337,564,12,6302.56640625,6408.00244140625,orders/HD45314_2018-02-12T02:39:37_564nm_redu_O12.fits
HD 147084,245.158936,-24.16994,2016-04-03T08:53:52.003,860,18,8177.72314453125,8313.3486328125,orders/HD147084_2016-04-03T08:51:08_860nm_redl_O18.fits
HD 45314,96.815624,14.88911,2018-02-12T02:41:06.379,346,29,3702.35107421875,3759.9765625,orders/HD45314_2018-02-12T02:39:37_346nm_blue_O29.fits
HD 161056,265.945814,-7.07982,2017-05-08T08:12:56.277,860,3,8770.283203125,8915.5751953125,orders/HD161056_2017-05-08T08:12:36_860nm_redu_O3.fits
HD 144470,241.702294,-20.66901,2015-07-20T01:01:43.107,564,11,6237.6865234375,6342.06884765625,orders/HD144470_2015-07-20T00:59:15_564nm_redu_O11.fits
HD 156201,259.440038,-35.22469,2018-08-30T01:01:39.790,346,13,3281.941650390625,3333.39794921875,orders/HD156201_2018-08-30T00:50:24_346nm_blue_O13.fits
HD 93222,161.150525,-60.09143,2017-04-25T02:56:59.824,437,2,3762.466796875,3821.04833984375,orders/HD93222_2017-04-25T02:55:29_437nm_blue_O2.fits
HD 185859,295.117711,20.47662,2016-08-13T03:39:27.633,437,25,4628.2060546875,4699.73095703125,orders/HD185859_2016-08-13T03:24:18_437nm_blue_O25.fits
HD 55879,108.617574,-10.3163,2015-02-12T01:03:56.586,437,6,3889.020263671875,3949.4912109375,orders/HD55879_2015-02-12T00:55:32_437nm_blue_O6.fits
HD 114886,198.684487,-63.58144,2017-05-02T04:10:56.946,860,4,8899.2685546875,9046.6298828125,orders/HD114886_2017-05-02T04:07:17_860nm_redu_O4.fits
HD 171957,279.518829,-14.00457,2016-06-13T08:29:52.266,346,4,3105.589111328125,3154.4716796875,orders/HD171957_2016-06-13T08:28:22_346nm_blue_O4.fits
HD 147888,246.350888,-23.46079,2014-09-24T01:15:26.553,564,2,5707.919921875,5803.919921875,orders/HD147888_2014-09-24T00:41:39_564nm_redu_O2.fits
HD 63804,117.331624,-33.32979,2019-02-03T06:20:54.959,346,30,3732.279296875,3790.328125,orders/HD63804_2019-02-03T06:19:26_346nm_blue_O30.fits
HD 152408,253.743997,-41.15157,2015-06-18T07:22:18.700,564,3,5762.27587890625,5859.126953125,orders/HD152408_2015-06-18T06:53:55_564nm_redu_O3.fits
HD 114886,114.95548,-32.57827,2017-05-03T00:36:44.009,564,1,4601.2568359375,4661.1064453125,orders/HD114886_2017-05-03T00:23:54_564nm_redl_O1.fits
HD 186745,296.351634,23.94232,2015-09-20T02:27:00.923,564,10,4918.68017578125,5002.046875,orders/HD186745_2015-09-20T02:19:37_564nm_redl_O10.fits
HD 93030,160.73871,-64.39433,2014-12-10T06:29:32.159,860,13,7659.90576171875,7787.14892578125,orders/HD93030_2014-12-10T06:28:14_860nm_redl_O13.fits
HD 23180,56.079603,32.28805,2017-08-27T09:03:53.336,564,6,5931.7392578125,6031.3173828125,orders/HD23180_2017-08-27T09:01:57_564nm_redu_O6.fits
HD 164073,270.503012,-48.81081,2018-08-30T02:04:06.122,564,18,5260.96826171875,5349.84033203125,orders/HD164073_2018-08-30T01:47:41_564nm_redl_O18.fits
HD 149038,248.521457,-44.0453,2016-02-22T08:03:06.358,346,7,3147.884521484375,3197.358154296875,orders/HD149038_2016-02-22T07:45:36_346nm_blue_O7.fits
HD 23466,56.41853,6.04989,2018-07-31T08:59:29.203,346,21,3479.5009765625,3533.85546875,orders/HD23466_2018-07-31T08:35:30_346nm_blue_O21.fits
HD 144470,241.702052,-20.66893,2015-07-20T03:22:09.340,860,15,7859.03369140625,7989.48291015625,orders/HD144470_2015-07-20T03:21:51_860nm_redl_O15.fits
HD 165319,271.495396,-14.19855,2018-10-06T01:30:07.969,346,10,3213.537841796875,3263.960205078125,orders/HD165319_2018-10-06T01:28:36_346nm_blue_O10.fits
HD 147932,246.396229,-23.40594,2018-09-03T01:42:27.717,346,7,3147.890869140625,3197.372802734375,orders/HD147932_2018-09-03T01:30:10_346nm_blue_O7.fits
HD 149757,249.2902,-10.56732,2015-07-20T00:31:17.362,564,10,4918.6826171875,5002.06298828125,orders/HD149757_2015-07-20T00:21:13_564nm_redl_O10.fits
HD 203532,323.476039,-82.68369,2014-09-23T03:14:58.240,860,1,6668.060546875,6760.2783203125,orders/HD203532_2014-09-23T03:05:09_860nm_redl_O1.fits
HD 103779,179.239857,-63.24968,2015-03-18T06:56:20.871,860,17,8068.57373046875,8202.46484375,orders/HD103779_2015-03-18T06:45:20_860nm_redl_O17.fits
