Object,RA,DEC,DateObs,Setting,Order,WaveMin,WaveMax,Filename
HD 184915,294.222119,-7.02737,2016-06-12T05:52:32.972,860,6,7056.5380859375,7153.43896484375,orders/HD184915_2016-06-12T05_38_03_860nm_redl_O6.fits
HD 184915,294.222119,-7.02737,2016-06-12T05:52:32.972,860,5,6975.65185546875,7071.224609375,orders/HD184915_2016-06-12T05_38_03_860nm_redl_O5.fits
HD 184915,294.222119,-7.02737,2016-06-12T05:52:32.972,860,4,6896.603515625,6990.87890625,orders/HD184915_2016-06-12T05_38_03_860nm_redl_O4.fits
HD 184915,294.222119,-7.02737,2016-06-12T05:52:32.972,860,3,6819.3310546875,6912.33837890625,orders/HD184915_2016-06-12T05_38_03_860nm_redl_O3.fits
HD 184915,294.222119,-7.02737,2016-06-12T05:52:32.972,860,20,8424.9130859375,8544.197265625,orders/HD184915_2016-06-12T05_38_03_860nm_redl_O20.fits
HD 184915,294.222119,-7.02737,2016-06-12T05:52:32.972,860,2,6743.775390625,6835.54345703125,orders/HD184915_2016-06-12T05_38_03_860nm_redl_O2.fits
HD 184915,294.222119,-7.02737,2016-06-12T05:52:32.972,860,19,8309.765625,8427.1708984375,orders/HD184915_2016-06-12T05_38_03_860nm_redl_O19.fits
HD 184915,294.222119,-7.02737,2016-06-12T05:52:32.972,860,18,8197.7314453125,8313.306640625,orders/HD184915_2016-06-12T05_38_03_860nm_redl_O18.fits
HD 184915,294.222119,-7.02737,2016-06-12T05:52:32.972,860,17,8088.6845703125,8202.4775390625,orders/HD184915_2016-06-12T05_38_03_860nm_redl_O17.fits
HD 184915,294.222119,-7.02737,2016-06-12T05:52:32.972,860,16,7982.50830078125,8094.564453125,orders/HD184915_2016-06-12T05_38_03_860nm_redl_O16.fits
HD 184915,294.222119,-7.02737,2016-06-12T05:52:32.972,860,15,7879.05322265625,7989.45361328125,orders/HD184915_2016-06-12T05_38_03_860nm_redl_O15.fits
HD 184915,294.222119,-7.02737,2016-06-12T05:52:32.972,860,14,7778.2880859375,7887.03759765625,orders/HD184915_2016-06-12T05_38_03_860nm_redl_O14.fits
HD 184915,294.222119,-7.02737,2016-06-12T05:52:32.972,860,13,7680.07470703125,7787.21337890625,orders/HD184915_2016-06-12T05_38_03_860nm_redl_O13.fits
HD 184915,294.222119,-7.02737,2016-06-12T05:52:32.972,860,12,7584.31689453125,7689.884765625,orders/HD184915_2016-06-12T05_38_03_860nm_redl_O12.fits
HD 184915,294.222119,-7.02737,2016-06-12T05:52:32.972,860,11,7490.923828125,7594.95849609375,orders/HD184915_2016-06-12T05_38_03_860nm_redl_O11.fits
