star_name,EW5797/EW5780,EW5797/EW5780_err,EW5797,EW5797_err,EW5780,EW5780_err
HD103779,0.203917173733454,0.0318267982924858,120.255267828806,18.6018992300401,589.726042329301,2.49963035690665
HD104705,0.193373083738987,0.0464147101983143,90.9889259245821,5.16469482498263,470.535630736479,21.2203133043351
HD109399,0.170556525390389,,78.8351542702238,,462.223031864522,
HD110432,0.298913620916546,0.0231839276742894,116.11709456942,2.33520412370911,388.463711400554,8.69809874020464
HD111934,0.218065358668427,0.00402800719110604,200.18310581479,1.54655603990212,917.995902866774,3.35873578284444
HD112272,0.27933487673835,0.00891901724126021,378.197092469099,4.26160062892514,1353.92005783565,11.2986615611904
HD113904,0.0878857936999451,0.510654039441541,76.4587121825094,0.400219793170717,869.978058610367,444.257629581287
HD114886,0.378134871987741,,414.718606966402,,1096.74784763001,
HD116852,0.122295700363183,0.0373189544347548,38.7206890131087,11.1334332263284,316.615293081599,3.95710155708386
HD122879,0.165610885043724,,129.946505994907,,784.649547405044,
HD124314,0.261492134403142,,256.697245317819,,981.663352527726,
HD133518,0.122700326729529,,22.1753914610526,,180.728055516383,
HD135591,0.136413416259098,0.0506212284984767,49.8424844996746,0.467693661941233,365.378170758556,18.4899777911524
HD143275,0.132673162282787,,31.3401248557026,,236.220531089042,
HD144217,0.0992935553633812,,47.1175906605442,,474.528185521301,
HD144470,0.128575324580835,,65.2755972489873,,507.683705732734,
HD145502,0.184389308727528,0.0330743037358321,92.740673428272,2.31121422125319,502.961229521797,16.473754593104
HD147084,0.322125809356462,,151.630270117993,,470.717544865212,
HD147165,0.117967337085427,,83.7144711639076,,709.641102632377,
HD147683,0.261921963377955,0.0360814548928429,91.5102028753544,6.552752186646,349.379646117362,10.7692084222782
HD147888,0.204776086520153,0.0081138273843852,143.983840550363,5.35448089366082,703.128197228207,1.9690742330689
HD147889,0.369884018524079,0.0149856723813268,394.637817344737,5.07688978755418,1066.92313693203,15.1611101078082
HD147932,0.229311556165099,,153.008338338894,,667.25088302454,
HD147933,0.211947065551921,0.0339969403059445,136.465579584471,0.72178791293892,643.866331572499,21.8775818192516
HD148184,0.526111184601993,,146.211412477461,,277.909720904472,
HD148605,-0.0160130726727658,1.09761390617671,-1.56187327952439,105.747956110501,97.5373878231844,16.6993815171329
HD148937,0.195000922590142,0.00957758649489731,209.66451887885,2.02294979808186,1075.19757390855,10.0971437984448
HD149038,0.175311898763784,0.0327031829551571,116.371598959452,18.338981152204,663.797493382075,11.6160089036573
HD149404,0.239191015433875,0.105846311101245,277.285366611419,34.0860014997334,1159.26330304858,117.874311654572
HD149757,0.402129990524544,0.0231502776850412,82.5466221978861,3.75764855917445,205.273479081257,2.90910523648792
HD150136,0.164071354829961,,110.452743694826,,673.199436972384,
HD151804,0.131171536885007,0.0459542778981894,92.1055072077826,11.1195876170251,702.17601619266,30.2915510471517
HD152248,0.317159909237697,0.100580960880331,215.575567354201,68.3574584772498,679.706233591578,1.04894881117823
HD152408,0.143856286479142,0.00587712730623833,124.306198578815,2.50143211798449,864.099870928045,4.41964221389813
HD152424,0.234366853595304,,256.873510499389,,1096.03174066137,
HD153919,0.147015797419293,,137.828165603058,,937.505819255387,
HD154043,0.192782829315686,0.0218894525397512,279.904739744971,30.8562047706928,1451.91737634798,7.61377622317522
HD154368,0.442623034997442,,275.264501584883,,621.893755679647,
HD155806,0.258526234988586,,86.8609100601417,,335.984895552193,
HD156201,0.365986330789793,,349.303748721337,,954.417472279756,
HD157246,0.171262914866735,,30.3432667824831,,177.173597717254,
HD161056,0.552689865971433,0.00753132242439785,381.228849917986,5.09622014037092,689.769929557006,1.00762878814499
HD164073,0.216128334532581,,78.0762721903935,,361.249589783072,
HD164353,0.200139562684065,,66.1324409521208,,330.431625138084,
HD164906,0.382077458790855,0.0320603090197882,182.725195089767,14.8344177574102,478.241233251576,3.87653180309939
HD165319,0.354923928127746,,549.442848316571,,1548.05806194845,
HD166937,0.285700688788141,,221.498845710727,,775.282855110573,
HD167264,0.316589995319589,0.0276226748578607,219.239890475402,3.85362778171092,692.504165376688,18.7366274436671
HD167838,0.2220618301251,0.0100450626266555,313.001324080442,11.8381991224602,1409.52330215468,7.76706113522905
HD167971,0.25676152545546,,421.315500869564,,1640.88252756019,
HD168076,0.370385169703157,0.00755009603521908,564.706727044695,10.9056053396232,1524.64724086355,3.68459758871209
HD169454,0.298146519047954,0.00320483984567482,418.099383075977,3.71240451236586,1402.32857459164,2.53302829923992
HD170740,0.256197814201347,0.0228993827502811,180.372797299635,6.12677520943405,704.037221636398,14.912480804916
HD170938,0.258596181772991,,351.974872199233,,1361.09848871711,
HD171957,0.238136590244492,,143.540101743813,,602.763739904238,
HD172694,0.371406071545108,0.111607387201858,250.927185478515,18.3004446986008,675.614118085411,73.1490637594257
HD179406,0.403003179961185,,195.84309669203,,485.959184517829,
HD180554,0.239095145469369,,52.1769346396743,,218.2266584177,
HD183143,0.242426816286036,0.014505770604899,553.0772209212,32.6962864085594,2281.41931406066,5.11359247471422
HD184915,0.164810270495012,0.00176416699287471,74.4678852304737,0.78081986711844,451.840076512268,0.16038322920421
HD185418,0.281132062479013,0.0150439896794701,225.723464624501,3.12716663628042,802.909005234336,11.6671323643261
HD185859,0.558079260167549,0.0584547171471503,469.328490294825,14.4329935066487,840.971030089742,46.9922207769156
HD186745,0.397602241129717,0.00636769996446892,587.633959129279,6.2068827401636,1477.94428285821,7.07414434597157
HD186841,0.421172806900707,0.00775555149592449,634.416139651999,9.11738526141206,1506.3084065671,7.30399257277873
