Species,WavelengthAir,OscillatorStrength,Gamma,GammaRef,v_comp,v_rad_init,v_rad_min,v_rad_max,b_comp,n_comp,b_init,b_min,b_max,n_init,w_min,w_max,weight,v_rad_fit,b_fit,n_fit,v_rad_err,b_err,n_err
TiII,3066.347,0.0489,250000000.0,10.0,0,-25.123176393280772,-30.123176393280772,-20.123176393280772,0,0,5.0,0.1,6,300000000000.0,3065.528741389905,3067.165258610095,1.0,-25.396235342928296,5.999999999742023,322015455036.81464,0.022948260949927576,0.017623075981551474,1459421305.6912777
TiII,3072.97,0.121,256000000.0,10.0,0,-25.123176393280772,-30.123176393280772,-20.123176393280772,0,0,5.0,0.1,6,300000000000.0,3072.451359789889,3073.0468499928274,1.0,-25.396235342928296,5.999999999742023,322015455036.81464,0.022948260949927576,0.017623075981551474,1459421305.6912777
TiII,3229.199,0.0687,244000000.0,10.0,0,-25.123176393280772,-30.123176393280772,-20.123176393280772,0,0,5.0,0.1,6,300000000000.0,3228.551898381801,3229.455544054505,1.0,-25.396235342928296,5.999999999742023,322015455036.81464,0.022948260949927576,0.017623075981551474,1459421305.6912777
TiII,3241.983,0.232,244000000.0,10.0,0,-25.123176393280772,-30.123176393280772,-20.123176393280772,0,0,5.0,0.1,6,300000000000.0,3241.349582774758,3242.1933768624517,1.0,-25.396235342928296,5.999999999742023,322015455036.81464,0.022948260949927576,0.017623075981551474,1459421305.6912777
TiII,3383.7588,0.3586,175000000.0,10.0,0,-25.123176393280772,-30.123176393280772,-20.123176393280772,0,0,5.0,0.1,6,300000000000.0,3383.132580350114,3383.999010562697,3.0,-25.396235342928296,5.999999999742023,322015455036.81464,0.022948260949927576,0.017623075981551474,1459421305.6912777
TiII,3066.347,0.0489,250000000.0,10.0,1,-10.277819569704263,-10.576232129716695,-8.576232129716697,1,1,5.0,0.1,6,80000000000.0,3065.528741389905,3067.165258610095,1.0,-10.268536965303829,5.546824296274706,82219596905.60316,0.0808527665856752,0.12985549933025278,1420635685.8001585
TiII,3072.97,0.121,256000000.0,10.0,1,-10.277819569704263,-10.576232129716695,-8.576232129716697,1,1,5.0,0.1,6,80000000000.0,3072.451359789889,3073.0468499928274,1.0,-10.268536965303829,5.546824296274706,82219596905.60316,0.0808527665856752,0.12985549933025278,1420635685.8001585
TiII,3229.199,0.0687,244000000.0,10.0,1,-10.277819569704263,-10.576232129716695,-8.576232129716697,1,1,5.0,0.1,6,80000000000.0,3228.551898381801,3229.455544054505,1.0,-10.268536965303829,5.546824296274706,82219596905.60316,0.0808527665856752,0.12985549933025278,1420635685.8001585
TiII,3241.983,0.232,244000000.0,10.0,1,-10.277819569704263,-10.576232129716695,-8.576232129716697,1,1,5.0,0.1,6,80000000000.0,3241.349582774758,3242.1933768624517,1.0,-10.268536965303829,5.546824296274706,82219596905.60316,0.0808527665856752,0.12985549933025278,1420635685.8001585
TiII,3383.7588,0.3586,175000000.0,10.0,1,-10.277819569704263,-10.576232129716695,-8.576232129716697,1,1,5.0,0.1,6,80000000000.0,3383.132580350114,3383.999010562697,3.0,-10.268536965303829,5.546824296274706,82219596905.60316,0.0808527665856752,0.12985549933025278,1420635685.8001585
